 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1       1        1             -0.          8590.          2531.           245.         11365.
    2       2        1             -0.          7503.          1759.           213.          9475.
    3       3        1             -4.          6673.          1179.           188.          8035.
    4       4        1            -10.          6033.           740.           169.          6931.
    5       5        1            -17.          5535.           406.           154.          6078.
    6       6        1            -24.          5143.           152.           143.          5415.
    7       7        1            -31.          4832.           -41.           135.          4895.
    8       8        1            -39.          4583.          -187.           129.          4486.
    9       9        1            -47.          4382.          -297.           125.          4163.
   10      10        1            -56.          4218.          -379.           122.          3905.
   11      11        1            -65.          4082.          -438.           121.          3700.
   12      12        1            -75.          3969.          -480.           120.          3535.
   13      13        1            -85.          3874.          -507.           121.          3403.
   14      14        1            -95.          3792.          -524.           122.          3296.
   15      15        1           -106.          3722.          -531.           123.          3209.
   16      16        1           -117.          3661.          -531.           125.          3139.
   17      17        1           -128.          3606.          -524.           128.          3082.
   18      18        1           -140.          3558.          -513.           131.          3035.
   19      19        1           -153.          3513.          -497.           134.          2997.
   20      20        1           -165.          3472.          -478.           137.          2966.
   21      21        1           -178.          3433.          -456.           141.          2940.
   22      22        1           -192.          3397.          -432.           145.          2918.
   23      23        1           -206.          3362.          -405.           149.          2900.
   24      24        1           -220.          3329.          -377.           153.          2885.
   25      25        1           -234.          3296.          -348.           157.          2871.
   26      26        1           -249.          3264.          -317.           162.          2860.
   27      27        1           -265.          3232.          -285.           166.          2849.
   28      28        1           -280.          3201.          -252.           171.          2839.
   29      29        1           -296.          3169.          -219.           176.          2830.
   30      30        1           -313.          3138.          -184.           180.          2821.
   31      31        1           -329.          3106.          -149.           185.          2813.
   32      32        1           -346.          3074.          -114.           190.          2804.
   33      33        1           -364.          3041.           -78.           195.          2795.
   34      34        1           -381.          3008.           -42.           200.          2785.
   35      35        1           -399.          2975.            -5.           205.          2775.
   36      36        1           -418.          2941.            32.           210.          2765.
   37      37        1           -436.          2907.            69.           215.          2754.
   38      38        1           -455.          2872.           106.           220.          2742.
   39      39        1           -474.          2836.           143.           225.          2730.
   40      40        1           -494.          2800.           181.           230.          2717.
   41      41        1           -514.          2763.           218.           235.          2703.
   42      42        1           -534.          2726.           256.           240.          2688.
   43      43        1           -554.          2687.           294.           245.          2673.
   44      44        1           -575.          2649.           332.           250.          2656.
   45      45        1           -596.          2609.           369.           255.          2639.
   46      46        1           -617.          2569.           407.           260.          2620.
   47      47        1           -638.          2529.           445.           265.          2601.
   48      48        1           -660.          2487.           483.           270.          2581.
   49      49        1           -682.          2446.           520.           275.          2560.
   50      50        1           -704.          2403.           558.           280.          2537.
   51      51        1           -726.          2360.           595.           285.          2514.
   52      52        1           -748.          2316.           633.           290.          2490.
   53      53        1           -771.          2272.           670.           294.          2465.
   54      54        1           -794.          2227.           707.           299.          2439.
   55      55        1           -817.          2181.           744.           303.          2411.
   56      56        1           -841.          2135.           781.           308.          2383.
   57      57        1           -864.          2089.           817.           312.          2354.
   58      58        1           -888.          2042.           854.           317.          2324.
   59      59        1           -912.          1994.           890.           321.          2293.
   60      60        1           -936.          1946.           926.           325.          2261.
   61      61        1           -960.          1897.           961.           330.          2228.
   62      62        1           -984.          1848.           997.           334.          2194.
   63      63        1          -1009.          1798.          1032.           338.          2159.
   64      64        1          -1033.          1748.          1067.           341.          2123.
   65      65        1          -1058.          1697.          1102.           345.          2087.
   66      66        1          -1083.          1646.          1136.           349.          2049.
   67      67        1          -1108.          1595.          1171.           353.          2010.
   68      68        1          -1133.          1543.          1205.           356.          1971.
   69      69        1          -1158.          1490.          1238.           360.          1930.
   70      70        1          -1183.          1438.          1271.           363.          1889.
   71      71        1          -1208.          1385.          1304.           366.          1847.
   72      72        1          -1234.          1331.          1337.           369.          1804.
