 Day of  Day of Year Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year        mass   depth    T      T      T      T
    1       1        1   104.00    0.26   -1.93    1.81    6.81   13.66
    2       2        1   108.00    0.27   -2.00    1.67    6.66   11.53
    3       3        1   112.00    0.28   -2.08    1.53    6.51    9.90
    4       4        1   116.00    0.29   -2.15    1.39    6.36    8.63
    5       5        1   120.00    0.30   -2.22    1.25    6.21    7.63
    6       6        1   124.00    0.31   -2.29    1.12    6.06    6.83
    7       7        1   128.00    0.32   -2.35    0.99    5.91    6.19
    8       8        1   132.00    0.33   -2.41    0.86    5.77    5.66
    9       9        1   136.00    0.34   -2.47    0.73    5.62    5.23
   10      10        1   140.00    0.35   -2.53    0.60    5.48    4.87
   11      11        1   144.00    0.36   -2.58    0.48    5.33    4.57
   12      12        1   148.00    0.37   -2.63    0.36    5.19    4.31
   13      13        1   152.00    0.38   -2.67    0.24    5.04    4.09
   14      14        1   156.00    0.39   -2.72    0.12    4.90    3.90
   15      15        1   160.00    0.40   -2.76    0.00    4.76    3.73
   16      16        1   164.00    0.41   -2.79   -0.11    4.61    3.58
   17      17        1   168.00    0.42   -2.83   -0.22    4.47    3.44
   18      18        1   172.00    0.43   -2.86   -0.33    4.33    3.32
   19      19        1   176.00    0.44   -2.89   -0.44    4.19    3.21
   20      20        1   180.00    0.45   -2.91   -0.54    4.06    3.12
   21      21        1   184.00    0.46   -2.93   -0.64    3.92    3.02
   22      22        1   188.00    0.47   -2.95   -0.74    3.78    2.94
   23      23        1   192.00    0.48   -2.97   -0.84    3.65    2.86
   24      24        1   196.00    0.49   -2.98   -0.93    3.52    2.79
   25      25        1   200.00    0.50   -2.99   -1.02    3.38    2.72
   26      26        1   204.00    0.51   -3.00   -1.11    3.25    2.66
   27      27        1   208.00    0.52   -3.00   -1.20    3.12    2.60
   28      28        1   212.00    0.53   -3.00   -1.28    2.99    2.54
   29      29        1   216.00    0.54   -3.00   -1.36    2.87    2.49
   30      30        1   220.00    0.55   -2.99   -1.44    2.74    2.44
   31      31        1   224.00    0.56   -2.98   -1.52    2.62    2.39
   32      32        1   228.00    0.57   -2.97   -1.59    2.49    2.35
   33      33        1   232.00    0.58   -2.95   -1.66    2.37    2.30
   34      34        1   236.00    0.59   -2.93   -1.73    2.25    2.26
   35      35        1   240.00    0.60   -2.91   -1.80    2.13    2.23
   36      36        1   244.00    0.61   -2.89   -1.86    2.02    2.19
   37      37        1   248.00    0.62   -2.86   -1.92    1.90    2.16
   38      38        1   252.00    0.63   -2.83   -1.98    1.79    2.13
   39      39        1   256.00    0.64   -2.79   -2.03    1.67    2.10
   40      40        1   260.00    0.65   -2.76   -2.08    1.56    2.08
   41      41        1   264.00    0.66   -2.72   -2.13    1.46    2.05
   42      42        1   268.00    0.67   -2.67   -2.17    1.35    2.03
   43      43        1   272.00    0.68   -2.63   -2.22    1.24    2.01
   44      44        1   276.00    0.69   -2.58   -2.26    1.14    1.99
   45      45        1   280.00    0.70   -2.53   -2.29    1.04    1.97
   46      46        1   284.00    0.71   -2.47   -2.33    0.94    1.96
   47      47        1   288.00    0.72   -2.41   -2.36    0.84    1.95
   48      48        1   292.00    0.73   -2.35   -2.39    0.75    1.94
   49      49        1   296.00    0.74   -2.29   -2.41    0.66    1.93
   50      50        1   300.00    0.75   -2.22   -2.43    0.56    1.92
   51      51        1   304.00    0.76   -2.15   -2.45    0.48    1.92
   52      52        1   308.00    0.77   -2.08   -2.47    0.39    1.91
   53      53        1   312.00    0.78   -2.00   -2.48    0.30    1.91
   54      54        1   316.00    0.79   -1.93   -2.49    0.22    1.91
   55      55        1   320.00    0.80   -1.85   -2.50    0.14    1.91
   56      56        1   324.00    0.81   -1.76   -2.51    0.06    1.92
   57      57        1   328.00    0.82   -1.67   -2.51   -0.01    1.92
   58      58        1   332.00    0.83   -1.59   -2.51   -0.09    1.93
   59      59        1   336.00    0.84   -1.49   -2.50   -0.16    1.94
   60      60        1   340.00    0.85   -1.40   -2.49   -0.23    1.95
   61      61        1   344.00    0.86   -1.30   -2.48   -0.30    1.97
   62      62        1   348.00    0.87   -1.20   -2.47   -0.36    1.98
   63      63        1   352.00    0.88   -1.10   -2.45   -0.42    2.00
   64      64        1   356.00    0.89   -0.99   -2.43   -0.48    2.02
   65      65        1   360.00    0.90   -0.89   -2.41   -0.54    2.04
   66      66        1   364.00    0.91   -0.78   -2.39   -0.60    2.06
   67      67        1   368.00    0.92   -0.66   -2.36   -0.65    2.08
   68      68        1   372.00    0.93   -0.55   -2.33   -0.70    2.11
   69      69        1   376.00    0.94   -0.43   -2.29   -0.75    2.14
   70      70        1   380.00    0.95   -0.31   -2.26   -0.79    2.16
   71      71        1   384.00    0.96   -0.19   -2.22   -0.84    2.20
   72      72        1   388.00    0.97   -0.07   -2.17   -0.88    2.23
   73      73        1   392.00    0.98    0.06   -2.13   -0.92    2.26
   74      74        1   396.00    0.99    0.19   -2.08   -0.95    2.30
   75      75        1   400.00    1.00    0.32   -2.03   -0.99    2.34
   76      76        1   404.00    1.01    0.45   -1.98   -1.02    2.38
   77      77        1   408.00    1.02    0.59   -1.92   -1.04    2.42
   78      78        1   412.00    1.03    0.72   -1.86   -1.07    2.46
   79      79        1   416.00    1.04    0.86   -1.80   -1.09    2.50
   80      80        1   420.00    1.05    1.00   -1.73   -1.11    2.55
   81      81        1   424.00    1.06    1.15   -1.66   -1.13    2.60
   82      82        1   428.00    1.07    1.29   -1.59   -1.15    2.65
   83      83        1   432.00    1.08    1.44   -1.52   -1.16    2.70
   84      84        1   436.00    1.09    1.59   -1.44   -1.17    2.75
   85      85        1   440.00    1.10    1.74   -1.36   -1.18    2.80
   86      86        1   444.00    1.11    1.89   -1.28   -1.18    2.86
   87      87        1   448.00    1.12    2.04   -1.20   -1.19    2.92
   88      88        1   452.00    1.13    2.20   -1.11   -1.19    2.97
   89      89        1   456.00    1.14    2.35   -1.02   -1.18    3.03
   90      90        1   460.00    1.15    2.51   -0.93   -1.18    3.10
   91      91        1   464.00    1.16    2.67   -0.84   -1.17    3.16
   92      92        1   468.00    1.17    2.83   -0.74   -1.16    3.22
   93      93        1   472.00    1.18    3.00   -0.64   -1.15    3.29
   94      94        1   476.00    1.19    3.16   -0.54   -1.13    3.36
   95      95        1   480.00    1.20    3.33   -0.44   -1.11    3.43
   96      96        1   484.00    1.21    3.49   -0.33   -1.09    3.50
   97      97        1   488.00    1.22    3.66   -0.22   -1.07    3.57
   98      98        1   492.00    1.23    3.83   -0.11   -1.04    3.64
   99      99        1   496.00    1.24    4.00    0.00   -1.02    3.72
  100     100        1   500.00    1.25    4.17    0.12   -0.99    3.79
  101     101        1   504.00    1.26    4.34    0.24   -0.95    3.87
  102     102        1   508.00    1.27    4.51    0.36   -0.92    3.95
  103     103        1   512.00    1.28    4.69    0.48   -0.88    4.03
  104     104        1   516.00    1.29    4.86    0.60   -0.84    4.11
  105     105        1   520.00    1.30    5.04    0.73   -0.79    4.19
  106     106        1   524.00    1.31    5.21    0.86   -0.75    4.28
  107     107        1   528.00    1.32    5.39    0.99   -0.70    4.36
  108     108        1   532.00    1.33    5.57    1.12   -0.65    4.45
  109     109        1   536.00    1.34    5.75    1.25   -0.60    4.53
  110     110        1   540.00    1.35    5.92    1.39   -0.54    4.62
  111     111        1   544.00    1.36    6.10    1.53   -0.48    4.71
  112     112        1   548.00    1.37    6.28    1.67   -0.42    4.80
  113     113        1   552.00    1.38    6.46    1.81   -0.36    4.89
  114     114        1   556.00    1.39    6.64    1.95   -0.30    4.99
  115     115        1   560.00    1.40    6.82    2.09   -0.23    5.08
  116     116        1   564.00    1.41    7.00    2.24   -0.16    5.17
  117     117        1   568.00    1.42    7.18    2.39   -0.09    5.27
  118     118        1   572.00    1.43    7.36    2.54   -0.01    5.37
  119     119        1   576.00    1.44    7.55    2.69    0.06    5.47
  120     120        1   104.00    0.26    7.73    2.84    0.14    5.94
  121     121        1   108.00    0.27    7.91    2.99    0.22    6.40
  122     122        1   112.00    0.28    8.09    3.15    0.30    6.78
  123     123        1   116.00    0.29    8.27    3.30    0.39    7.10
  124     124        1   120.00    0.30    8.45    3.46    0.48    7.37
  125     125        1   124.00    0.31    8.63    3.62    0.56    7.61
  126     126        1   128.00    0.32    8.81    3.78    0.66    7.82
  127     127        1   132.00    0.33    8.99    3.94    0.75    8.01
  128     128        1   136.00    0.34    9.16    4.10    0.84    8.19
  129     129        1   140.00    0.35    9.34    4.27    0.94    8.35
  130     130        1   144.00    0.36    9.52    4.43    1.04    8.51
  131     131        1   148.00    0.37    9.70    4.59    1.14    8.65
  132     132        1   152.00    0.38    9.87    4.76    1.24    8.80
  133     133        1   156.00    0.39   10.05    4.93    1.35    8.93
  134     134        1   160.00    0.40   10.22    5.09    1.46    9.07
  135     135        1   164.00    0.41   10.40    5.26    1.56    9.20
  136     136        1   168.00    0.42   10.57    5.43    1.67    9.32
  137     137        1   172.00    0.43   10.74    5.60    1.79    9.45
  138     138        1   176.00    0.44   10.92    5.77    1.90    9.57
  139     139        1   180.00    0.45   11.09    5.94    2.02    9.70
  140     140        1   184.00    0.46   11.26    6.11    2.13    9.82
  141     141        1   188.00    0.47   11.42    6.28    2.25    9.94
  142     142        1   192.00    0.48   11.59    6.45    2.37   10.06
  143     143        1   196.00    0.49   11.76    6.63    2.49   10.18
  144     144        1   200.00    0.50   11.92    6.80    2.62   10.30
  145     145        1   204.00    0.51   12.08    6.97    2.74   10.42
  146     146        1   208.00    0.52   12.25    7.14    2.87   10.53
  147     147        1   212.00    0.53   12.41    7.32    2.99   10.65
  148     148        1   216.00    0.54   12.57    7.49    3.12   10.77
  149     149        1   220.00    0.55   12.72    7.66    3.25   10.88
  150     150        1   224.00    0.56   12.88    7.83    3.38   11.00
  151     151        1   228.00    0.57   13.03    8.01    3.52   11.12
  152     152        1   232.00    0.58   13.19    8.18    3.65   11.23
  153     153        1   236.00    0.59   13.34    8.35    3.78   11.35
  154     154        1   240.00    0.60   13.49    8.52    3.92   11.46
  155     155        1   244.00    0.61   13.64    8.70    4.06   11.57
  156     156        1   248.00    0.62   13.78    8.87    4.19   11.69
  157     157        1   252.00    0.63   13.92    9.04    4.33   11.80
  158     158        1   256.00    0.64   14.07    9.21    4.47   11.91
  159     159        1   260.00    0.65   14.21    9.38    4.61   12.02
  160     160        1   264.00    0.66   14.34    9.55    4.76   12.13
  161     161        1   268.00    0.67   14.48    9.72    4.90   12.24
  162     162        1   272.00    0.68   14.61    9.89    5.04   12.35
  163     163        1   276.00    0.69   14.75   10.05    5.19   12.46
  164     164        1   280.00    0.70   14.88   10.22    5.33   12.57
  165     165        1   284.00    0.71   15.00   10.39    5.48   12.68
  166     166        1   288.00    0.72   15.13   10.55    5.62   12.79
  167     167        1   292.00    0.73   15.25   10.72    5.77   12.89
  168     168        1   296.00    0.74   15.37   10.88    5.91   13.00
  169     169        1   300.00    0.75   15.49   11.04    6.06   13.10
  170     170        1   304.00    0.76   15.61   11.20    6.21   13.21
  171     171        1   308.00    0.77   15.72   11.36    6.36   13.31
  172     172        1   312.00    0.78   15.83   11.52    6.51   13.41
  173     173        1   316.00    0.79   15.94   11.68    6.66   13.52
  174     174        1   320.00    0.80   16.05   11.84    6.81   13.62
  175     175        1   324.00    0.81   16.15   11.99    6.95   13.72
  176     176        1   328.00    0.82   16.25   12.15    7.10   13.82
  177     177        1   332.00    0.83   16.35   12.30    7.25   13.91
  178     178        1   336.00    0.84   16.45   12.45    7.40   14.01
  179     179        1   340.00    0.85   16.54   12.60    7.55   14.11
  180     180        1   344.00    0.86   16.63   12.75    7.70   14.20
  181     181        1   348.00    0.87   16.72   12.90    7.85   14.30
  182     182        1   352.00    0.88   16.80   13.04    8.00   14.39
