Day of year       Target temperature
1                    20
8                    19
15                   18
22                   17
29                   16
36                   15
43                  -99
50                   20
57                   19
66                   18
73                   17
80                   16
87                   15
94                  -99
101                  20
108                  19
115                  18
122                  17
129                  16
136                  15
143                 -99
150                  20
157                  19
166                  18
173                  17
180                  16
187                  15
194                 -99
201                  20
208                  19
215                  18
222                  17
229                  16
236                  15
243                 -99
250                  20
257                  19
266                  18
273                  17
280                  16
287                  15
294                 -99
301                  20
308                  19
315                  18
322                  17
329                  16
336                  15
343                 -99

