 Day of  Day of  Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year    mass   depth    T      T      T      T
    1     123     8.6    0.0   16.3    5.4    8.7   17.9
    2     124    17.1    0.0   16.5    5.5    8.7   17.8
    3     125    25.7    0.1   16.6    5.7    8.7   17.9
    4     126    34.3    0.1   16.8    5.8    8.6   17.9
    5     127    42.8    0.1   16.9    5.9    8.6   18.0
    6     128    51.4    0.1   17.1    6.0    8.6   18.1
    7     129    60.0    0.1   17.2    6.1    8.6   18.2
    8     130    68.6    0.2   17.3    6.2    8.6   18.3
    9     131    77.1    0.2   17.5    6.3    8.6   18.4
   10     132    85.7    0.2   17.6    6.4    8.6   18.4
   11     133    94.3    0.2   17.7    6.5    8.6   18.5
   12     134   102.8    0.3   17.9    6.6    8.6   18.6
   13     135   111.4    0.3   18.0    6.8    8.5   18.7
   14     136   120.0    0.3   18.1    6.9    8.5   18.8
   15     137   128.5    0.3   18.3    7.0    8.5   18.8
   16     138   137.1    0.3   18.4    7.1    8.5   18.9
   17     139   145.7    0.4   18.5    7.2    8.5   19.0
   18     140   154.3    0.4   18.6    7.4    8.5   19.1
   19     141   162.8    0.4   18.7    7.5    8.5   19.2
   20     142   171.4    0.4   18.8    7.6    8.5   19.2
   21     143   180.0    0.4   18.9    7.7    8.5   19.3
   22     144   188.5    0.5   19.0    7.9    8.5   19.4
   23     145   197.1    0.5   19.2    8.0    8.5   19.4
   24     146   205.7    0.5   19.3    8.1    8.5   19.5
   25     147   214.3    0.5   19.4    8.2    8.5   19.6
   26     148   222.8    0.6   19.4    8.4    8.5   19.6
   27     149   231.4    0.6   19.5    8.5    8.5   19.7
   28     150   240.0    0.6   19.6    8.6    8.5   19.7
   29     151   248.5    0.6   19.7    8.7    8.5   19.8
   30     152   257.1    0.6   19.8    8.9    8.5   19.9
   31     153   265.7    0.7   19.9    9.0    8.5   19.9
   32     154   274.2    0.7   20.0    9.1    8.5   20.0
   33     155   282.8    0.7   20.0    9.3    8.5   20.0
   34     156   291.4    0.7   20.1    9.4    8.5   20.1
   35     157   300.0    0.7   20.2    9.5    8.5   20.1
   36     158   308.5    0.8   20.3    9.7    8.5   20.2
