 Day of  Day of  Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year    mass   depth    T      T      T      T
    1     123     8.6    0.0   16.3    5.4    8.7   19.0
    2     124    17.1    0.0   16.5    5.5    8.7   19.0
    3     125    25.7    0.1   16.6    5.7    8.7   19.0
    4     126    34.3    0.1   16.8    5.8    8.6   19.1
    5     127    42.8    0.1   16.9    5.9    8.6   19.2
    6     128    51.4    0.1   17.1    6.0    8.6   19.2
    7     129    60.0    0.1   17.2    6.1    8.6   19.3
    8     130    68.6    0.2   17.3    6.2    8.6   19.3
    9     131    77.1    0.2   17.5    6.3    8.6   19.4
   10     132    85.7    0.2   17.6    6.4    8.6   19.4
   11     133    94.3    0.2   17.7    6.5    8.6   19.5
   12     134   102.8    0.3   17.9    6.6    8.6   19.6
   13     135   111.4    0.3   18.0    6.8    8.5   19.6
   14     136   120.0    0.3   18.1    6.9    8.5   19.7
   15     137   128.5    0.3   18.3    7.0    8.5   19.7
   16     138   137.1    0.3   18.4    7.1    8.5   19.8
   17     139   145.7    0.4   18.5    7.2    8.5   19.8
   18     140   154.3    0.4   18.6    7.4    8.5   19.9
   19     141   162.8    0.4   18.7    7.5    8.5   19.9
   20     142   171.4    0.4   18.8    7.6    8.5   20.0
   21     143   180.0    0.4   18.9    7.7    8.5   20.0
   22     144   188.5    0.5   19.0    7.9    8.5   20.0
   23     145   197.1    0.5   19.2    8.0    8.5   20.1
   24     146   205.7    0.5   19.3    8.1    8.5   20.1
   25     147   214.3    0.5   19.4    8.2    8.5   20.2
   26     148   222.8    0.6   19.4    8.4    8.5   20.2
   27     149   231.4    0.6   19.5    8.5    8.5   20.3
   28     150   240.0    0.6   19.6    8.6    8.5   20.3
   29     151   248.5    0.6   19.7    8.7    8.5   20.4
   30     152   257.1    0.6   19.8    8.9    8.5   20.4
   31     153   265.7    0.7   19.9    9.0    8.5   20.4
   32     154   274.2    0.7   20.0    9.1    8.5   20.5
   33     155   282.8    0.7   20.0    9.3    8.5   20.5
   34     156   291.4    0.7   20.1    9.4    8.5   20.5
   35     157   300.0    0.7   20.2    9.5    8.5   20.6
   36     158   308.5    0.8   20.3    9.7    8.5   20.6
   37     159   317.1    0.8   20.3    9.8    8.5   20.6
   38     160   325.7    0.8   20.4    9.9    8.5   20.7
   39     161   334.2    0.8   20.4   10.1    8.5   20.7
   40     162   342.8    0.9   20.5   10.2    8.5   20.7
   41     163   351.4    0.9   20.6   10.3    8.5   20.8
   42     164   359.9    0.9   20.6   10.5    8.6   20.8
   43     165   368.5    0.9   20.7   10.6    8.6   20.8
   44     166   377.1    0.9   20.7   10.7    8.6   20.8
   45     167   385.7    1.0   20.7   10.9    8.6   20.9
   46     168   394.2    1.0   20.8   11.0    8.6   20.9
   47     169   402.8    1.0   20.8   11.1    8.6   20.9
   48     170   411.4    1.0   20.8   11.3    8.6   20.9
   49     171   419.9    1.0   20.9   11.4    8.6   21.0
   50     172   428.5    1.1   20.9   11.5    8.6   21.0
   51     173   437.1    1.1   20.9   11.7    8.7   21.0
   52     174   445.6    1.1   20.9   11.8    8.7   21.0
   53     175   454.2    1.1   21.0   11.9    8.7   21.0
   54     176   462.8    1.2   21.0   12.1    8.7   21.1
   55     177   471.4    1.2   21.0   12.2    8.7   21.1
   56     178   479.9    1.2   21.0   12.3    8.7   21.1
   57     179   488.5    1.2   21.0   12.4    8.8   21.1
   58     180   497.1    1.2   21.0   12.6    8.8   21.1
   59     181   505.6    1.3   21.0   12.7    8.8   21.1
   60     182   514.2    1.3   21.0   12.8    8.8   21.1
   61     183   522.8    1.3   21.0   13.0    8.8   21.1
   62     184   531.3    1.3   21.0   13.1    8.8   21.2
   63     185   539.9    1.3   21.0   13.2    8.9   21.2
   64     186   548.5    1.4   20.9   13.3    8.9   21.2
   65     187   557.1    1.4   20.9   13.5    8.9   21.2
   66     188   565.6    1.4   20.9   13.6    8.9   21.2
   67     189   574.2    1.4   20.9   13.7    8.9   21.2
   68     190   582.8    1.5   20.8   13.8    9.0   21.2
   69     191   591.3    1.5   20.8   13.9    9.0   21.2
   70     192   599.9    1.5   20.8   14.1    9.0   21.2
   71     193   608.5    1.5   20.7   14.2    9.0   21.2
   72     194   617.0    1.5   20.7   14.3    9.1   21.2
   73     195   625.6    1.6   20.7   14.4    9.1   21.2
   74     196   634.2    1.6   20.6   14.5    9.1   21.2
   75     197   642.8    1.6   20.6   14.6    9.1   21.2
   76     198   651.3    1.6   20.5   14.8    9.2   21.2
   77     199   659.9    1.6   20.4   14.9    9.2   21.1
   78     200   668.5    1.7   20.4   15.0    9.2   21.1
   79     201   677.0    1.7   20.3   15.1    9.2   21.1
   80     202   685.6    1.7   20.3   15.2    9.3   21.1
   81     203   694.2    1.7   20.2   15.3    9.3   21.1
   82     204   702.7    1.8   20.1   15.4    9.3   21.1
   83     205   711.3    1.8   20.0   15.5    9.4   21.1
   84     206   719.9    1.8   20.0   15.6    9.4   21.1
   85     207   728.5    1.8   19.9   15.7    9.4   21.0
   86     208   737.0    1.8   19.8   15.8    9.4   21.0
   87     209   745.6    1.9   19.7   15.9    9.5   21.0
   88     210   754.2    1.9   19.6   16.0    9.5   21.0
   89     211   762.7    1.9   19.5   16.1    9.5   21.0
   90     212   771.3    1.9   19.4   16.2    9.6   20.9
   91     213   779.9    1.9   19.4   16.3    9.6   20.9
   92     214   788.4    2.0   19.3   16.4    9.6   20.9
   93     215   797.0    2.0   19.2   16.4    9.7   20.9
   94     216   805.6    2.0   19.0   16.5    9.7   20.8
   95     217   814.2    2.0   18.9   16.6    9.7   20.8
   96     218   822.7    2.1   18.8   16.7    9.7   20.8
   97     219   831.3    2.1   18.7   16.8    9.8   20.8
   98     220   839.9    2.1   18.6   16.8    9.8   20.7
   99     221   848.4    2.1   18.5   16.9    9.8   20.7
  100     222   857.0    2.1   18.4   17.0    9.9   20.7
  101     223   865.6    2.2   18.3   17.1    9.9   20.6
  102     224   874.1    2.2   18.1   17.1    9.9   20.6
  103     225   882.7    2.2   18.0   17.2   10.0   20.6
  104     226   891.3    2.2   17.9   17.3   10.0   20.5
  105     227   899.9    2.2   17.7   17.3   10.0   20.5
  106     228   908.4    2.3   17.6   17.4   10.1   20.4
  107     229   917.0    2.3   17.5   17.5   10.1   20.4
  108     230   925.6    2.3   17.3   17.5   10.1   20.4
  109     231   934.1    2.3   17.2   17.6   10.2   20.3
  110     232   942.7    2.4   17.1   17.6   10.2   20.3
  111     233   951.3    2.4   16.9   17.7   10.2   20.2
  112     234   959.8    2.4   16.8   17.7   10.3   20.2
  113     235   968.4    2.4   16.6   17.8   10.3   20.2
  114     236   977.0    2.4   16.5   17.8   10.4   20.1
  115     237   985.6    2.5   16.3   17.9   10.4   20.1
  116     238   994.1    2.5   16.2   17.9   10.4   20.0
  117     239  1002.7    2.5   16.0   17.9   10.5   20.0
  118     240  1011.3    2.5   15.9   18.0   10.5   19.9
  119     241  1019.8    2.5   15.7   18.0   10.5   19.9
  120     242  1028.4    2.6   15.6   18.0   10.6   19.8
  121     243  1037.0    2.6   15.4   18.1   10.6   19.8
  122     244  1045.5    2.6   15.2   18.1   10.6   19.7
  123     245     8.6    0.0   15.1   18.1   10.7   19.0
  124     246    17.1    0.0   14.9   18.1   10.7   18.8
  125     247    25.7    0.1   14.8   18.2   10.7   18.7
  126     248    34.3    0.1   14.6   18.2   10.8   18.7
  127     249    42.8    0.1   14.4   18.2   10.8   18.6
  128     250    51.4    0.1   14.3   18.2   10.8   18.5
  129     251    60.0    0.1   14.1   18.2   10.9   18.4
  130     252    68.6    0.2   13.9   18.2   10.9   18.3
  131     253    77.1    0.2   13.7   18.2   10.9   18.2
  132     254    85.7    0.2   13.6   18.2   11.0   18.1
  133     255    94.3    0.2   13.4   18.3   11.0   18.1
  134     256   102.8    0.3   13.2   18.3   11.0   18.0
  135     257   111.4    0.3   13.0   18.2   11.1   17.9
  136     258   120.0    0.3   12.9   18.2   11.1   17.8
  137     259   128.5    0.3   12.7   18.2   11.1   17.7
  138     260   137.1    0.3   12.5   18.2   11.2   17.6
  139     261   145.7    0.4   12.3   18.2   11.2   17.5
  140     262   154.3    0.4   12.2   18.2   11.2   17.4
  141     263   162.8    0.4   12.0   18.2   11.3   17.3
  142     264   171.4    0.4   11.8   18.2   11.3   17.3
  143     265   180.0    0.4   11.6   18.1   11.3   17.2
  144     266   188.5    0.5   11.4   18.1   11.4   17.1
  145     267   197.1    0.5   11.3   18.1   11.4   17.0
  146     268   205.7    0.5   11.1   18.1   11.4   16.9
  147     269   214.3    0.5   10.9   18.0   11.5   16.8
  148     270   222.8    0.6   10.7   18.0   11.5   16.7
  149     271   231.4    0.6   10.5   18.0   11.5   16.6
  150     272   240.0    0.6   10.4   17.9   11.5   16.5
  151     273   248.5    0.6   10.2   17.9   11.6   16.5
  152     274   257.1    0.6   10.0   17.9   11.6   16.4
  153     275   265.7    0.7    9.8   17.8   11.6   16.3
  154     276   274.2    0.7    9.6   17.8   11.7   16.2
  155     277   282.8    0.7    9.5   17.7   11.7   16.1
  156     278   291.4    0.7    9.3   17.7   11.7   16.0
  157     279   300.0    0.7    9.1   17.6   11.7   15.9
  158     280   308.5    0.8    8.9   17.6   11.8   15.8
  159     281   317.1    0.8    8.7   17.5   11.8   15.7
  160     282   325.7    0.8    8.6   17.5   11.8   15.7
  161     283   334.2    0.8    8.4   17.4   11.9   15.6
  162     284   342.8    0.9    8.2   17.3   11.9   15.5
  163     285   351.4    0.9    8.0   17.3   11.9   15.4
  164     286   359.9    0.9    7.9   17.2   11.9   15.3
  165     287   368.5    0.9    7.7   17.1   11.9   15.2
  166     288   377.1    0.9    7.5   17.1   12.0   15.1
  167     289   385.7    1.0    7.3   17.0   12.0   15.0
  168     290   394.2    1.0    7.2   16.9   12.0   14.9
  169     291   402.8    1.0    7.0   16.8   12.0   14.9
  170     292   411.4    1.0    6.8   16.8   12.1   14.8
  171     293   419.9    1.0    6.7   16.7   12.1   14.7
  172     294   428.5    1.1    6.5   16.6   12.1   14.6
  173     295   437.1    1.1    6.3   16.5   12.1   14.5
  174     296   445.6    1.1    6.2   16.4   12.1   14.4
  175     297   454.2    1.1    6.0   16.4   12.2   14.3
  176     298   462.8    1.2    5.8   16.3   12.2   14.2
  177     299   471.4    1.2    5.7   16.2   12.2   14.2
  178     300   479.9    1.2    5.5   16.1   12.2   14.1
  179     301   488.5    1.2    5.4   16.0   12.2   14.0
  180     302   497.1    1.2    5.2   15.9   12.3   13.9
  181     303   505.6    1.3    5.0   15.8   12.3   13.8
  182     304   514.2    1.3    4.9   15.7   12.3   13.7
  183     305   522.8    1.3    4.7   15.6   12.3   13.7
  184     306   531.3    1.3    4.6   15.5   12.3   13.6
  185     307   539.9    1.3    4.4   15.4   12.3   13.5
  186     308   548.5    1.4    4.3   15.3   12.3   13.4
  187     309   557.1    1.4    4.1   15.2   12.4   13.3
  188     310   565.6    1.4    4.0   15.1   12.4   13.2
  189     311   574.2    1.4    3.9   15.0   12.4   13.2
  190     312   582.8    1.5    3.7   14.9   12.4   13.1
  191     313   591.3    1.5    3.6   14.8   12.4   13.0
  192     314   599.9    1.5    3.5   14.6   12.4   12.9
  193     315   608.5    1.5    3.3   14.5   12.4   12.8
  194     316   617.0    1.5    3.2   14.4   12.4   12.8
  195     317   625.6    1.6    3.1   14.3   12.4   12.7
  196     318   634.2    1.6    2.9   14.2   12.5   12.6
  197     319   642.8    1.6    2.8   14.1   12.5   12.5
  198     320   651.3    1.6    2.7   13.9   12.5   12.5
  199     321   659.9    1.6    2.6   13.8   12.5   12.4
  200     322   668.5    1.7    2.5   13.7   12.5   12.3
  201     323   677.0    1.7    2.3   13.6   12.5   12.2
