 Day of  Day of
 sim.     year         Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1     123         -17688.          5269.         12262.            66.           -91.
    2     124         -17760.          4767.         11987.           129.          -877.
    3     125         -17831.          4325.         11762.           190.         -1553.
    4     126         -17901.          3995.         11633.           249.         -2024.
    5     127         -17969.          3735.         11562.           307.         -2365.
    6     128         -18036.          3519.         11528.           364.         -2625.
    7     129         -18102.          3333.         11517.           421.         -2832.
    8     130         -18167.          3167.         11521.           477.         -3003.
    9     131         -18230.          3015.         11535.           533.         -3147.
   10     132         -18292.          2875.         11557.           588.         -3272.
   11     133         -18353.          2744.         11584.           642.         -3383.
   12     134         -18412.          2621.         11615.           696.         -3481.
   13     135         -18470.          2503.         11648.           748.         -3570.
   14     136         -18526.          2391.         11683.           801.         -3652.
   15     137         -18581.          2284.         11719.           852.         -3726.
   16     138         -18635.          2180.         11756.           903.         -3795.
   17     139         -18687.          2081.         11794.           953.         -3860.
   18     140         -18737.          1984.         11831.          1002.         -3920.
   19     141         -18786.          1891.         11869.          1050.         -3976.
   20     142         -18834.          1802.         11906.          1097.         -4029.
   21     143         -18879.          1715.         11942.          1144.         -4078.
   22     144         -18924.          1631.         11978.          1190.         -4125.
   23     145         -18967.          1549.         12014.          1235.         -4169.
   24     146         -19008.          1471.         12048.          1279.         -4211.
   25     147         -19047.          1394.         12081.          1322.         -4250.
   26     148         -19085.          1321.         12114.          1364.         -4287.
   27     149         -19122.          1250.         12145.          1405.         -4322.
   28     150         -19157.          1181.         12175.          1445.         -4355.
   29     151         -19190.          1115.         12205.          1485.         -4386.
   30     152         -19221.          1051.         12233.          1523.         -4415.
   31     153         -19251.           990.         12259.          1560.         -4442.
   32     154         -19280.           931.         12285.          1596.         -4467.
   33     155         -19306.           875.         12309.          1631.         -4491.
   34     156         -19331.           821.         12332.          1666.         -4513.
   35     157         -19354.           769.         12353.          1699.         -4533.
   36     158         -19376.           720.         12374.          1731.         -4551.
   37     159         -19395.           673.         12392.          1761.         -4568.
   38     160         -19414.           629.         12410.          1791.         -4583.
   39     161         -19430.           587.         12426.          1820.         -4597.
   40     162         -19445.           547.         12440.          1848.         -4609.
   41     163         -19458.           510.         12454.          1874.         -4620.
   42     164         -19469.           476.         12465.          1899.         -4629.
   43     165         -19478.           443.         12475.          1924.         -4636.
   44     166         -19486.           413.         12484.          1947.         -4642.
   45     167         -19492.           386.         12491.          1969.         -4646.
   46     168         -19497.           361.         12497.          1989.         -4649.
   47     169         -19499.           338.         12502.          2009.         -4651.
   48     170         -19500.           318.         12504.          2027.         -4650.
   49     171         -19499.           300.         12506.          2045.         -4649.
   50     172         -19497.           285.         12506.          2061.         -4646.
   51     173         -19492.           272.         12504.          2076.         -4641.
   52     174         -19486.           261.         12501.          2090.         -4635.
   53     175         -19478.           253.         12496.          2102.         -4627.
   54     176         -19469.           247.         12490.          2114.         -4618.
   55     177         -19458.           244.         12482.          2124.         -4608.
   56     178         -19445.           243.         12473.          2133.         -4596.
   57     179         -19430.           245.         12462.          2141.         -4583.
   58     180         -19414.           249.         12449.          2148.         -4568.
   59     181         -19395.           255.         12436.          2153.         -4551.
   60     182         -19376.           264.         12420.          2158.         -4534.
   61     183         -19354.           275.         12403.          2161.         -4515.
   62     184         -19331.           289.         12385.          2163.         -4494.
   63     185         -19306.           304.         12365.          2164.         -4472.
   64     186         -19280.           323.         12344.          2164.         -4449.
   65     187         -19251.           343.         12321.          2163.         -4424.
   66     188         -19221.           367.         12296.          2161.         -4398.
   67     189         -19190.           392.         12270.          2157.         -4370.
   68     190         -19157.           420.         12243.          2153.         -4341.
   69     191         -19122.           450.         12214.          2147.         -4311.
   70     192         -19085.           482.         12184.          2140.         -4279.
   71     193         -19047.           517.         12152.          2132.         -4246.
   72     194         -19008.           554.         12119.          2124.         -4212.
   73     195         -18967.           593.         12084.          2114.         -4176.
   74     196         -18924.           634.         12048.          2103.         -4139.
   75     197         -18879.           678.         12010.          2091.         -4101.
   76     198         -18834.           724.         11971.          2078.         -4061.
   77     199         -18786.           772.         11930.          2064.         -4020.
   78     200         -18737.           823.         11888.          2049.         -3978.
   79     201         -18687.           875.         11845.          2033.         -3934.
   80     202         -18635.           930.         11800.          2016.         -3889.
   81     203         -18581.           986.         11754.          1998.         -3843.
   82     204         -18526.          1045.         11707.          1979.         -3795.
   83     205         -18470.          1106.         11658.          1959.         -3747.
   84     206         -18412.          1169.         11607.          1939.         -3697.
   85     207         -18353.          1234.         11556.          1917.         -3646.
   86     208         -18292.          1301.         11503.          1895.         -3593.
   87     209         -18230.          1371.         11449.          1872.         -3540.
   88     210         -18167.          1442.         11393.          1848.         -3485.
   89     211         -18102.          1515.         11336.          1823.         -3429.
   90     212         -18036.          1589.         11278.          1797.         -3372.
   91     213         -17969.          1666.         11218.          1771.         -3314.
   92     214         -17901.          1745.         11157.          1744.         -3254.
   93     215         -17831.          1825.         11095.          1716.         -3194.
   94     216         -17760.          1908.         11032.          1688.         -3132.
   95     217         -17688.          1992.         10968.          1658.         -3070.
   96     218         -17614.          2077.         10902.          1629.         -3006.
   97     219         -17539.          2165.         10835.          1598.         -2941.
   98     220         -17464.          2254.         10767.          1567.         -2876.
   99     221         -17387.          2345.         10698.          1535.         -2809.
  100     222         -17309.          2437.         10627.          1503.         -2741.
  101     223         -17230.          2531.         10556.          1471.         -2672.
  102     224         -17149.          2627.         10483.          1437.         -2602.
  103     225         -17068.          2724.         10409.          1404.         -2532.
  104     226         -16986.          2822.         10334.          1370.         -2460.
  105     227         -16903.          2922.         10258.          1335.         -2387.
  106     228         -16819.          3023.         10181.          1300.         -2314.
  107     229         -16733.          3126.         10103.          1264.         -2240.
  108     230         -16647.          3230.         10024.          1229.         -2165.
  109     231         -16560.          3335.          9944.          1193.         -2089.
  110     232         -16473.          3442.          9863.          1156.         -2012.
  111     233         -16384.          3549.          9781.          1120.         -1934.
  112     234         -16295.          3658.          9698.          1083.         -1856.
  113     235         -16204.          3768.          9614.          1046.         -1777.
  114     236         -16113.          3879.          9529.          1008.         -1697.
  115     237         -16022.          3992.          9443.           971.         -1616.
  116     238         -15929.          4105.          9357.           933.         -1535.
  117     239         -15836.          4219.          9269.           895.         -1453.
  118     240         -15743.          4334.          9181.           857.         -1370.
  119     241         -15648.          4450.          9092.           819.         -1287.
  120     242         -15553.          4567.          9002.           781.         -1204.
  121     243         -15458.          4684.          8911.           743.         -1119.
  122     244         -15362.          4803.          8819.           706.         -1034.
  123     245         -15265.          5735.          9438.             8.           -84.
  124     246         -15168.          5415.          8961.            13.          -779.
  125     247         -15071.          5173.          8551.            14.         -1332.
  126     248         -14973.          5044.          8237.            14.         -1678.
  127     249         -14874.          4984.          7983.            12.         -1895.
  128     250         -14776.          4967.          7766.            10.         -2034.
  129     251         -14677.          4978.          7572.             6.         -2121.
  130     252         -14578.          5008.          7394.             2.         -2173.
  131     253         -14478.          5052.          7228.            -3.         -2201.
  132     254         -14378.          5107.          7069.            -9.         -2210.
  133     255         -14278.          5170.          6918.           -15.         -2206.
  134     256         -14178.          5239.          6770.           -23.         -2191.
  135     257         -14078.          5313.          6627.           -31.         -2168.
  136     258         -13977.          5392.          6487.           -39.         -2138.
  137     259         -13877.          5473.          6349.           -48.         -2102.
  138     260         -13776.          5558.          6213.           -58.         -2062.
  139     261         -13675.          5645.          6080.           -68.         -2018.
  140     262         -13574.          5735.          5947.           -79.         -1971.
  141     263         -13474.          5826.          5816.           -90.         -1921.
  142     264         -13373.          5919.          5686.          -101.         -1869.
  143     265         -13273.          6013.          5558.          -113.         -1815.
  144     266         -13172.          6108.          5430.          -126.         -1760.
  145     267         -13072.          6205.          5303.          -138.         -1702.
  146     268         -12972.          6302.          5177.          -151.         -1644.
  147     269         -12872.          6400.          5052.          -165.         -1585.
  148     270         -12772.          6499.          4927.          -178.         -1524.
  149     271         -12673.          6598.          4803.          -192.         -1463.
  150     272         -12574.          6698.          4680.          -206.         -1401.
  151     273         -12475.          6798.          4558.          -220.         -1339.
  152     274         -12376.          6899.          4436.          -234.         -1276.
  153     275         -12278.          7000.          4315.          -249.         -1212.
  154     276         -12181.          7101.          4194.          -263.         -1149.
  155     277         -12083.          7202.          4075.          -277.         -1085.
  156     278         -11986.          7302.          3955.          -292.         -1021.
  157     279         -11890.          7403.          3837.          -307.          -956.
  158     280         -11794.          7504.          3719.          -321.          -892.
  159     281         -11699.          7605.          3602.          -335.          -828.
  160     282         -11605.          7705.          3486.          -350.          -764.
  161     283         -11511.          7805.          3370.          -364.          -700.
  162     284         -11417.          7905.          3255.          -378.          -636.
  163     285         -11324.          8004.          3141.          -392.          -572.
  164     286         -11232.          8103.          3027.          -406.          -508.
  165     287         -11141.          8201.          2914.          -419.          -445.
  166     288         -11050.          8299.          2802.          -432.          -382.
  167     289         -10961.          8396.          2691.          -445.          -319.
  168     290         -10872.          8492.          2581.          -458.          -257.
  169     291         -10783.          8588.          2471.          -470.          -195.
  170     292         -10696.          8683.          2362.          -482.          -133.
  171     293         -10609.          8777.          2254.          -494.           -72.
  172     294         -10524.          8870.          2147.          -505.           -12.
  173     295         -10439.          8962.          2041.          -516.            48.
  174     296         -10356.          9054.          1935.          -526.           108.
  175     297         -10273.          9144.          1831.          -535.           167.
  176     298         -10191.          9233.          1727.          -545.           225.
  177     299         -10110.          9322.          1625.          -553.           282.
  178     300         -10031.          9409.          1523.          -562.           339.
  179     301          -9952.          9495.          1422.          -569.           396.
  180     302          -9875.          9580.          1322.          -576.           451.
  181     303          -9798.          9663.          1224.          -582.           506.
  182     304          -9723.          9745.          1126.          -588.           560.
  183     305          -9649.          9826.          1029.          -593.           613.
  184     306          -9576.          9906.           934.          -597.           666.
  185     307          -9505.          9984.           839.          -601.           717.
  186     308          -9434.         10060.           745.          -604.           768.
  187     309          -9365.         10135.           653.          -606.           818.
  188     310          -9297.         10209.           562.          -607.           867.
  189     311          -9230.         10281.           472.          -607.           915.
  190     312          -9165.         10352.           382.          -607.           962.
  191     313          -9101.         10421.           295.          -606.          1008.
  192     314          -9038.         10488.           208.          -604.          1053.
  193     315          -8977.         10553.           122.          -601.          1097.
  194     316          -8917.         10617.            38.          -597.          1141.
  195     317          -8859.         10679.           -45.          -593.          1183.
  196     318          -8802.         10740.          -127.          -587.          1224.
