 Day of  Day of
 sim.     year         Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1     123         -16903.          4853.         11898.            65.           -88.
    2     124         -16986.          4371.         11640.           127.          -849.
    3     125         -17068.          3946.         11430.           186.         -1506.
    4     126         -17149.          3629.         11312.           243.         -1965.
    5     127         -17230.          3379.         11251.           300.         -2299.
    6     128         -17309.          3173.         11224.           357.         -2555.
    7     129         -17387.          2994.         11220.           412.         -2760.
    8     130         -17464.          2835.         11231.           467.         -2930.
    9     131         -17539.          2691.         11251.           522.         -3075.
   10     132         -17614.          2558.         11279.           576.         -3201.
   11     133         -17688.          2434.         11312.           629.         -3313.
   12     134         -17760.          2317.         11348.           682.         -3413.
   13     135         -17831.          2205.         11387.           734.         -3504.
   14     136         -17901.          2100.         11428.           785.         -3588.
   15     137         -17969.          1998.         11470.           836.         -3666.
   16     138         -18036.          1901.         11512.           886.         -3738.
   17     139         -18102.          1807.         11555.           935.         -3805.
   18     140         -18167.          1717.         11598.           984.         -3868.
   19     141         -18230.          1631.         11640.          1031.         -3928.
   20     142         -18292.          1547.         11683.          1078.         -3984.
   21     143         -18353.          1466.         11725.          1125.         -4038.
   22     144         -18412.          1388.         11766.          1170.         -4088.
   23     145         -18470.          1313.         11807.          1214.         -4136.
   24     146         -18526.          1240.         11846.          1258.         -4182.
   25     147         -18581.          1170.         11885.          1301.         -4225.
   26     148         -18635.          1103.         11923.          1343.         -4266.
   27     149         -18687.          1038.         11960.          1384.         -4305.
   28     150         -18737.           976.         11996.          1424.         -4342.
   29     151         -18786.           916.         12030.          1463.         -4377.
   30     152         -18834.           858.         12064.          1501.         -4411.
   31     153         -18879.           803.         12096.          1538.         -4442.
   32     154         -18924.           751.         12127.          1575.         -4472.
   33     155         -18967.           701.         12156.          1610.         -4500.
   34     156         -19008.           653.         12185.          1644.         -4526.
   35     157         -19047.           608.         12212.          1677.         -4551.
   36     158         -19085.           565.         12238.          1710.         -4574.
   37     159         -19122.           524.         12262.          1741.         -4595.
   38     160         -19157.           486.         12285.          1771.         -4615.
   39     161         -19190.           451.         12306.          1800.         -4633.
   40     162         -19221.           417.         12327.          1828.         -4649.
   41     163         -19251.           387.         12345.          1855.         -4664.
   42     164         -19280.           358.         12362.          1881.         -4678.
   43     165         -19306.           332.         12378.          1906.         -4690.
   44     166         -19331.           309.         12393.          1929.         -4700.
   45     167         -19354.           288.         12406.          1952.         -4709.
   46     168         -19376.           269.         12417.          1973.         -4716.
   47     169         -19395.           253.         12427.          1994.         -4722.
   48     170         -19414.           239.         12435.          2013.         -4727.
   49     171         -19430.           227.         12442.          2031.         -4729.
   50     172         -19445.           218.         12447.          2048.         -4731.
   51     173         -19458.           212.         12451.          2064.         -4730.
   52     174         -19469.           207.         12454.          2079.         -4729.
   53     175         -19478.           206.         12454.          2093.         -4725.
   54     176         -19486.           206.         12454.          2105.         -4721.
   55     177         -19492.           209.         12452.          2117.         -4715.
   56     178         -19497.           215.         12448.          2127.         -4707.
   57     179         -19499.           223.         12442.          2136.         -4698.
   58     180         -19500.           233.         12436.          2144.         -4687.
   59     181         -19499.           246.         12427.          2151.         -4675.
   60     182         -19497.           261.         12417.          2157.         -4661.
   61     183         -19492.           278.         12406.          2162.         -4646.
   62     184         -19486.           298.         12393.          2166.         -4630.
   63     185         -19478.           320.         12379.          2168.         -4612.
   64     186         -19469.           344.         12363.          2169.         -4592.
   65     187         -19458.           371.         12345.          2170.         -4571.
   66     188         -19445.           400.         12326.          2169.         -4549.
   67     189         -19430.           432.         12305.          2167.         -4525.
   68     190         -19414.           466.         12283.          2164.         -4500.
   69     191         -19395.           502.         12260.          2161.         -4473.
   70     192         -19376.           540.         12235.          2156.         -4445.
   71     193         -19354.           581.         12208.          2150.         -4416.
   72     194         -19331.           624.         12180.          2142.         -4385.
   73     195         -19306.           669.         12150.          2134.         -4352.
   74     196         -19280.           716.         12119.          2125.         -4319.
   75     197         -19251.           766.         12087.          2115.         -4283.
   76     198         -19221.           818.         12053.          2104.         -4247.
   77     199         -19190.           872.         12017.          2092.         -4209.
   78     200         -19157.           928.         11980.          2079.         -4169.
   79     201         -19122.           986.         11942.          2065.         -4129.
   80     202         -19085.          1046.         11902.          2051.         -4087.
   81     203         -19047.          1108.         11861.          2035.         -4043.
   82     204         -19008.          1173.         11818.          2018.         -3999.
   83     205         -18967.          1239.         11774.          2001.         -3953.
   84     206         -18924.          1308.         11729.          1982.         -3905.
   85     207         -18879.          1378.         11682.          1963.         -3856.
   86     208         -18834.          1451.         11633.          1943.         -3806.
   87     209         -18786.          1525.         11584.          1922.         -3755.
   88     210         -18737.          1601.         11533.          1900.         -3703.
   89     211         -18687.          1680.         11480.          1878.         -3649.
   90     212         -18635.          1760.         11427.          1855.         -3594.
   91     213         -18581.          1841.         11372.          1831.         -3537.
   92     214         -18526.          1925.         11315.          1806.         -3480.
   93     215         -18470.          2011.         11258.          1781.         -3421.
   94     216         -18412.          2098.         11199.          1755.         -3361.
   95     217         -18353.          2187.         11138.          1728.         -3300.
   96     218         -18292.          2277.         11077.          1701.         -3238.
   97     219         -18230.          2369.         11014.          1673.         -3175.
   98     220         -18167.          2463.         10950.          1644.         -3110.
   99     221         -18102.          2559.         10885.          1615.         -3044.
  100     222         -18036.          2655.         10818.          1585.         -2977.
  101     223         -17969.          2754.         10751.          1555.         -2910.
  102     224         -17901.          2854.         10682.          1524.         -2841.
  103     225         -17831.          2955.         10612.          1493.         -2771.
  104     226         -17760.          3058.         10541.          1461.         -2700.
  105     227         -17688.          3162.         10468.          1429.         -2628.
  106     228         -17614.          3267.         10395.          1397.         -2555.
  107     229         -17539.          3374.         10321.          1364.         -2480.
  108     230         -17464.          3482.         10245.          1331.         -2406.
  109     231         -17387.          3591.         10168.          1297.         -2330.
  110     232         -17309.          3702.         10091.          1264.         -2253.
  111     233         -17230.          3813.         10012.          1229.         -2175.
  112     234         -17149.          3926.          9932.          1195.         -2096.
  113     235         -17068.          4040.          9851.          1160.         -2017.
  114     236         -16986.          4154.          9770.          1126.         -1937.
  115     237         -16903.          4270.          9687.          1091.         -1855.
  116     238         -16819.          4386.          9603.          1055.         -1774.
  117     239         -16733.          4504.          9519.          1020.         -1691.
  118     240         -16647.          4622.          9433.           985.         -1607.
  119     241         -16560.          4741.          9347.           949.         -1523.
  120     242         -16473.          4861.          9259.           914.         -1438.
  121     243         -16384.          4982.          9171.           878.         -1353.
  122     244         -16295.          5103.          9082.           843.         -1267.
  123     245         -16204.          6233.          9874.            10.           -87.
  124     246         -16113.          5899.          9384.            17.          -814.
  125     247         -16022.          5645.          8963.            20.         -1394.
  126     248         -15929.          5508.          8643.            21.         -1757.
  127     249         -15836.          5443.          8385.            21.         -1987.
  128     250         -15743.          5422.          8165.            20.         -2135.
  129     251         -15648.          5431.          7969.            18.         -2230.
  130     252         -15553.          5460.          7789.            16.         -2288.
  131     253         -15458.          5503.          7622.            12.         -2321.
  132     254         -15362.          5557.          7463.             8.         -2334.
  133     255         -15265.          5619.          7310.             3.         -2333.
  134     256         -15168.          5687.          7163.            -3.         -2321.
  135     257         -15071.          5761.          7019.            -9.         -2299.
  136     258         -14973.          5839.          6878.           -16.         -2271.
  137     259         -14874.          5920.          6740.           -23.         -2237.
  138     260         -14776.          6005.          6604.           -31.         -2198.
  139     261         -14677.          6091.          6470.           -40.         -2155.
  140     262         -14578.          6180.          6337.           -49.         -2109.
  141     263         -14478.          6271.          6206.           -58.         -2060.
  142     264         -14378.          6363.          6075.           -68.         -2008.
  143     265         -14278.          6457.          5946.           -78.         -1954.
  144     266         -14178.          6551.          5817.           -89.         -1898.
  145     267         -14078.          6647.          5690.          -100.         -1841.
  146     268         -13977.          6744.          5563.          -112.         -1782.
  147     269         -13877.          6841.          5437.          -123.         -1722.
  148     270         -13776.          6939.          5312.          -135.         -1661.
  149     271         -13675.          7037.          5187.          -147.         -1599.
  150     272         -13574.          7136.          5063.          -160.         -1536.
  151     273         -13474.          7235.          4939.          -172.         -1472.
  152     274         -13373.          7334.          4816.          -185.         -1408.
  153     275         -13273.          7433.          4694.          -198.         -1343.
  154     276         -13172.          7533.          4572.          -211.         -1278.
  155     277         -13072.          7632.          4451.          -224.         -1213.
  156     278         -12972.          7731.          4331.          -237.         -1147.
  157     279         -12872.          7831.          4211.          -250.         -1081.
  158     280         -12772.          7930.          4091.          -264.         -1015.
  159     281         -12673.          8028.          3973.          -277.          -949.
  160     282         -12574.          8127.          3855.          -290.          -882.
  161     283         -12475.          8225.          3737.          -303.          -816.
  162     284         -12376.          8322.          3620.          -316.          -749.
  163     285         -12278.          8419.          3504.          -328.          -683.
  164     286         -12181.          8516.          3388.          -341.          -617.
  165     287         -12083.          8612.          3274.          -353.          -551.
  166     288         -11986.          8707.          3159.          -365.          -485.
  167     289         -11890.          8801.          3046.          -377.          -420.
  168     290         -11794.          8895.          2933.          -388.          -355.
  169     291         -11699.          8988.          2821.          -400.          -290.
  170     292         -11605.          9080.          2710.          -411.          -225.
  171     293         -11511.          9171.          2599.          -421.          -161.
  172     294         -11417.          9262.          2490.          -431.           -97.
  173     295         -11324.          9351.          2381.          -441.           -34.
  174     296         -11232.          9439.          2273.          -451.            29.
  175     297         -11141.          9527.          2165.          -459.            91.
  176     298         -11050.          9613.          2059.          -468.           153.
  177     299         -10961.          9698.          1953.          -476.           215.
  178     300         -10872.          9781.          1849.          -483.           275.
  179     301         -10783.          9864.          1745.          -490.           335.
  180     302         -10696.          9945.          1642.          -496.           395.
  181     303         -10609.         10025.          1540.          -502.           453.
  182     304         -10524.         10103.          1439.          -507.           511.
  183     305         -10439.         10180.          1339.          -512.           569.
  184     306         -10356.         10256.          1240.          -516.           625.
  185     307         -10273.         10330.          1142.          -519.           681.
