 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1       1        1            -31.         11115.           363.            47.         11494.
    2       2        1            -42.          9109.           153.            39.          9259.
    3       3        1            -22.          9001.           -29.            32.          8982.
    4       4        1            -17.          7493.          -155.            27.          7347.
    5       5        1           -147.          7109.          -254.            23.          6731.
    6       6        1            -28.          7527.          -349.            18.          7168.
    7       7        1            -21.          6044.          -406.            15.          5632.
    8       8        1            -29.          5229.          -439.            14.          4775.
    9       9        1            -80.          6630.          -487.            10.          6073.
   10      10        1            -28.          5662.          -518.             8.          5124.
   11      11        1            -36.          5709.          -545.             6.          5133.
   12      12        1           -109.          6518.          -579.             4.          5834.
   13      13        1            -40.          6355.          -607.             2.          5710.
   14      14        1            -31.          7005.          -640.            -1.          6334.
   15      15        1            -51.         11357.          -724.            -8.         10573.
   16      16        1            -40.          5598.          -731.            -9.          4819.
   17      17        1            -23.          4774.          -725.            -8.          4019.
   18      18        1            -27.          3599.          -704.            -6.          2862.
   19      19        1            -49.          3516.          -679.            -4.          2784.
   20      20        1            -38.          2046.          -637.            -1.          1370.
   21      21        1            -47.           823.          -582.             3.           196.
   22      22        1            -28.          1107.          -536.             6.           549.
   23      23        1           -134.           455.          -487.            12.          -154.
   24      24        1           -157.          4750.          -483.            13.          4123.
   25      25        1            -29.          3889.          -470.            15.          3404.
   26      26        1            -44.          5979.          -477.            14.          5472.
   27      27        1            -59.          8886.          -508.            11.          8331.
   28      28        1            -39.          6738.          -517.            11.          6192.
   29      29        1            -83.          5993.          -519.            11.          5402.
   30      30        1           -114.         12375.          -572.             5.         11693.
   31      31        1           -221.         13717.          -634.            -2.         12860.
   32      32        1           -224.         10568.          -665.            -6.          9673.
   33      33        1            -37.          6962.          -667.            -7.          6252.
   34      34        1            -85.          6631.          -663.            -6.          5876.
   35      35        1           -136.          8434.          -671.            -7.          7619.
   36      36        1           -168.          9689.          -666.            -6.          8850.
   37      37        1           -187.          9332.          -645.            -2.          8497.
   38      38        1           -148.         12699.          -626.             3.         11928.
   39      39        1           -235.         11381.          -604.             8.         10550.
   40      40        1           -407.         15298.          -580.            15.         14326.
   41      41        1            -79.         13692.          -559.            20.         13073.
   42      42        1           -120.         12612.          -541.            23.         11974.
   43      43        1           -231.         10139.          -519.            27.          9416.
   44      44        1           -480.          8174.          -503.            31.          7222.
   45      45        1           -216.          3899.          -481.            34.          3236.
   46      46        1           -402.          9246.          -473.            37.          8408.
   47      47        1           -159.          8859.          -452.            42.          8289.
   48      48        1           -135.          4111.          -431.            46.          3591.
   49      49        1           -204.          4413.          -414.            48.          3842.
   50      50        1           -143.           -28.          -377.            53.          -494.
   51      51        1           -101.         -1429.          -341.            58.         -1813.
   52      52        1           -198.         -2371.          -306.            63.         -2813.
   53      53        1            -85.         -1104.          -272.            68.         -1393.
   54      54        1            -56.         -1168.          -240.            73.         -1390.
   55      55        1            -92.         -3540.          -211.            78.         -3764.
   56      56        1            -70.         -6361.          -183.            82.         -6532.
   57      57        1           -489.         -3637.          -154.            88.         -4193.
   58      58        1           -354.          -268.          -122.            95.          -650.
   59      59        1           -475.         -1422.           -92.           100.         -1888.
   60      60        1           -383.          -783.           -63.           106.         -1123.
   61      61        1           -541.          -645.           -37.           111.         -1112.
   62      62        1           -550.           146.            -9.           117.          -297.
   63      63        1           -428.          3156.             2.           120.          2850.
   64      64        1           -541.          5207.             4.           122.          4793.
   65      65        1           -201.           850.            28.           127.           804.
   66      66        1           -334.          2747.            44.           130.          2587.
   67      67        1           -649.          3161.            59.           135.          2705.
   68      68        1           -188.          3932.            69.           138.          3951.
   69      69        1           -169.          7015.            64.           139.          7049.
   70      70        1           -188.          3694.            75.           142.          3723.
   71      71        1           -172.           780.            96.           148.           852.
   72      72        1           -317.          -298.           121.           155.          -340.
   73      73        1           -228.           928.           142.           161.          1002.
   74      74        1           -555.           950.           164.           167.           726.
   75      75        1           -508.          1830.           181.           171.          1674.
   76      76        1           -336.          3021.           194.           173.          3052.
   77      77        1           -404.          3932.           202.           174.          3905.
   78      78        1           -616.          4723.           209.           175.          4490.
   79      79        1           -447.           380.           232.           180.           345.
   80      80        1           -673.          -116.           255.           186.          -348.
   81      81        1           -527.          -632.           277.           191.          -690.
   82      82        1           -861.         -2883.           297.           195.         -3252.
   83      83        1           -541.         -3118.           314.           198.         -3147.
   84      84        1           -819.         -2626.           330.           201.         -2913.
   85      85        1           -574.         -2376.           345.           204.         -2401.
   86      86        1           -701.         -2893.           359.           207.         -3028.
   87      87        1           -159.          -406.           374.           210.            19.
   88      88        1           -265.         -3657.           386.           212.         -3324.
   89      89        1           -424.         -5868.           396.           213.         -5684.
   90      90        1           -256.         -1403.           409.           216.         -1035.
   91      91        1           -922.           744.           422.           218.           462.
   92      92        1           -560.           675.           430.           220.           766.
   93      93        1           -936.          -467.           439.           223.          -741.
   94      94        1           -979.         -1735.           447.           224.         -2043.
   95      95        1           -508.          2274.           454.           224.          2444.
