 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1   105.90    0.00    0.24    0.13    4.63    9.79   13.63
    2       2        1   111.80    0.00    0.25    0.63    4.55    9.68   11.54
    3       3        1   117.70    0.00    0.27   -0.76    4.45    9.59    9.89
    4       4        1   123.60    0.00    0.28   -0.13    4.37    9.50    8.60
    5       5        1   129.50    0.00    0.29   -0.56    4.29    9.42    7.62
    6       6        1   135.40    0.00    0.31   -1.87    4.19    9.32    6.73
    7       7        1   141.30    0.00    0.32   -0.74    4.11    9.23    6.03
    8       8        1   147.20    0.00    0.33   -0.19    4.03    9.12    5.57
    9       9        1   153.10    0.00    0.35   -2.27    3.97    8.99    5.10
   10      10        1   159.00    0.00    0.36   -1.53    3.93    8.89    4.65
   11      11        1   164.90    0.00    0.37   -1.90    3.90    8.78    4.30
   12      12        1   170.80    0.00    0.39   -3.19    3.76    8.66    3.92
   13      13        1   176.70    0.00    0.40   -3.35    3.59    8.54    3.54
   14      14        1   182.60    0.00    0.41   -4.47    3.49    8.40    3.14
   15      15        1   188.50    0.00    0.43  -10.20    3.35    8.23    2.46
   16      16        1   194.40    0.00    0.44   -3.91    3.21    8.10    1.95
   17      17        1   200.30    0.00    0.45   -3.05    3.04    7.98    1.83
   18      18        1   206.20    0.00    0.47   -1.67    2.91    7.88    1.83
   19      19        1   212.10    0.00    0.48   -1.51    2.80    7.75    1.90
   20      20        1   218.00    0.00    0.49    0.34    2.73    7.62    2.05
   21      21        1   223.90    0.00    0.51    2.02    2.74    7.49    2.33
   22      22        1   229.80    0.00    0.52    1.96    2.70    7.40    2.63
   23      23        1   235.70    0.00    0.53    3.00    2.62    7.32    2.93
   24      24        1   241.60    0.00    0.55   -1.90    2.44    7.22    3.04
   25      25        1   247.50    0.00    0.56   -0.95    2.31    7.09    2.99
   26      26        1   253.40    0.00    0.57   -3.49    2.20    6.96    2.88
   27      27        1   259.30    0.00    0.59   -7.17    2.02    6.79    2.55
   28      28        1   265.20    0.00    0.60   -4.99    1.87    6.63    2.22
   29      29        1   271.10    0.00    0.61   -4.31    1.72    6.48    2.02
   30      30        1   277.00    0.00    0.63  -12.10    1.49    6.29    1.59
   31      31        1   282.90    0.00    0.64  -14.30    1.26    6.07    0.88
   32      32        1   288.80    0.22    0.65  -11.20    1.07    5.88    0.30
   33      33        1   294.70    0.88    0.67   -7.32    0.91    5.72    0.08
   34      34        1   300.60    1.51    0.68   -7.08    0.76    5.56    0.09
   35      35        1   306.50    2.63    0.70   -9.35    0.56    5.37    0.06
   36      36        1   312.40    4.15    0.71  -10.90    0.35    5.20    0.05
   37      37        1   318.30    5.51    0.72  -10.50    0.12    5.04    0.05
   38      38        1   324.20    7.97    0.74  -14.30   -0.17    4.87    0.04
   39      39        1   330.10    9.89    0.75  -12.80   -0.43    4.71    0.04
   40      40        1   336.00   12.81    0.76  -17.20   -0.78    4.53    0.01
   41      41        1   341.90   15.47    0.78  -15.40   -1.04    4.37    0.01
   42      42        1   347.80   17.92    0.79  -14.20   -1.21    4.21    0.03
   43      43        1   353.70   19.51    0.80  -11.40   -1.37    4.05    0.04
   44      44        1   359.60   20.57    0.82   -9.19   -1.55    3.93    0.05
   45      45        1   365.50   20.57    0.83   -4.32   -1.64    3.83    0.12
   46      46        1   371.40   21.79    0.84  -10.40   -1.79    3.69    0.05
   47      47        1   377.30   23.09    0.86   -9.96   -2.01    3.54    0.04
   48      48        1   383.20   23.14    0.87   -4.58   -2.12    3.41    0.10
   49      49        1   389.10   23.19    0.88   -4.90   -2.17    3.30    0.10
   50      50        1   395.00   23.11    0.90    0.31   -2.17    3.22    0.22
   51      51        1   400.90   22.65    0.91    2.10   -2.13    3.16    0.44
   52      52        1   406.80   21.91    0.92    3.37   -2.08    3.10    0.65
   53      53        1   412.70   21.55    0.94    2.15   -2.07    3.03    0.86
   54      54        1   418.60   21.18    0.95    2.42   -2.06    2.98    1.06
   55      55        1   424.50   20.15    0.96    5.28   -2.03    2.95    1.25
   56      56        1   430.40   18.34    0.98    8.64   -1.96    2.92    1.44
   57      57        1   436.30   17.18    0.99    5.76   -1.96    2.88    1.62
   58      58        1   442.20   17.00    1.00    2.15   -2.02    2.80    1.80
   59      59        1   448.10   16.47    1.02    3.62   -2.03    2.74    1.98
   60      60        1   454.00   16.15    1.03    3.07   -2.03    2.68    2.14
   61      61        1   459.90   15.82    1.04    3.08   -2.02    2.64    2.31
   62      62        1   465.80   15.72    1.06    2.35   -2.01    2.59    2.47
   63      63        1   471.70   15.72    1.07   -1.00   -2.04    2.53    2.56
   64      64        1   477.60   15.72    1.08   -3.36   -2.14    2.46    2.53
   65      65        1   483.50   15.72    1.10    1.65   -2.15    2.39    2.57
   66      66        1   489.40   15.72    1.11   -0.44   -2.16    2.31    2.64
   67      67        1   495.30   15.72    1.12   -0.88   -2.24    2.22    2.67
   68      68        1   501.20   15.72    1.14   -1.76   -2.32    2.12    2.68
   69      69        1   507.10   15.72    1.15   -5.37   -2.43    2.02    2.58
   70      70        1   513.00   15.72    1.16   -1.65   -2.50    1.92    2.50
   71      71        1   518.90   15.72    1.18    1.73   -2.55    1.86    2.55
   72      72        1   524.80   15.56    1.19    3.08   -2.59    1.80    2.68
   73      73        1   530.70   15.56    1.20    1.80   -2.64    1.73    2.80
   74      74        1   536.60   15.56    1.22    1.88   -2.67    1.66    2.91
   75      75        1   542.50   15.56    1.23    0.96   -2.69    1.60    3.00
   76      76        1   548.40   15.56    1.24   -0.37   -2.67    1.52    3.04
   77      77        1   554.30   15.56    1.26   -1.41   -2.68    1.43    3.04
   78      78        1   560.20   15.56    1.27   -2.34   -2.67    1.33    3.01
   79      79        1   566.10   15.56    1.28    2.65   -2.68    1.27    3.05
   80      80        1   572.00   15.37    1.30    3.33   -2.68    1.21    3.17
   81      81        1   577.90   15.09    1.31    4.03   -2.67    1.15    3.29
   82      82        1   583.80   14.09    1.32    6.68   -2.61    1.12    3.41
   83      83        1   589.70   13.11    1.34    7.06   -2.53    1.10    3.53
   84      84        1   595.60   12.20    1.35    6.62   -2.45    1.09    3.64
   85      85        1   601.50   11.42    1.36    6.45   -2.36    1.08    3.75
   86      86        1   607.40   10.47    1.38    7.14   -2.28    1.08    3.86
   87      87        1   613.30   10.35    1.39    4.45   -2.22    1.07    3.97
   88      88        1   619.20    9.29    1.40    8.21   -2.09    1.08    4.08
   89      89        1   625.10    7.58    1.42   10.80   -1.95    1.11    4.18
   90      90        1   631.00    7.16    1.43    5.88   -1.88    1.11    4.28
   91      91        1   636.90    7.16    1.44    3.55   -1.81    1.09    4.38
   92      92        1   642.80    7.16    1.46    3.70   -1.74    1.10    4.47
   93      93        1   648.70    6.84    1.47    5.08   -1.66    1.12    4.56
   94      94        1   654.60    6.15    1.48    6.60   -1.54    1.16    4.65
   95      95        1   660.50    6.15    1.50    2.11   -1.47    1.12    4.71
   96      96        1   666.40    6.15    1.51    3.40   -1.38    1.07    4.76
   97      97        1   672.30    6.15    1.52    3.07   -1.21    1.07    4.82
   98      98        1   678.20    6.15    1.54    1.28   -1.15    1.07    4.85
   99      99        1   684.10    6.15    1.55    4.12   -1.06    1.05    4.89
  100     100        1   690.00    6.11    1.56    4.18   -0.99    1.01    4.97
  101     101        1   695.90    6.11    1.58    3.23   -0.93    0.97    5.04
  102     102        1   701.80    6.11    1.59    2.96   -0.90    0.94    5.08
  103     103        1   707.70    6.11    1.60    2.29   -0.90    0.93    5.10
  104     104        1   713.60    6.11    1.62    1.39   -0.91    0.92    5.11
  105     105        1   719.50    6.11    1.63    2.40   -0.91    0.91    5.13
  106     106        1   725.40    6.02    1.64    4.49   -0.84    0.88    5.18
  107     107        1   731.30    5.48    1.66    6.48   -0.74    0.84    5.26
  108     108        1   737.20    4.93    1.67    6.48   -0.62    0.82    5.34
  109     109        1   743.10    4.46    1.69    6.22   -0.46    0.82    5.42
  110     110        1   749.00    3.79    1.70    7.10   -0.31    0.82    5.49
  111     111        1   754.90    3.13    1.71    7.52   -0.17    0.82    5.57
  112     112        1   760.80    3.13    1.73    1.53   -0.00    0.78    5.59
  113     113        1   766.70    3.13    1.74    3.52    0.22    0.76    5.59
  114     114        1   772.60    3.13    1.75    1.88    0.38    0.74    5.60
  115     115        1   778.50    3.13    1.77    0.99    0.48    0.73    5.57
  116     116        1   784.40    3.13    1.78    1.74    0.58    0.70    5.55
  117     117        1   790.30    3.13    1.79    2.71    0.73    0.68    5.55
  118     118        1   796.20    3.13    1.81    3.22    0.90    0.66    5.58
  119     119        1   802.10    3.13    1.82    3.48    1.07    0.64    5.61
  120     120        1   808.00    3.13    1.83    3.42    1.29    0.62    5.64
  121     121        1   813.90    3.13    1.85    3.76    1.49    0.58    5.68
  122     122        1   819.80    2.81    1.86    6.16    1.78    0.56    5.73
  123     123        1   825.70    2.70    1.87    5.55    2.03    0.53    5.80
  124     124        1   831.60    2.34    1.89    6.52    2.28    0.53    5.86
  125     125        1   837.50    2.34    1.90    3.37    2.47    0.55    5.90
  126     126        1   843.40    2.34    1.91    3.10    2.61    0.56    5.90
  127     127        1   849.30    2.34    1.93    3.17    2.71    0.55    5.91
  128     128        1   855.20    2.01    1.94    6.07    2.91    0.57    5.94
  129     129        1   861.10    1.97    1.95    5.90    3.10    0.59    6.01
  130     130        1   867.00    0.29    1.97   12.50    3.31    0.62    6.07
