 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
   66      66        1           -608.          2166.          -587.           145.            28.            -0.          1145.          1155.       4122128.       4122128.
   67      67        1          -1181.          2378.          -586.           146.            27.            -0.           785.           791.       2824253.       2824253.
   68      68        1           -341.          2807.          -587.           147.            26.            -0.          2052.          2070.       7388508.       7388508.
   69      69        1           -307.          4613.          -592.           145.            35.            -0.          3894.          3928.      14017806.      14017806.
   70      70        1           -342.          2673.          -591.           143.            15.            -0.          1898.          1915.       6833660.       6833660.
   71      71        1           -312.           932.          -587.           143.             4.            -0.           179.           180.        644058.        644058.
   72      72        1           -577.           247.          -579.           145.             1.            -0.          -763.          -770.      -2745756.      -2745756.
   73      73        1           -415.           905.          -573.           148.             0.            -0.            66.            66.        236899.        236899.
   74      74        1          -1010.           872.          -565.           148.             0.            -0.          -555.          -560.      -1997213.      -1997213.
   75      75        1           -924.          1346.          -557.           146.             0.            -0.            10.            10.         37006.         37006.
   76      76        1           -611.          2013.          -552.           145.             0.            -0.           995.          1005.       3583700.       3583700.
   77      77        1           -734.          2529.          -548.           145.             0.            -0.          1392.          1406.       5012900.       5012900.
   78      78        1          -1121.          2986.          -544.           145.             0.            -0.          1466.          1480.       5277790.       5277790.
   79      79        1           -813.           430.          -534.           145.             0.            -0.          -772.          -779.      -2777890.      -2777890.
   80      80        1          -1224.           103.          -521.           146.             0.            -0.         -1496.         -1511.      -5386199.      -5386199.
   81      81        1           -958.          -233.          -508.           145.            -0.            -0.         -1554.         -1570.      -5594189.      -5594189.
   82      82        1          -1566.         -1542.          -487.           147.            -0.            -0.         -3448.         -3484.     -12413307.     -12413307.
   83      83        1           -984.         -1688.          -470.           149.            -0.            -0.         -2993.         -3024.     -10774837.     -10774837.
   84      84        1          -1489.         -1409.          -452.           153.            -0.            -0.         -3197.         -3231.     -11509664.     -11509664.
   85      85        1          -1044.         -1277.          -436.           155.            -0.            -0.         -2602.         -2631.      -9368854.      -9368854.
   86      86        1          -1275.         -1579.          -419.           156.            -0.            -0.         -3117.         -3152.     -11222446.     -11222446.
   87      87        1           -289.          -181.          -409.           156.            -0.            -0.          -724.          -732.      -2606662.      -2606662.
   88      88        1           -483.         -2067.          -392.           156.            -0.            -0.         -2786.         -2817.     -10028992.     -10028992.
   89      89        1           -772.         -3323.          -371.           159.            -0.            -0.         -4307.         -4357.     -15504439.     -15504439.
   90      90        1           -466.          -764.          -358.           158.            -0.            -0.         -1429.         -1446.      -5144923.      -5144923.
   91      91        1          -1677.           461.          -343.           157.             0.            -0.         -1402.         -1419.      -5046726.      -5046726.
   92      92        1          -1018.           399.          -330.           156.             0.            -0.          -794.          -804.      -2858260.      -2858260.
   93      93        1          -1703.          -270.          -313.           156.            -0.            -0.         -2130.         -2157.      -7669082.      -7669082.
   94      94        1          -1780.          -995.          -292.           156.            -0.            -0.         -2911.         -2948.     -10479502.     -10479502.
   95      95        1           -924.          1312.          -285.           154.             0.            -0.           257.           260.        924137.        924137.
   96      96        1          -1463.           666.          -271.           153.             0.            -0.          -915.          -927.      -3294416.      -3294416.
   97      97        1          -1378.           849.          -258.           152.             0.            -0.          -634.          -643.      -2282437.      -2282437.
   98      98        1          -1848.          1774.          -246.           151.             0.            -0.          -169.          -172.       -609924.       -609924.
   99      99        1           -924.           328.          -233.           150.             0.            -0.          -680.          -689.      -2446685.      -2446685.
  100     100        1          -2088.           337.          -214.           151.             0.            -0.         -1814.         -1840.      -6531738.      -6531738.
  101     101        1          -1344.           839.          -202.           149.             0.            -0.          -558.          -566.      -2007210.      -2007210.
  102     102        1           -515.           970.          -198.           144.             0.            -0.           400.           406.       1441351.       1441351.
  103     103        1          -1258.          1314.          -192.           141.             0.            -0.             4.             5.         16195.         16195.
  104     104        1          -1780.          1778.          -185.           138.             0.            -0.           -49.           -50.       -175975.       -175975.
  105     105        1          -2020.          1277.          -174.           136.             0.            -0.          -780.          -792.      -2807698.      -2807698.
  106     106        1          -2234.           253.          -156.           135.             0.            -0.         -2001.         -2034.      -7204825.      -7204825.
  107     107        1          -2062.          -697.          -133.           135.            -0.            -0.         -2757.         -2804.      -9926174.      -9926174.
  108     108        1          -2345.          -617.          -108.           135.            -0.            -0.         -2934.         -2985.     -10563008.     -10563008.
  109     109        1          -2319.          -408.           -84.           134.            -0.            -0.         -2676.         -2723.      -9634116.      -9634116.
