 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1   100.00    0.00    0.21    5.00    5.00    5.00   14.39
    2       2        1   100.00    0.00    0.21    5.00    5.00    5.00   13.35
    3       3        1   100.00    0.00    0.21    5.00    5.00    5.00   12.48
    4       4        1   100.00    0.00    0.21    5.00    5.00    5.00   11.75
    5       5        1   100.00    0.00    0.21    5.00    5.00    5.00   11.13
    6       6        1   100.00    0.00    0.21    5.00    5.00    5.00   10.62
    7       7        1   100.00    0.00    0.21    5.00    5.00    5.00   10.19
    8       8        1   100.00    0.00    0.21    5.00    5.00    5.00    9.83
    9       9        1   100.00    0.00    0.21    5.00    5.00    5.00    9.52
   10      10        1   100.00    0.00    0.21    5.00    5.00    5.00    9.27
   11      11        1   100.00    0.00    0.21    5.00    5.00    5.00    9.06
   12      12        1   100.00    0.00    0.21    5.00    5.00    5.00    8.88
   13      13        1   100.00    0.00    0.21    5.00    5.00    5.00    8.73
   14      14        1   100.00    0.00    0.21    5.00    5.00    5.00    8.60
   15      15        1   100.00    0.00    0.21    5.00    5.00    5.00    8.50
   16      16        1   100.00    0.00    0.21    5.00    5.00    5.00    8.41
   17      17        1   100.00    0.00    0.21    5.00    5.00    5.00    8.34
   18      18        1   100.00    0.00    0.21    5.00    5.00    5.00    8.27
   19      19        1   100.00    0.00    0.21    5.00    5.00    5.00    8.22
   20      20        1   100.00    0.00    0.21    5.00    5.00    5.00    8.18
   21      21        1   100.00    0.00    0.21    5.00    5.00    5.00    8.14
   22      22        1   100.00    0.00    0.21    5.00    5.00    5.00    8.11
   23      23        1   100.00    0.00    0.21    5.00    5.00    5.00    8.08
   24      24        1   100.00    0.00    0.21    5.00    5.00    5.00    8.06
   25      25        1   100.00    0.00    0.21    5.00    5.00    5.00    8.04
   26      26        1   100.00    0.00    0.21    5.00    5.00    5.00    8.03
   27      27        1   100.00    0.00    0.21    5.00    5.00    5.00    8.02
   28      28        1   100.00    0.00    0.21    5.00    5.00    5.00    8.01
   29      29        1   100.00    0.00    0.21    5.00    5.00    5.00    8.00
   30      30        1   100.00    0.00    0.21    5.00    5.00    5.00    7.99
   31      31        1   100.00    0.00    0.21    5.00    5.00    5.00    7.98
   32      32        1   100.00    0.00    0.21    5.00    5.00    5.00    7.98
   33      33        1   100.00    0.00    0.21    5.00    5.00    5.00    7.97
   34      34        1   100.00    0.00    0.21    5.00    5.00    5.00    7.97
   35      35        1   100.00    0.00    0.21    5.00    5.00    5.00    7.97
   36      36        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   37      37        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   38      38        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   39      39        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   40      40        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   41      41        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   42      42        1   100.00    0.00    0.21    5.00    5.00    5.00    7.96
   43      43        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   44      44        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   45      45        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   46      46        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   47      47        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   48      48        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   49      49        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   50      50        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   51      51        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   52      52        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   53      53        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   54      54        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   55      55        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   56      56        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   57      57        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   58      58        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   59      59        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
   60      60        1   100.00    0.00    0.21    5.00    5.00    5.00    7.95
