 Day of  Day of              -------------Heat flow rates out in W----------------------------------------------
 sim.     year     Year    Radiation    Air       Floor   Lower wall  Upper wall   Feed      Total    Total ave.       HH            HHave          HHadj         HHadjave   SST      SS
    1       1        1   -2516.800   5904.361   1507.057      0.000    183.995     -0.000   5078.613   5532.881      18283008.      19918374.      18283008.      19918374.  7.95      F
    2       2        1   -2516.800   5266.913   1344.352      0.000    164.130     -0.000   4258.594   4639.512      15330939.      16702247.      15330939.      16702247.  7.95      F
    3       3        1   -2516.800   4732.388   1207.917      0.000    147.473     -0.000   3570.978   3890.393      12855521.      14005417.      12855521.      14005417.  7.95      F
    4       4        1   -2516.800   4284.171   1093.512      0.000    133.505     -0.000   2994.389   3262.229      10779800.      11744025.      10779800.      11744025.  7.95      F
    5       5        1   -2516.800   3908.325    997.579      0.000    121.793     -0.000   2510.897   2735.491       9039230.       9847769.       9039230.       9847769.  7.95      F
    6       6        1   -2516.800   3593.167    917.137      0.000    111.972     -0.000   2105.475   2293.804       7579711.       8257694.       7579711.       8257694.  7.95      F
    7       7        1   -2516.800   3328.895    849.683      0.000    103.737     -0.000   1765.514   1923.434       6355850.       6924362.       6355850.       6924362.  7.95      F
    8       8        1   -2516.800   3107.294    793.120      0.000     96.831     -0.000   1480.445   1612.867       5329603.       5806320.       5329603.       5806320.  7.95      F
    9       9        1   -2516.800   2921.473    745.691      0.000     91.040     -0.000   1241.404   1352.445       4469056.       4868800.       4469056.       4868800.  7.95      F
   10      10        1   -2516.800   2765.656    705.919      0.000     86.185     -0.000   1040.960   1134.072       3747457.       4082658.       3747457.       4082658.  7.95      F
   11      11        1   -2516.800   2634.998    672.569      0.000     82.113     -0.000    872.880    950.957       3142370.       3423446.       3142370.       3423446.  7.95      F
   12      12        1   -2516.800   2525.438    644.605      0.000     78.699     -0.000    731.942    797.412       2634991.       2870682.       2634991.       2870682.  7.95      F
   13      13        1   -2516.800   2433.568    621.155      0.000     75.836     -0.000    613.759    668.658       2209533.       2407169.       2209533.       2407169.  7.95      F
   14      14        1   -2516.800   2356.531    601.492      0.000     73.435     -0.000    514.658    560.693       1852770.       2018496.       1852770.       2018496.  7.95      F
   15      15        1   -2516.800   2291.933    585.004      0.000     71.422     -0.000    431.560    470.161       1553614.       1692579.       1553614.       1692579.  7.95      F
   16      16        1   -2516.800   2237.765    571.178      0.000     69.734     -0.000    361.877    394.246       1302757.       1419287.       1302757.       1419287.  7.95      F
   17      17        1   -2516.800   2192.344    559.584      0.000     68.319     -0.000    303.447    330.589       1092408.       1190121.       1092408.       1190121.  7.95      F
   18      18        1   -2516.800   2154.257    549.863      0.000     67.132     -0.000    254.452    277.211        916027.        997961.        916027.        997961.  7.95      F
   19      19        1   -2516.800   2122.318    541.711      0.000     66.137     -0.000    213.366    232.451        768116.        836825.        768116.        836825.  7.95      F
   20      20        1   -2516.800   2095.537    534.875      0.000     65.302     -0.000    178.914    194.918        644092.        701704.        644092.        701704.  7.95      F
   21      21        1   -2516.800   2073.081    529.143      0.000     64.602     -0.000    150.027    163.445        540096.        588403.        540096.        588403.  7.95      F
   22      22        1   -2516.800   2054.250    524.337      0.000     64.016     -0.000    125.802    137.055        452888.        493398.        452888.        493398.  7.95      F
   23      23        1   -2516.800   2038.461    520.306      0.000     63.524     -0.000    105.491    114.926        379768.        413734.        379768.        413734.  7.95      F
   24      24        1   -2516.800   2025.219    516.927      0.000     63.111     -0.000     88.457     96.370        318444.        346933.        318444.        346933.  7.95      F
   25      25        1   -2516.800   2014.116    514.093      0.000     62.765     -0.000     74.174     80.809        267025.        290914.        267025.        290914.  7.95      F
   26      26        1   -2516.800   2004.807    511.716      0.000     62.475     -0.000     62.198     67.761        223913.        243938.        223913.        243938.  7.95      F
   27      27        1   -2516.800   1997.001    509.724      0.000     62.232     -0.000     52.156     56.821        187761.        204554.        187761.        204554.  7.95      F
   28      28        1   -2516.800   1990.453    508.053      0.000     62.027     -0.000     43.733     47.646        157440.        171525.        157440.        171525.  7.95      F
   29      29        1   -2516.800   1984.964    506.651      0.000     61.856     -0.000     36.671     39.952        132017.        143826.        132017.        143826.  7.95      F
   30      30        1   -2516.800   1980.361    505.477      0.000     61.713     -0.000     30.750     33.501        110701.        120603.        110701.        120603.  7.95      F
   31      31        1   -2516.800   1976.501    504.491      0.000     61.593     -0.000     25.785     28.091         92825.        101128.         92825.        101128.  7.95      F
   32      32        1   -2516.800   1973.265    503.665      0.000     61.492     -0.000     21.622     23.556         77840.         84801.         77840.         84801.  7.95      F
   33      33        1   -2516.800   1970.551    502.973      0.000     61.407     -0.000     18.130     19.752         65269.         71109.         65269.         71109.  7.95      F
   34      34        1   -2516.800   1968.275    502.392      0.000     61.336     -0.000     15.203     16.563         54732.         59626.         54732.         59626.  7.95      F
   35      35        1   -2516.800   1966.367    501.905      0.000     61.277     -0.000     12.749     13.889         45896.         50002.         45896.         50002.  7.95      F
   36      36        1   -2516.800   1964.767    501.496      0.000     61.227     -0.000     10.691     11.647         38486.         41929.         38486.         41929.  7.95      F
   37      37        1   -2516.800   1963.425    501.154      0.000     61.185     -0.000      8.964      9.766         32271.         35159.         32271.         35159.  7.95      F
