"doy" "x" "temp.1.5m" "rad"
1 2021 0.133 6.63
2 2021 0.629 8.93
3 2021 -0.758 4.62
4 2021 -0.133 3.65
5 2021 -0.558 31.3
6 2021 -1.87 5.9
7 2021 -0.742 4.44
8 2021 -0.188 6.2
9 2021 -2.27 17.1
10 2021 -1.53 6
11 2021 -1.9 7.71
12 2021 -3.19 23.1
13 2021 -3.35 8.58
14 2021 -4.47 6.56
15 2021 -10.2 10.9
16 2021 -3.91 8.4
17 2021 -3.05 4.8
18 2021 -1.67 5.71
19 2021 -1.51 10.4
20 2021 0.342 8.12
21 2021 2.02 10
22 2021 1.96 5.97
23 2021 3 28.4
24 2021 -1.9 33.4
25 2021 -0.954 6.26
26 2021 -3.49 9.33
27 2021 -7.17 12.5
28 2021 -4.99 8.35
29 2021 -4.31 17.6
30 2021 -12.1 24.3
31 2021 -14.3 47
32 2021 -11.2 47.6
33 2021 -7.32 7.91
34 2021 -7.08 18.1
35 2021 -9.35 29
36 2021 -10.9 35.7
37 2021 -10.5 39.8
38 2021 -14.3 31.4
39 2021 -12.8 50
40 2021 -17.2 86.5
41 2021 -15.4 16.8
42 2021 -14.2 25.6
43 2021 -11.4 49.2
44 2021 -9.19 102
45 2021 -4.32 45.9
46 2021 -10.4 85.4
47 2021 -9.96 33.9
48 2021 -4.58 28.6
49 2021 -4.9 43.4
50 2021 0.308 30.4
51 2021 2.1 21.4
52 2021 3.37 42.1
53 2021 2.15 18
54 2021 2.42 11.9
55 2021 5.28 19.5
56 2021 8.64 14.9
57 2021 5.76 104
58 2021 2.15 75.3
59 2021 3.62 101
60 2021 3.07 81.5
61 2021 3.08 115
62 2021 2.35 117
63 2021 -1 90.9
64 2021 -3.36 115
65 2021 1.65 42.7
66 2021 -0.442 71
67 2021 -0.875 138
68 2021 -1.76 39.9
69 2021 -5.37 35.9
70 2021 -1.65 40
71 2021 1.73 36.5
72 2021 3.08 67.4
73 2021 1.8 48.5
74 2021 1.88 118
75 2021 0.958 108
76 2021 -0.367 71.4
77 2021 -1.41 85.8
78 2021 -2.34 131
79 2021 2.65 95
80 2021 3.33 143
81 2021 4.03 112
82 2021 6.68 183
83 2021 7.06 115
84 2021 6.62 174
85 2021 6.45 122
86 2021 7.14 149
87 2021 4.45 33.8
88 2021 8.21 56.4
89 2021 10.8 90.2
90 2021 5.88 54.4
91 2021 3.55 196
92 2021 3.7 119
93 2021 5.08 199
94 2021 6.6 208
95 2021 2.11 108
96 2021 3.4 171
97 2021 3.07 161
98 2021 1.28 216
99 2021 4.12 108
100 2021 4.18 244
101 2021 3.23 157
102 2021 2.96 60.2
103 2021 2.29 147
104 2021 1.39 208
105 2021 2.4 236
106 2021 4.49 261
107 2021 6.48 241
108 2021 6.48 274
109 2021 6.22 271
110 2021 7.1 271
111 2021 7.52 194
112 2021 1.53 50.4
113 2021 3.52 184
114 2021 1.88 125
115 2021 0.987 121
116 2021 1.74 109
117 2021 2.71 229
118 2021 3.22 175
119 2021 3.48 183
120 2021 3.42 267
121 2021 3.76 176
122 2021 6.16 224
123 2021 5.55 194
124 2021 6.52 209
125 2021 3.37 67.6
126 2021 3.1 72.3
127 2021 3.17 133
128 2021 6.07 292
129 2021 5.9 106
130 2021 12.5 116
131 2021 15.4 246
132 2021 15.6 315
133 2021 17.6 302
134 2021 13 169
135 2021 9.62 101
136 2021 10.9 119
137 2021 10.9 125
138 2021 11.5 248
139 2021 12.5 263
140 2021 12.5 299
141 2021 9.93 189
142 2021 11.2 253
143 2021 8.07 104
144 2021 8.7 121
145 2021 11.8 210
146 2021 9.02 35.8
147 2021 6.45 43.2
148 2021 11.3 317
149 2021 12.1 357
150 2021 13.6 354
151 2021 13.6 185
152 2021 13 319
153 2021 14.9 265
154 2021 15.4 320
155 2021 15.9 311
156 2021 18 342
157 2021 18.8 305
158 2021 19.1 241
159 2021 17.4 164
160 2021 17.3 220
161 2021 18.4 333
162 2021 19.4 290
163 2021 15.7 148
164 2021 14.9 350
165 2021 15.4 224
166 2021 13 0
167 2020 18.3 331
168 2020 16.4 60.1
169 2020 13.3 94.2
170 2020 17.6 331
171 2020 20.4 346
172 2020 20.6 324
173 2020 19.3 348
174 2020 17.6 346
175 2020 19.1 333
176 2020 22.5 342
177 2020 23.5 342
178 2020 23.1 346
179 2020 23.2 311
180 2020 22.7 251
181 2020 19.8 218
182 2020 15.6 176
183 2020 15.7 226
184 2020 15.5 213
185 2020 15.4 322
186 2020 13.6 138
187 2020 14.5 76.8
188 2020 14.3 148
189 2020 14.7 261
190 2020 11.9 254
191 2020 14.6 307
192 2020 12.9 168
193 2020 14.2 205
194 2020 13.3 235
195 2020 13.5 257
196 2020 16 230
197 2020 16.2 167
198 2020 17.3 280
199 2020 20 326
200 2020 19.5 248
201 2020 20.5 256
202 2020 19.5 156
203 2020 13.9 146
204 2020 14.3 315
205 2020 12.8 273
206 2020 14.4 265
207 2020 15.2 271
208 2020 17.2 286
209 2020 18.8 275
210 2020 16.1 121
211 2020 15.6 201
212 2020 16 156
213 2020 16.9 216
214 2020 18.1 292
215 2020 19.1 200
216 2020 17.5 217
217 2020 15.9 236
218 2020 15.6 224
219 2020 19.7 181
220 2020 21.7 277
221 2020 22.7 280
222 2020 18.3 278
223 2020 15.8 297
224 2020 14.9 283
225 2020 19.2 250
226 2020 18.6 237
227 2020 20.3 230
228 2020 21.9 270
229 2020 20.3 262
230 2020 19.9 235
231 2020 20.8 213
232 2020 20.9 254
233 2020 19.4 178
234 2020 19.8 159
235 2020 20.6 138
236 2020 18.3 165
237 2020 15.9 130
238 2020 13.2 227
239 2020 13 189
240 2020 12.4 185
241 2020 12.1 133
242 2020 12.4 69.1
243 2020 13.7 117
244 2020 10.8 139
245 2020 13.4 215
246 2020 11.5 109
247 2020 15.9 66.2
248 2020 15.6 92.8
249 2020 14.4 186
250 2020 12.7 177
251 2020 12.2 208
252 2020 14.1 121
253 2020 13 64.1
254 2020 10.5 209
255 2020 10.9 172
256 2020 13.2 39.4
257 2020 12.9 187
258 2020 14.7 81.3
259 2020 13.7 35.5
260 2020 12.9 48.3
261 2020 9.51 166
262 2020 11.1 174
263 2020 8.37 185
264 2020 8.07 63
265 2020 13.4 78.9
266 2020 13.4 150
267 2020 12.9 126
268 2020 14.4 129
269 2020 12.2 139
270 2020 14.3 28.1
271 2020 12.7 31.9
272 2020 12.2 38
273 2020 12.9 16.2
274 2020 13.2 95.3
275 2020 11.7 38.4
276 2020 13.1 106
277 2020 12.7 46.4
278 2020 13.7 9.21
279 2020 14.1 109
280 2020 12.9 18
281 2020 13.1 71.6
282 2020 12.1 65.3
283 2020 10.3 68.2
284 2020 8.55 29.3
285 2020 7.65 95.3
286 2020 7.19 39.1
287 2020 6.15 52
288 2020 6.31 57.2
289 2020 6.52 62.2
290 2020 5.62 53.6
291 2020 6.54 88
292 2020 2.31 68.5
293 2020 1.62 95.3
294 2020 0.804 32.9
295 2020 8.47 23.3
296 2020 10.6 18.2
297 2020 3.65 43.8
298 2020 0.888 9.48
299 2020 7.93 16.1
300 2020 10.5 31
301 2020 9.36 18.7
302 2020 7.71 22.2
303 2020 5.48 53.7
304 2020 1.63 27
305 2020 5.27 15.8
306 2020 9.44 10.6
307 2020 12.8 8.88
308 2020 9.79 34.6
309 2020 5.61 41.8
310 2020 7.16 53.2
311 2020 7.95 45.3
312 2020 7.95 13.9
313 2020 6.25 35.4
314 2020 5.05 39.1
315 2020 3.98 7.8
316 2020 6.07 6.56
317 2020 5.3 2.68
318 2020 6.58 13
319 2020 7 10.4
320 2020 7.63 12.4
321 2020 9.99 5.2
322 2020 8.66 17.7
323 2020 11.5 8.33
324 2020 5.96 7.47
325 2020 -0.442 38.2
326 2020 1.9 3.21
327 2020 5.53 30.2
328 2020 2.8 35.2
329 2020 2.16 6.41
330 2020 7.45 4.13
331 2020 5.18 10.5
332 2020 -1.01 32.3
333 2020 0.296 10.8
334 2020 -1.28 5.05
335 2020 -0.817 3.78
336 2020 1.63 6.07
337 2020 1.42 5.1
338 2020 2.42 1.42
339 2020 3.24 2.82
340 2020 5.76 3.86
341 2020 7.1 1.48
342 2020 4.73 2.42
343 2020 2.77 1.36
344 2020 1.98 5.77
345 2020 1.87 1.92
346 2020 1.66 1.59
347 2020 4.28 1.48
348 2020 2.65 2.9
349 2020 0.746 5.09
350 2020 5.41 3.37
351 2020 4.84 3.75
352 2020 3.28 2.59
353 2020 4.6 3.81
354 2020 6.02 4.62
355 2020 5.6 4.66
356 2020 6.16 4.37
357 2020 4.42 4.28
358 2020 2.92 13.8
359 2020 -1.91 27.6
360 2020 -0.829 6.75
361 2020 -3.49 3.21
362 2020 3.25 2.1
363 2020 3.42 1.03
364 2020 3.88 1.95
365 2020 1.42 4.19
366 2020 2.26 3.3
