 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
    1       1        1          -1152.          1322.          -170.             0.             0.         -7594.         -7594.         -6349.     -27338856.     -27338856.
    2       2        1          -1121.          2032.            21.             0.             1.         -7292.         -6358.         -6940.     -22888992.             0.
    3       3        1          -1089.          2108.            42.             0.             3.         -7292.         -6228.         -6595.     -22422318.             0.
    4       4        1          -1058.          2182.            62.             0.             4.         -7292.         -6103.         -6376.     -21969600.             0.
    5       5        1          -1028.          2252.            81.             0.             6.         -7292.         -5981.         -6206.     -21530968.             0.
    6       6        1           -997.          2320.            99.             0.             7.         -7292.         -5863.         -6027.     -21106582.             0.
    7       7        1           -967.          1173.          -210.             0.             4.         -7873.         -7873.         -5926.     -28343036.             0.
    8       8        1           -938.          2447.           133.             0.            11.         -7292.         -5639.         -5734.     -20301142.             0.
    9       9        1           -908.          2505.           149.             0.            13.         -7292.         -5533.         -5634.     -19920346.             0.
   10      10        1           -880.          2561.           164.             0.            14.         -7292.         -5432.         -5538.     -19554352.             0.
   11      11        1           -851.          2614.           178.             0.            16.         -7292.         -5334.         -5446.     -19203278.             0.
   12      12        1           -823.          2664.           191.             0.            18.         -7292.         -5241.         -5241.     -18867264.             0.
   13      13        1           -795.          2711.           204.             0.            20.         -7292.         -5152.         -5274.     -18546408.             0.
   14      14        1           -768.          2754.           216.             0.            22.         -7292.         -5067.         -5067.     -18240836.             0.
   15      15        1           -741.          2795.           227.             0.            24.         -7292.         -4986.         -5118.     -17950648.             0.
   16      16        1           -714.          2833.           237.             0.            27.         -7292.         -4910.         -4910.     -17675962.             0.
   17      17        1           -688.          2867.           246.             0.            29.         -7292.         -4838.         -4979.     -17416866.             0.
   18      18        1           -662.          2899.           254.             0.            31.         -7292.         -4770.         -4770.     -17173454.             0.
   19      19        1           -637.          2927.           262.             0.            33.         -7292.         -4707.         -4707.     -16945830.             0.
   20      20        1           -612.          2952.           269.             0.            35.         -7292.         -4648.         -4648.     -16734078.             0.
   21      21        1           -588.          2974.           275.             0.            37.         -7292.         -4594.         -4748.     -16538263.             0.
   22      22        1           -564.          2993.           280.             0.            39.         -7292.         -4544.         -4544.     -16358488.             0.
   23      23        1           -541.          3009.           284.             0.            41.         -7292.         -4499.         -4499.     -16194804.             0.
   24      24        1           -518.          3021.           287.             0.            43.         -7292.         -4458.         -4458.     -16047292.             0.
   25      25        1           -495.          3031.           290.             0.            45.         -7292.         -4421.         -4585.     -15916003.             0.
   26      26        1           -473.          3037.           292.             0.            47.         -7292.         -4389.         -4389.     -15801005.             0.
   27      27        1           -452.          3040.           292.             0.            49.         -7292.         -4362.         -4362.     -15702349.             0.
   28      28        1           -431.          3040.           292.             0.            51.         -7292.         -4339.         -4339.     -15620084.             0.
   29      29        1           -411.          3037.           292.             0.            53.         -7292.         -4321.         -4321.     -15554254.             0.
   30      30        1           -391.          3031.           290.             0.            55.         -7292.         -4307.         -4307.     -15504894.             0.
   31      31        1           -371.          3021.           287.             0.            57.         -7292.         -4298.         -4469.     -15472041.             0.
   32      32        1           -352.          3009.           284.             0.            58.         -7292.         -4293.         -4293.     -15455718.             0.
   33      33        1           -334.          2993.           280.             0.            60.         -7292.         -4293.         -4293.     -15455958.             0.
   34      34        1           -316.          2974.           275.             0.            61.         -7292.         -4298.         -4298.     -15472772.             0.
   35      35        1           -299.          2952.           269.             0.            63.         -7292.         -4307.         -4307.     -15506184.             0.
   36      36        1           -282.          2927.           262.             0.            64.         -7292.         -4321.         -4321.     -15556194.             0.
   37      37        1           -266.          2899.           254.             0.            65.         -7292.         -4340.         -4340.     -15622808.             0.
   38      38        1           -250.          2867.           246.             0.            66.         -7292.         -4363.         -4363.     -15706037.             0.
   39      39        1           -235.          2833.           237.             0.            67.         -7292.         -4391.         -4556.     -15805851.             0.
   40      40        1           -221.          2795.           227.             0.            68.         -7292.         -4423.         -4423.     -15922264.             0.
   41      41        1           -207.          2754.           216.             0.            69.         -7292.         -4460.         -4460.     -16055244.             0.
   42      42        1           -194.          2711.           204.             0.            69.         -7292.         -4501.         -4501.     -16204783.             0.
   43      43        1           -181.          2664.           191.             0.            70.         -7292.         -4547.         -4547.     -16370842.             0.
   44      44        1           -169.          2614.           178.             0.            70.         -7292.         -4598.         -4598.     -16553405.             0.
   45      45        1           -157.          2561.           164.             0.            70.         -7292.         -4653.         -4653.     -16752428.             0.
   46      46        1           -146.          2505.           149.             0.            70.         -7292.         -4713.         -4713.     -16967866.             0.
   47      47        1           -136.          2447.           133.             0.            70.         -7292.         -4778.         -4778.     -17199688.             0.
   48      48        1           -126.          2385.           116.             0.            70.         -7292.         -4847.         -4986.     -17447822.             0.
   49      49        1           -117.          2320.            99.             0.            69.         -7292.         -4920.         -4920.     -17712240.             0.
   50      50        1           -108.          2252.            81.             0.            69.         -7292.         -4998.         -4998.     -17992860.             0.
   51      51        1           -100.          2182.            62.             0.            68.         -7292.         -5080.         -5080.     -18289634.             0.
   52      52        1            -93.          2108.            42.             0.            67.         -7292.         -5167.         -5167.     -18602472.             0.
   53      53        1            -86.          2032.            21.             0.            66.         -7292.         -5259.         -5259.     -18931318.             0.
   54      54        1            -80.          1952.             0.             0.            65.         -7292.         -5354.         -5354.     -19276086.             0.
   55      55        1            -74.          1870.           -22.             0.            63.         -7292.         -5455.         -5455.     -19636690.             0.
   56      56        1            -69.          1785.           -45.             0.            61.         -7292.         -5559.         -5559.     -20013036.     -18237468.
   57      57        1            -65.          1698.           -68.             0.            59.         -7292.         -5668.         -5767.     -20405046.             0.
   58      58        1            -61.          1607.           -93.             0.            57.         -7292.         -5781.         -5781.     -20812604.             0.
   59      59        1            -58.          1514.          -118.             0.            55.         -7292.         -5899.         -5899.     -21235616.             0.
   60      60        1            -56.          1418.          -144.             0.             0.         -7292.         -6073.         -7402.     -21861944.     -11620428.
   61      61        1            -54.          1320.          -170.             0.             1.         -7292.         -6195.         -6832.     -22302470.             0.
   62      62        1            -52.           455.          -403.             0.             1.         -7658.         -7658.         -6711.     -27568786.             0.
   63      63        1            -52.          1115.          -225.             0.             2.         -7292.         -6452.         -6693.     -23227688.             0.
   64      64        1            -52.          1008.          -254.             0.             3.         -7292.         -6587.         -6789.     -23712146.     -10993203.
   65      65        1            -52.           899.          -283.             0.             3.         -7292.         -6725.         -6896.     -24210996.     -16222112.
   66      66        1            -54.           788.          -313.             0.             3.         -7292.         -6868.         -7022.     -24724110.             0.
   67      67        1            -56.           674.          -344.             0.             3.         -7292.         -7014.         -7142.     -25251354.             0.
   68      68        1            -58.           458.          -402.             0.             2.         -7340.         -7340.         -7252.     -26422228.             0.
   69      69        1            -61.           460.          -401.             0.             3.         -7281.         -7281.         -7283.     -26213246.     -26213246.
   70      70        1            -65.           463.          -401.             0.             3.         -7222.         -7222.         -7235.     -25999320.     -25999320.
   71      71        1            -69.           466.          -400.             0.             3.         -7161.         -7161.         -7176.     -25780508.     -25780508.
   72      72        1            -74.           469.          -399.             0.             4.         -7099.         -7099.         -7116.     -25556880.     -25556880.
   73      73        1            -80.           473.          -398.             0.             4.         -7036.         -7036.         -7054.     -25328504.     -25328504.
   74      74        1            -86.           478.          -396.             0.             4.         -6971.         -6971.         -6991.     -25095448.     -25095448.
   75      75        1            -93.           483.          -395.             0.             5.         -6905.         -6905.         -6927.     -24857786.     -24857786.
   76      76        1           -100.           489.          -393.             0.             5.         -6838.         -6838.         -6862.     -24615582.     -24615582.
   77      77        1           -108.           495.          -392.             0.             5.         -6769.         -6769.         -6796.     -24368918.     -24368918.
   78      78        1           -117.           501.          -390.             0.             6.         -6699.         -6699.         -6728.     -24117858.     -24117858.
   79      79        1           -126.           508.          -388.             0.             6.         -6628.         -6628.         -6660.     -23862492.     -23862492.
   80      80        1           -136.           516.          -386.             0.             6.         -6556.         -6556.         -6590.     -23602884.     -23602884.
   81      81        1           -146.           523.          -384.             0.             7.         -6483.         -6483.         -6520.     -23339120.     -23339120.
   82      82        1           -157.           532.          -382.             0.             7.         -6409.         -6409.         -6448.     -23071270.     -23071270.
