 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1       1        1             -0.         10900.          2755.           282.         13938.
    2       2        1             -0.          9165.          1613.           231.         11009.
    3       3        1            -14.          7913.           801.           194.          8894.
    4       4        1            -34.          7000.           221.           167.          7353.
    5       5        1            -56.          6326.          -195.           147.          6222.
    6       6        1            -80.          5824.          -494.           133.          5383.
    7       7        1           -104.          5445.          -707.           123.          4758.
    8       8        1           -130.          5157.          -857.           116.          4287.
    9       9        1           -158.          4936.          -960.           112.          3930.
   10      10        1           -187.          4763.         -1029.           110.          3658.
   11      11        1           -217.          4628.         -1071.           109.          3449.
   12      12        1           -249.          4520.         -1093.           110.          3288.
   13      13        1           -282.          4434.         -1100.           111.          3163.
   14      14        1           -316.          4363.         -1095.           113.          3065.
   15      15        1           -352.          4304.         -1080.           116.          2988.
   16      16        1           -389.          4255.         -1058.           120.          2927.
   17      17        1           -428.          4212.         -1030.           124.          2878.
   18      18        1           -467.          4175.          -997.           128.          2839.
   19      19        1           -508.          4142.          -960.           133.          2807.
   20      20        1           -551.          4113.          -920.           138.          2780.
   21      21        1           -594.          4085.          -877.           143.          2757.
   22      22        1           -639.          4060.          -832.           149.          2737.
   23      23        1           -685.          4035.          -785.           154.          2719.
   24      24        1           -733.          4012.          -737.           160.          2702.
   25      25        1           -781.          3988.          -687.           166.          2687.
   26      26        1           -831.          3966.          -636.           173.          2672.
   27      27        1           -882.          3943.          -583.           179.          2657.
   28      28        1           -934.          3921.          -530.           186.          2642.
   29      29        1           -988.          3898.          -476.           192.          2627.
   30      30        1          -1042.          3875.          -421.           199.          2611.
   31      31        1          -1098.          3852.          -366.           206.          2594.
   32      32        1          -1154.          3828.          -309.           213.          2577.
   33      33        1          -1212.          3804.          -253.           220.          2559.
   34      34        1          -1271.          3779.          -195.           227.          2540.
   35      35        1          -1331.          3754.          -138.           235.          2520.
   36      36        1          -1392.          3728.           -80.           242.          2499.
   37      37        1          -1454.          3702.           -21.           250.          2477.
   38      38        1          -1517.          3676.            38.           258.          2454.
   39      39        1          -1581.          3648.            97.           265.          2430.
   40      40        1          -1646.          3620.           157.           273.          2404.
   41      41        1          -1712.          3592.           217.           281.          2377.
   42      42        1          -1779.          3563.           277.           289.          2349.
   43      43        1          -1847.          3533.           337.           297.          2320.
   44      44        1          -1916.          3503.           398.           305.          2290.
   45      45        1          -1985.          3472.           458.           313.          2259.
   46      46        1          -2056.          3441.           519.           321.          2226.
   47      47        1          -2127.          3409.           580.           330.          2192.
   48      48        1          -2199.          3376.           642.           338.          2157.
   49      49        1          -2272.          3343.           703.           346.          2121.
   50      50        1          -2345.          3310.           764.           355.          2083.
   51      51        1          -2420.          3275.           826.           363.          2044.
   52      52        1          -2495.          3241.           887.           371.          2005.
   53      53        1          -2571.          3206.           949.           380.          1964.
   54      54        1          -2647.          3170.          1010.           388.          1921.
   55      55        1          -2724.          3134.          1072.           397.          1878.
   56      56        1          -2802.          3097.          1133.           405.          1834.
   57      57        1          -2880.          3060.          1195.           414.          1788.
   58      58        1          -2959.          3022.          1256.           423.          1742.
   59      59        1          -3039.          2984.          1318.           431.          1694.
   60      60        1          -3119.          2945.          1379.           440.          1645.
   61      61        1          -3199.          2906.          1440.           448.          1595.
   62      62        1          -3280.          2867.          1501.           457.          1544.
   63      63        1          -3362.          2827.          1562.           465.          1493.
   64      64        1          -3444.          2787.          1623.           474.          1440.
   65      65        1          -3526.          2746.          1683.           483.          1386.
   66      66        1          -3609.          2705.          1744.           491.          1331.
   67      67        1          -3692.          2664.          1804.           500.          1275.
