 Day of  Day of
 sim.     year         Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1     123          -7681.          6216.         12932.          3667.         15134.
    2     124          -7729.          5391.         12456.          3454.         13573.
    3     125          -7777.          4628.         12018.          3256.         12125.
    4     126          -7824.          3921.         11613.          3073.         10783.
    5     127          -7871.          3267.         11241.          2902.          9538.
    6     128          -7918.          2662.         10897.          2744.          8385.
    7     129          -7965.          2103.         10581.          2596.          7316.
    8     130          -8011.          1587.         10290.          2460.          6325.
    9     131          -8057.          1110.         10021.          2333.          5408.
   10     132          -8102.           671.          9774.          2215.          4558.
   11     133          -8147.           265.          9547.          2105.          3770.
   12     134          -8192.          -107.          9338.          2003.          3042.
   13     135          -8236.          -450.          9145.          1909.          2367.
   14     136          -8280.          -765.          8968.          1821.          1743.
   15     137          -8324.         -1054.          8805.          1739.          1166.
   16     138          -8367.         -1319.          8655.          1663.           633.
   17     139          -8409.         -1560.          8518.          1592.           140.
   18     140          -8451.         -1780.          8391.          1526.          -315.
   19     141          -8493.         -1981.          8274.          1465.          -735.
   20     142          -8534.         -2162.          8167.          1408.         -1122.
   21     143          -8575.         -2327.          8068.          1355.         -1479.
   22     144          -8615.         -2474.          7977.          1306.         -1807.
   23     145          -8654.         -2607.          7893.          1260.         -2109.
   24     146          -8693.         -2725.          7815.          1217.         -2386.
   25     147          -8732.         -2829.          7744.          1177.         -2640.
   26     148          -8770.         -2921.          7678.          1140.         -2873.
   27     149          -8807.         -3001.          7616.          1106.         -3086.
   28     150          -8844.         -3070.          7560.          1074.         -3280.
   29     151          -8880.         -3128.          7507.          1044.         -3457.
   30     152          -8915.         -3176.          7458.          1016.         -3617.
   31     153          -8950.         -3214.          7412.           990.         -3763.
   32     154          -8985.         -3244.          7369.           966.         -3894.
   33     155          -9018.         -3266.          7329.           943.         -4011.
   34     156          -9051.         -3279.          7292.           922.         -4117.
   35     157          -9084.         -3285.          7256.           902.         -4210.
   36     158          -9115.         -3284.          7222.           884.         -4293.
   37     159          -9146.         -3276.          7190.           867.         -4366.
   38     160          -9176.         -3262.          7159.           851.         -4429.
   39     161          -9206.         -3241.          7129.           836.         -4482.
   40     162          -9235.         -3215.          7100.           822.         -4528.
   41     163          -9263.         -3183.          7073.           809.         -4565.
   42     164          -9291.         -3146.          7045.           797.         -4595.
   43     165          -9317.         -3105.          7019.           786.         -4618.
   44     166          -9343.         -3058.          6992.           775.         -4634.
   45     167          -9369.         -3007.          6967.           765.         -4644.
   46     168          -9393.         -2951.          6941.           756.         -4648.
   47     169          -9417.         -2892.          6915.           747.         -4646.
   48     170          -9440.         -2828.          6889.           739.         -4639.
   49     171          -9462.         -2761.          6863.           732.         -4627.
   50     172          -9483.         -2690.          6837.           725.         -4611.
   51     173          -9504.         -2615.          6811.           719.         -4589.
   52     174          -9524.         -2537.          6784.           713.         -4564.
   53     175          -9543.         -2456.          6757.           707.         -4535.
   54     176          -9561.         -2372.          6729.           702.         -4502.
   55     177          -9578.         -2285.          6701.           697.         -4465.
   56     178          -9595.         -2195.          6673.           693.         -4424.
   57     179          -9611.         -2102.          6643.           689.         -4381.
   58     180          -9626.         -2007.          6613.           685.         -4334.
   59     181          -9640.         -1909.          6583.           682.         -4284.
   60     182          -9653.         -1808.          6551.           678.         -4232.
   61     183          -9665.         -1706.          6519.           675.         -4177.
   62     184          -9677.         -1601.          6486.           673.         -4119.
   63     185          -9688.         -1493.          6452.           670.         -4058.
   64     186          -9698.         -1384.          6418.           668.         -3996.
   65     187          -9707.         -1273.          6382.           666.         -3931.
   66     188          -9715.         -1159.          6346.           664.         -3864.
   67     189          -9722.         -1044.          6309.           663.         -3795.
   68     190          -9729.          -927.          6271.           662.         -3723.
   69     191          -9734.          -808.          6232.           660.         -3650.
   70     192          -9739.          -688.          6192.           659.         -3575.
   71     193          -9743.          -565.          6151.           659.         -3499.
   72     194          -9746.          -442.          6109.           658.         -3420.
   73     195          -9748.          -316.          6067.           657.         -3341.
   74     196          -9750.          -190.          6023.           657.         -3259.
   75     197          -9750.           -62.          5979.           657.         -3176.
   76     198          -9750.            68.          5933.           657.         -3092.
   77     199          -9748.           198.          5887.           657.         -3006.
   78     200          -9746.           330.          5840.           657.         -2919.
   79     201          -9743.           463.          5791.           657.         -2831.
   80     202          -9739.           598.          5742.           658.         -2742.
   81     203          -9734.           733.          5692.           658.         -2651.
   82     204          -9729.           869.          5641.           659.         -2559.
   83     205          -9722.          1006.          5590.           660.         -2467.
   84     206          -9715.          1144.          5537.           661.         -2373.
   85     207          -9707.          1283.          5483.           662.         -2279.
   86     208          -9698.          1423.          5429.           663.         -2183.
