 Day of  Day of  Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year    mass   depth    T      T      T      T
    1     123   800.0    2.0   10.6    5.4    1.7   14.8
    2     124   800.0    2.0   10.7    5.6    1.8   14.4
    3     125   800.0    2.0   10.9    5.8    1.9   14.1
    4     126   800.0    2.0   11.1    6.0    2.0   13.8
    5     127   800.0    2.0   11.3    6.1    2.1   13.5
    6     128   800.0    2.0   11.4    6.3    2.3   13.3
    7     129   800.0    2.0   11.6    6.5    2.4   13.0
    8     130   800.0    2.0   11.8    6.6    2.5   12.9
    9     131   800.0    2.0   11.9    6.8    2.6   12.7
   10     132   800.0    2.0   12.1    7.0    2.7   12.6
   11     133   800.0    2.0   12.2    7.2    2.9   12.5
   12     134   800.0    2.0   12.4    7.3    3.0   12.4
   13     135   800.0    2.0   12.6    7.5    3.1   12.3
   14     136   800.0    2.0   12.7    7.7    3.3   12.2
   15     137   800.0    2.0   12.9    7.8    3.4   12.2
   16     138   800.0    2.0   13.0    8.0    3.5   12.2
   17     139   800.0    2.0   13.2    8.2    3.7   12.2
   18     140   800.0    2.0   13.3    8.4    3.8   12.2
   19     141   800.0    2.0   13.5    8.5    3.9   12.2
   20     142   800.0    2.0   13.6    8.7    4.1   12.2
   21     143   800.0    2.0   13.8    8.9    4.2   12.3
   22     144   800.0    2.0   13.9    9.1    4.3   12.3
   23     145   800.0    2.0   14.1    9.2    4.5   12.3
   24     146   800.0    2.0   14.2    9.4    4.6   12.4
   25     147   800.0    2.0   14.3    9.6    4.8   12.5
   26     148   800.0    2.0   14.5    9.7    4.9   12.5
   27     149   800.0    2.0   14.6    9.9    5.0   12.6
   28     150   800.0    2.0   14.7   10.1    5.2   12.7
   29     151   800.0    2.0   14.9   10.2    5.3   12.8
   30     152   800.0    2.0   15.0   10.4    5.5   12.9
   31     153   800.0    2.0   15.1   10.6    5.6   13.0
   32     154   800.0    2.0   15.3   10.7    5.8   13.1
   33     155   800.0    2.0   15.4   10.9    5.9   13.2
   34     156   800.0    2.0   15.5   11.1    6.1   13.3
   35     157   800.0    2.0   15.6   11.2    6.2   13.4
   36     158   800.0    2.0   15.7   11.4    6.4   13.5
   37     159   800.0    2.0   15.8   11.5    6.5   13.7
   38     160   800.0    2.0   15.9   11.7    6.7   13.8
   39     161   800.0    2.0   16.0   11.9    6.8   13.9
   40     162   800.0    2.0   16.2   12.0    7.0   14.0
   41     163   800.0    2.0   16.3   12.2    7.1   14.1
   42     164   800.0    2.0   16.4   12.3    7.3   14.3
   43     165   800.0    2.0   16.4   12.5    7.4   14.4
   44     166   800.0    2.0   16.5   12.6    7.6   14.5
   45     167   800.0    2.0   16.6   12.8    7.7   14.6
   46     168   800.0    2.0   16.7   12.9    7.9   14.7
   47     169   800.0    2.0   16.8   13.1    8.0   14.9
   48     170   800.0    2.0   16.9   13.2    8.2   15.0
   49     171   800.0    2.0   17.0   13.3    8.3   15.1
   50     172   800.0    2.0   17.0   13.5    8.5   15.2
   51     173   800.0    2.0   17.1   13.6    8.6   15.4
   52     174   800.0    2.0   17.2   13.8    8.8   15.5
   53     175   800.0    2.0   17.3   13.9    8.9   15.6
   54     176   800.0    2.0   17.3   14.0    9.0   15.7
   55     177   800.0    2.0   17.4   14.2    9.2   15.8
   56     178   800.0    2.0   17.4   14.3    9.3   16.0
   57     179   800.0    2.0   17.5   14.4    9.5   16.1
   58     180   800.0    2.0   17.6   14.5    9.6   16.2
   59     181   800.0    2.0   17.6   14.7    9.8   16.3
   60     182   800.0    2.0   17.7   14.8    9.9   16.4
   61     183   800.0    2.0   17.7   14.9   10.1   16.5
   62     184   800.0    2.0   17.7   15.0   10.2   16.7
   63     185   800.0    2.0   17.8   15.1   10.4   16.8
   64     186   800.0    2.0   17.8   15.2   10.5   16.9
   65     187   800.0    2.0   17.8   15.4   10.6   17.0
   66     188   800.0    2.0   17.9   15.5   10.8   17.1
   67     189   800.0    2.0   17.9   15.6   10.9   17.2
   68     190   800.0    2.0   17.9   15.7   11.1   17.3
   69     191   800.0    2.0   17.9   15.8   11.2   17.4
   70     192   800.0    2.0   18.0   15.9   11.3   17.5
   71     193   800.0    2.0   18.0   16.0   11.5   17.6
   72     194   800.0    2.0   18.0   16.1   11.6   17.7
   73     195   800.0    2.0   18.0   16.1   11.7   17.7
   74     196   800.0    2.0   18.0   16.2   11.9   17.8
   75     197   800.0    2.0   18.0   16.3   12.0   17.9
   76     198   800.0    2.0   18.0   16.4   12.1   18.0
   77     199   800.0    2.0   18.0   16.5   12.2   18.1
   78     200   800.0    2.0   18.0   16.6   12.4   18.2
   79     201   800.0    2.0   18.0   16.6   12.5   18.2
   80     202   800.0    2.0   18.0   16.7   12.6   18.3
   81     203   800.0    2.0   17.9   16.8   12.7   18.4
   82     204   800.0    2.0   17.9   16.8   12.8   18.5
   83     205   800.0    2.0   17.9   16.9   13.0   18.5
   84     206   800.0    2.0   17.9   17.0   13.1   18.6
   85     207   800.0    2.0   17.8   17.0   13.2   18.7
   86     208   800.0    2.0   17.8   17.1   13.3   18.7
   87     209   800.0    2.0   17.8   17.1   13.4   18.8
   88     210   800.0    2.0   17.7   17.2   13.5   18.8
   89     211   800.0    2.0   17.7   17.2   13.6   18.9
   90     212   800.0    2.0   17.7   17.3   13.7   18.9
   91     213   800.0    2.0   17.6   17.3   13.8   19.0
   92     214   800.0    2.0   17.6   17.4   13.9   19.0
   93     215   800.0    2.0   17.5   17.4   14.0   19.1
   94     216   800.0    2.0   17.4   17.4   14.1   19.1
   95     217   800.0    2.0   17.4   17.5   14.2   19.1
   96     218   800.0    2.0   17.3   17.5   14.3   19.2
   97     219   800.0    2.0   17.3   17.5   14.4   19.2
   98     220   800.0    2.0   17.2   17.5   14.5   19.2
   99     221   800.0    2.0   17.1   17.5   14.6   19.2
  100     222   800.0    2.0   17.0   17.6   14.7   19.3
  101     223   800.0    2.0   17.0   17.6   14.8   19.3
  102     224   800.0    2.0   16.9   17.6   14.9   19.3
  103     225   800.0    2.0   16.8   17.6   14.9   19.3
  104     226   800.0    2.0   16.7   17.6   15.0   19.3
  105     227   800.0    2.0   16.6   17.6   15.1   19.3
  106     228   800.0    2.0   16.5   17.6   15.2   19.3
  107     229   800.0    2.0   16.4   17.6   15.2   19.3
  108     230   800.0    2.0   16.4   17.6   15.3   19.3
  109     231   800.0    2.0   16.3   17.6   15.4   19.3
  110     232   800.0    2.0   16.2   17.5   15.4   19.3
  111     233   800.0    2.0   16.0   17.5   15.5   19.3
  112     234   800.0    2.0   15.9   17.5   15.6   19.3
  113     235   800.0    2.0   15.8   17.5   15.6   19.3
  114     236   800.0    2.0   15.7   17.5   15.7   19.3
  115     237   800.0    2.0   15.6   17.4   15.7   19.3
  116     238   800.0    2.0   15.5   17.4   15.8   19.2
  117     239   800.0    2.0   15.4   17.4   15.8   19.2
  118     240   800.0    2.0   15.3   17.3   15.9   19.2
  119     241   800.0    2.0   15.1   17.3   15.9   19.2
  120     242   800.0    2.0   15.0   17.2   15.9   19.1
  121     243   800.0    2.0   14.9   17.2   16.0   19.1
  122     244   800.0    2.0   14.7   17.1   16.0   19.0
  123     245   800.0    2.0   14.6   17.1   16.0   19.0
  124     246   800.0    2.0   14.5   17.0   16.1   19.0
  125     247   800.0    2.0   14.3   17.0   16.1   18.9
  126     248   800.0    2.0   14.2   16.9   16.1   18.9
  127     249   800.0    2.0   14.1   16.8   16.1   18.8
  128     250   800.0    2.0   13.9   16.8   16.2   18.8
  129     251   800.0    2.0   13.8   16.7   16.2   18.7
  130     252   800.0    2.0   13.6   16.6   16.2   18.6
  131     253   800.0    2.0   13.5   16.6   16.2   18.6
  132     254   800.0    2.0   13.3   16.5   16.2   18.5
  133     255   800.0    2.0   13.2   16.4   16.2   18.4
  134     256   800.0    2.0   13.0   16.3   16.2   18.4
  135     257   800.0    2.0   12.9   16.2   16.2   18.3
  136     258   800.0    2.0   12.7   16.1   16.2   18.2
  137     259   800.0    2.0   12.6   16.1   16.2   18.1
  138     260   800.0    2.0   12.4   16.0   16.2   18.1
  139     261   800.0    2.0   12.2   15.9   16.2   18.0
  140     262   800.0    2.0   12.1   15.8   16.2   17.9
  141     263   800.0    2.0   11.9   15.7   16.2   17.8
  142     264   800.0    2.0   11.8   15.6   16.2   17.7
  143     265   800.0    2.0   11.6   15.5   16.1   17.6
  144     266   800.0    2.0   11.4   15.4   16.1   17.5
  145     267   800.0    2.0   11.3   15.2   16.1   17.4
  146     268   800.0    2.0   11.1   15.1   16.1   17.3
  147     269   800.0    2.0   10.9   15.0   16.0   17.2
  148     270   800.0    2.0   10.7   14.9   16.0   17.1
  149     271   800.0    2.0   10.6   14.8   16.0   17.0
  150     272   800.0    2.0   10.4   14.7   15.9   16.9
  151     273   800.0    2.0   10.2   14.5   15.9   16.8
  152     274   800.0    2.0   10.0   14.4   15.9   16.7
  153     275   800.0    2.0    9.9   14.3   15.8   16.6
