 Day of  Day of    Year   Slurry  Frozen  Slurry   Air    Wall   Floor    Slurry
 sim.     year             mass    mass   depth     T      T       T        T
    1       1        1  3175.77    0.00    3.12    0.10    7.81   11.90    0.12
    2       2        1  3206.31    0.00    3.15    0.40    7.71   11.82    0.15
    3       3        1  3277.56    0.00    3.22    1.20    7.62   11.76    0.19
    4       4        1  3318.28    0.00    3.26   -0.10    7.51   11.68    0.22
    5       5        1  3348.81    0.00    3.29    0.90    7.38   11.61    0.25
    6       6        1  3369.17    0.00    3.31   -0.10    7.26   11.53    0.28
    7       7        1  3409.89    0.00    3.35    0.00    7.12   11.45    0.30
    8       8        1  3450.60    0.00    3.39   -0.20    6.98   11.38    0.33
    9       9        1  3501.49    0.00    3.44    0.20    6.87   11.32    0.35
   10      10        1  3491.31    0.00    3.43    0.80    6.76   11.25    0.38
   11      11        1  3501.49    0.00    3.44    4.10    6.65   11.21    0.42
   12      12        1  3521.85    0.00    3.46    0.70    6.52   11.14    0.46
   13      13        1  3532.03    0.00    3.47    0.20    6.40   11.04    0.49
   14      14        1  3562.57    0.00    3.50   -1.80    6.25   10.95    0.50
   15      15        1  3593.11    0.00    3.53   -3.40    6.09   10.84    0.50
   16      16        1  3613.46    0.00    3.55   -5.70    5.90   10.74    0.48
   17      17        1  3654.18    0.00    3.59   -1.20    5.75   10.68    0.47
   18      18        1  3674.53    0.00    3.61    0.00    5.62   10.60    0.48
   19      19        1  3705.07    0.00    3.64    1.60    5.53   10.54    0.51
   20      20        1  3745.79    0.00    3.68    5.30    5.47   10.50    0.56
   21      21        1  3786.50    0.00    3.72    5.20    5.41   10.45    0.62
   22      22        1  3817.04    0.00    3.75    4.20    5.36   10.40    0.67
   23      23        1  3837.39    0.00    3.77    1.90    5.29   10.34    0.71
   24      24        1  3878.11    0.00    3.81    1.20    5.22   10.27    0.74
   25      25        1  3908.65    0.00    3.84    0.30    5.16   10.20    0.76
   26      26        1  3959.54    0.00    3.89   -1.10    5.07   10.12    0.77
   27      27        1  3979.89    0.00    3.91    0.30    4.99   10.04    0.78
   28      28        1  4000.25    0.00    3.93   -2.60    4.90    9.94    0.78
   29      29        1  4030.79    0.00    3.96   -3.60    4.80    9.85    0.77
   30      30        1  4061.33    0.00    3.99   -2.10    4.72    9.75    0.76
   31      31        1  4091.86    0.00    4.02   -0.80    4.64    9.66    0.76
   32      32        1  4112.22    0.00    4.04   -2.50    4.55    9.57    0.76
   33      33        1  4132.57    0.00    4.06   -4.80    4.44    9.47    0.75
   34      34        1  4152.93    0.00    4.08   -2.20    4.34    9.37    0.73
   35      35        1  4193.65    0.00    4.12   -4.20    4.18    9.27    0.72
   36      36        1  4203.83    0.00    4.13   -5.00    4.02    9.17    0.70
   37      37        1  4224.18    0.00    4.15   -4.90    3.87    9.06    0.67
   38      38        1  4234.37    0.00    4.16   -4.40    3.73    8.95    0.65
   39      39        1  4234.36    0.00    4.16   -3.30    3.59    8.83    0.63
   40      40        1  4254.72    0.00    4.18   -4.40    3.46    8.70    0.61
   41      41        1  4224.19    0.00    4.15   -5.30    3.33    8.58    0.59
   42      42        1  4173.29    0.00    4.10   -7.40    3.17    8.44    0.55
   43      43        1  4275.08    0.00    4.20   -7.60    3.02    8.32    0.51
   44      44        1  4305.62    0.00    4.23   -6.00    2.87    8.22    0.47
   45      45        1  4305.62    0.00    4.23   -5.20    2.73    8.11    0.44
   46      46        1  4305.62    0.00    4.23   -1.30    2.61    8.03    0.43
   47      47        1  4305.62    0.00    4.23   -1.20    2.47    7.95    0.43
   48      48        1  4336.15    0.00    4.26    0.60    2.39    7.88    0.44
   49      49        1  4376.86    0.00    4.30    2.80    2.35    7.81    0.46
   50      50        1  4407.41    0.00    4.33    4.20    2.29    7.74    0.50
   51      51        1  4437.94    0.00    4.36    6.30    2.25    7.67    0.55
   52      52        1  4478.65    0.00    4.40    7.40    2.24    7.61    0.61
   53      53        1  4529.55    0.00    4.45    6.00    2.23    7.55    0.66
   54      54        1  4539.73    0.00    4.46    6.40    2.22    7.50    0.71
   55      55        1  4580.44    0.00    4.50    9.80    2.24    7.47    0.78
   56      56        1  4580.44    0.00    4.50    8.40    2.27    7.43    0.84
   57      57        1  4580.44    0.00    4.50    5.60    2.25    7.38    0.90
   58      58        1  4580.44    0.00    4.50    5.10    2.23    7.34    0.94
   59      59        1  4580.44    0.00    4.50    5.50    2.21    7.29    0.98
   60      60        1  4570.26    0.00    4.49    4.30    2.14    7.25    1.02
   61      61        1  4539.73    0.00    4.46    3.80    2.09    7.20    1.05
   62      62        1  4509.19    0.00    4.43    1.40    2.01    7.13    1.07
   63      63        1  4478.65    0.00    4.40    0.90    1.91    7.05    1.09
   64      64        1  4437.94    0.00    4.36    0.10    1.85    6.98    1.09
   65      65        1  4325.97    0.00    4.25    2.70    1.84    6.92    1.11
   66      66        1  4163.11    0.00    4.09    3.00    1.79    6.86    1.13
   67      67        1  3969.72    0.00    3.90   -0.50    1.72    6.79    1.14
   68      68        1  3806.86    0.00    3.74   -0.10    1.65    6.71    1.15
   69      69        1  3633.82    0.00    3.57    0.50    1.57    6.63    1.15
   70      70        1  3470.96    0.00    3.41    4.50    1.54    6.57    1.18
   71      71        1  3318.28    0.00    3.26    4.30    1.52    6.52    1.22
   72      72        1  3226.67    0.00    3.17    2.90    1.52    6.46    1.25
   73      73        1  3185.95    0.00    3.13    4.00    1.56    6.42    1.29
   74      74        1  3165.59    0.00    3.11    3.70    1.58    6.36    1.32
   75      75        1  3084.16    0.00    3.03    2.70    1.60    6.31    1.35
   76      76        1  2951.84    0.00    2.90    2.70    1.59    6.25    1.38
   77      77        1  2778.80    0.00    2.73    1.50    1.57    6.19    1.40
   78      78        1  2605.76    0.00    2.56    0.60    1.56    6.13    1.41
   79      79        1  2412.37    0.00    2.37    3.50    1.57    6.08    1.44
   80      80        1  2218.97    0.00    2.18    4.60    1.57    6.03    1.49
   81      81        1  2045.93    0.00    2.01    4.10    1.57    5.98    1.55
   82      82        1  1944.14    0.00    1.91    5.60    1.56    5.93    1.61
   83      83        1  1893.25    0.00    1.86    6.90    1.58    5.89    1.70
   84      84        1  1903.43    0.00    1.87    6.30    1.60    5.85    1.79
