 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
    1       1        1           -114.            62.            53.             0.             0.         -7197.         -7197.         -6133.     -25910934.     -25910934.
    2       2        1           -154.            93.            61.             0.             0.         -6941.         -6941.         -6980.     -24989020.     -24989020.
    3       3        1            -80.           768.           243.             0.             1.         -7292.         -6359.         -6681.     -22893770.             0.
    4       4        1            -63.            21.            42.             0.             0.         -7346.         -7346.         -7330.     -26446434.     -26446434.
    5       5        1           -540.           396.           143.             0.             1.         -7373.         -7373.         -7233.     -26542422.             0.
    6       6        1           -102.            52.            50.             0.             0.         -8176.         -8176.         -5216.     -29433538.             0.
    7       7        1            -77.           752.           238.             0.             3.         -7292.         -6375.         -6428.     -22949980.             0.
    8       8        1           -107.           191.            87.             0.             1.         -7292.         -7120.         -7218.     -25631202.      -7590980.
    9       9        1           -295.          2301.           655.             0.            11.         -7292.         -4620.         -4783.     -16630965.             0.
   10      10        1           -104.          1551.           453.             0.             9.         -7292.         -5383.         -5492.     -19377534.             0.
   11      11        1           -133.          1926.           554.             0.            12.         -7292.         -4933.         -4933.     -17758876.             0.
   12      12        1           -398.          3233.           905.             0.            22.         -7292.         -3529.         -3745.     -12705804.             0.
   13      13        1           -148.          3395.           949.             0.            25.         -7292.         -3070.         -3070.     -11051747.             0.
   14      14        1           -113.          4530.          1254.             0.            37.         -7292.         -1583.         -1583.      -5700400.             0.
   15      15        1           -188.         10338.          2816.             0.            90.         -7292.          5764.          5764.      20750386.             0.
   16      16        1           -145.          3963.          1102.             0.            37.         -7292.         -2335.         -2335.      -8405995.             0.
   17      17        1            -83.          3091.           867.             0.            31.         -7292.         -3385.         -3385.     -12186295.             0.
   18      18        1            -98.          1693.           491.             0.            18.         -7292.         -5188.         -5188.     -18678094.             0.
   19      19        1           -179.          1530.           448.             0.            17.         -7292.         -5476.         -5580.     -19712830.             0.
   20      20        1           -140.          -347.           -57.            -0.            -4.         -7292.         -7839.         -7839.     -28221900.             0.
   21      21        1           -172.         -1363.          -330.            -0.           -17.         -6963.         -8846.         -9583.     -31844584.     -31844584.
   22      22        1           -103.          -523.          -104.            -0.            -7.         -6590.         -7326.         -7959.     -26374380.     -26374380.
   23      23        1           -490.          -804.          -180.            -0.           -11.         -6219.         -7704.         -8338.     -27735362.     -27735362.
   24      24        1           -576.          1926.           554.             0.            28.         -7292.         -5361.         -5305.     -19297982.             0.
   25      25        1           -108.           967.           296.             0.            14.         -7292.         -6122.         -6122.     -22039534.             0.
   26      26        1           -161.          3537.           987.             0.            55.         -7292.         -2873.         -2873.     -10343044.             0.
   27      27        1           -216.          7267.          1990.             0.           118.         -7292.          1867.          1867.       6722745.             0.
   28      28        1           -144.          5057.          1396.             0.            85.         -7292.          -897.          -897.      -3229713.             0.
   29      29        1           -304.          4368.          1211.             0.            76.         -7292.         -1940.         -1940.      -6984240.             0.
   30      30        1           -419.         12264.          3333.             0.           222.         -7292.          8108.          8108.      29188290.             0.
   31      31        1           -811.         14493.          3933.             0.           271.         -7292.         10595.         10595.      38141520.             0.
   32      32        1           -821.         11351.          3088.             0.           220.         -7292.          6546.          6546.      23566318.             0.
   33      33        1           -136.          7419.          2031.             0.           148.         -7292.          2170.          2170.       7811110.             0.
   34      34        1           -312.          7176.          1965.             0.           148.         -7292.          1685.          1685.       6065842.             0.
   35      35        1           -500.          9476.          2584.             0.           201.         -7292.          4469.          4469.      16089950.             0.
   36      36        1           -616.         11047.          3006.             0.           241.         -7292.          6387.          6387.      22994536.             0.
   37      37        1           -687.         10642.          2897.             0.           239.         -7292.          5800.          5800.      20880128.             0.
   38      38        1           -542.         14493.          3933.             0.           335.         -7292.         10927.         10927.      39338208.             0.
   39      39        1           -862.         12973.          3524.             0.           308.         -7292.          8650.          8650.      31141558.             0.
   40      40        1          -1492.         17432.          4723.             0.           424.         -7292.         13796.         13796.      49664920.             0.
   41      41        1           -290.         15608.          4232.             0.           390.         -7292.         12649.         12649.      45535272.             0.
   42      42        1           -442.         14392.          3905.             0.           368.         -7292.         10932.         10932.      39356332.             0.
   43      43        1           -849.         11554.          3143.             0.           303.         -7292.          6859.          6859.      24692524.             0.
   44      44        1          -1760.          9314.          2540.             0.           250.         -7292.          3053.          3053.      10991856.             0.
   45      45        1           -792.          4378.          1213.             0.           120.         -7292.         -2371.         -2371.      -8537351.             0.
   46      46        1          -1473.         10541.          2870.             0.           296.         -7292.          4942.          4942.      17790336.             0.
   47      47        1           -585.         10095.          2750.             0.           290.         -7292.          5258.          5258.      18929070.             0.
   48      48        1           -493.          4642.          1284.             0.           136.         -7292.         -1723.         -1723.      -6202000.             0.
   49      49        1           -749.          4966.          1371.             0.           149.         -7292.         -1554.         -1554.      -5594210.             0.
   50      50        1           -524.          -312.           -48.            -0.           -10.         -7292.         -8185.         -8185.     -29467652.             0.
   51      51        1           -369.         -2128.          -536.            -0.           -66.         -7292.        -10392.        -10392.     -37409672.             0.
   52      52        1           -726.         -3416.          -882.            -0.          -109.         -7292.        -12424.        -12424.     -44726968.             0.
   53      53        1           -310.         -2179.          -550.            -0.           -71.         -7292.        -10402.        -10402.     -37445492.             0.
   54      54        1           -205.         -2453.          -623.            -0.           -81.         -7292.        -10654.        -10654.     -38354148.             0.
   55      55        1           -336.         -5351.         -1402.            -0.          -180.         -7292.        -14562.        -14562.     -52423868.             0.
   56      56        1           -257.         -8757.         -2318.            -0.          -301.         -7292.        -18924.        -18924.     -68126400.             0.
   57      57        1          -1794.         -5838.         -1533.            -0.          -204.         -7292.        -16661.        -16661.     -59978764.             0.
   58      58        1          -1299.         -2179.          -550.            -0.           -78.         -7292.        -11397.        -11397.     -41028304.             0.
   59      59        1          -1742.         -3383.          -873.            -0.          -122.         -7155.        -13276.        -13622.     -47792992.     -47792992.
   60      60        1          -1406.          1079.           326.             0.             0.         -5282.         -5282.         -5565.     -19013678.     -19013678.
   61      61        1          -1984.          1534.           449.             0.             1.         -5059.         -5059.         -5093.     -18211102.     -18211102.
   62      62        1          -2018.          1561.           456.             0.             2.         -5401.         -5401.         -5349.     -19442998.     -19442998.
   63      63        1          -1568.          1205.           360.             0.             2.         -7200.         -7200.         -6926.     -25918592.     -25918592.
   64      64        1          -1984.          3405.           952.             0.             9.         -7292.         -4910.         -5169.     -17675066.             0.
   65      65        1           -737.           315.           121.             0.             1.         -6338.         -6638.         -8825.     -23896808.     -23896808.
   66      66        1          -1225.           934.           287.             0.             3.         -7059.         -7059.         -6942.     -25410916.     -25410916.
   67      67        1          -2380.          1841.           531.             0.             8.         -6834.         -6834.         -6939.     -24602086.     -24602086.
   68      68        1           -688.          1784.           516.             0.             9.         -7292.         -5671.         -5788.     -20417218.             0.
   69      69        1           -619.          5443.          1499.             0.            31.         -7292.          -938.          -938.      -3378066.             0.
   70      70        1           -690.          1672.           486.             0.            10.         -7292.         -5813.         -5898.     -20927170.             0.
   71      71        1           -630.          -847.          -191.            -0.            -6.         -6857.         -8530.         -9640.     -30709586.     -30709586.
   72      72        1          -1163.          -653.          -139.            -0.            -5.         -6108.         -8068.         -9309.     -29043762.     -29043762.
   73      73        1           -837.           627.           205.             0.             5.         -6116.         -6116.         -6111.     -22017744.     -22017744.
   74      74        1          -2036.          1458.           428.             0.            13.         -5678.         -5815.         -6577.     -20933378.     -20933378.
   75      75        1          -1863.          1429.           420.             0.            13.         -6141.         -6141.         -6067.     -22105820.     -22105820.
   76      76        1          -1232.           935.           288.             0.             9.         -7022.         -7022.         -6887.     -25278218.     -25278218.
   77      77        1          -1480.          1429.           420.             0.            15.         -7292.         -6907.         -6932.     -24865440.             0.
   78      78        1          -2260.          2372.           674.             0.            27.         -7292.         -6479.         -6526.     -23325524.             0.
   79      79        1          -1639.         -1560.          -383.            -0.           -18.         -6752.        -10352.        -11339.     -37267360.     -37267360.
   80      80        1          -2467.         -1127.          -267.            -0.           -14.         -6213.        -10088.        -11003.     -36316524.     -36316524.
   81      81        1          -1932.          -901.          -206.            -0.           -12.         -5765.         -8815.         -9576.     -31735688.     -31735688.
   82      82        1          -3157.         -2445.          -621.            -0.           -34.         -5217.        -11473.        -12418.     -41303404.     -41303404.
   83      83        1          -1984.         -1938.          -485.            -0.           -28.         -4789.         -9223.         -9948.     -33201834.     -33201834.
   84      84        1          -3002.          -726.          -159.            -0.           -11.         -4422.         -8319.         -8946.     -29948650.     -29948650.
   85      85        1          -2104.             0.            36.             0.             0.         -4156.         -6224.         -6674.     -22408014.     -22408014.
   86      86        1          -2570.          -144.            -2.            -0.            -2.         -3890.         -6609.         -7068.     -23791136.     -23791136.
   87      87        1           -583.           425.           151.             0.             7.         -4924.         -4924.         -4764.     -17728144.     -17728144.
   88      88        1           -973.         -2710.          -692.            -0.           -47.         -4601.         -9023.         -9605.     -32483616.     -32483616.
   89      89        1          -1556.         -4480.         -1168.            -0.           -81.         -4190.        -11476.        -12189.     -41312384.     -41312384.
   90      90        1           -938.           701.           225.             0.            13.         -4097.         -4097.         -4180.     -14750177.     -14750177.
   91      91        1          -3381.          2596.           734.             0.            50.         -4321.         -4321.         -4286.     -15554250.     -15554250.
   92      92        1          -2053.          1565.           457.             0.            31.         -4743.         -4743.         -4678.     -17073426.     -17073426.
   93      93        1          -3433.           616.           202.             0.            13.         -4527.         -7130.         -7519.     -25667002.     -25667002.
   94      94        1          -3588.          -397.           -70.            -0.            -8.         -4274.         -8338.         -8779.     -30015696.     -30015696.
   95      95        1          -1863.          1415.           417.             0.            31.         -5587.         -5587.         -5384.     -20113686.     -20113686.
   96      96        1          -2950.           545.           183.             0.            12.         -5377.         -7587.         -7967.     -27313832.     -27313832.
   97      97        1          -2777.          1251.           373.             0.            29.         -5199.         -6323.         -6631.     -22764002.     -22764002.
   98      98        1          -3726.          2855.           804.             0.            68.         -5300.         -5300.         -5284.     -19081038.     -19081038.
   99      99        1          -1863.           323.           123.             0.             8.         -5134.         -6543.         -6845.     -23553574.     -23553574.
  100     100        1          -4209.           700.           224.             0.            17.         -4924.         -8191.         -8560.     -29489132.     -29489132.
  101     101        1          -2708.          1930.           555.             0.            49.         -4796.         -4969.         -5187.     -17888914.     -17888914.
  102     102        1          -1038.           774.           244.             0.            20.         -5482.         -5482.         -5375.     -19733780.     -19733780.
  103     103        1          -2536.          1722.           499.             0.            46.         -5352.         -5620.         -5855.     -20232638.     -20232638.
  104     104        1          -3588.          2740.           773.             0.            75.         -5302.         -5302.         -5336.     -19086588.     -19086588.
  105     105        1          -4071.          2017.           579.             0.            57.         -5158.         -6576.         -6839.     -23674204.     -23674204.
  106     106        1          -4502.           315.           121.             0.             9.         -4958.         -9016.         -9369.     -32457206.     -32457206.
  107     107        1          -4157.         -1229.          -294.            -0.           -36.         -4731.        -10447.        -10847.     -37608316.     -37608316.
  108     108        1          -4726.          -773.          -171.            -0.           -23.         -4512.        -10206.        -10589.     -36741584.     -36741584.
  109     109        1          -4675.          -109.             7.            -0.            -3.         -4321.         -9101.         -9436.     -32764928.     -32764928.
  110     110        1          -4675.          -594.          -123.            -0.           -19.         -4125.         -9536.         -9879.     -34329564.     -34329564.
  111     111        1          -3346.          -676.          -145.            -0.           -22.         -3960.         -8149.         -8437.     -29336978.     -29336978.
  112     112        1           -869.          5326.          1468.             0.           173.         -3993.          2104.          2177.       7574706.       7574706.
  113     113        1          -3174.          2410.           684.             0.            80.         -4425.         -4425.         -4358.     -15928560.     -15928560.
  114     114        1          -2156.          1628.           474.             0.            55.         -5597.         -5597.         -5416.     -20149698.     -20149698.
  115     115        1          -2087.          1574.           459.             0.            54.         -6057.         -6057.         -5986.     -21805214.     -21805214.
  116     116        1          -1880.          1046.           317.             0.            37.         -5944.         -6425.         -6632.     -23130574.     -23130574.
  117     117        1          -3950.           402.           144.             0.            14.         -5782.         -9172.         -9462.     -33019154.     -33019154.
  118     118        1          -3019.           193.            88.             0.             7.         -5634.         -8364.         -8624.     -30109926.     -30109926.
  119     119        1          -3157.           230.            98.             0.             8.         -5490.         -8310.         -8564.     -29914918.     -29914918.
  120     120        1          -4606.           613.           201.             0.            23.         -5335.         -9104.         -9377.     -32773608.     -32773608.
  121     121        1          -3036.           533.           180.             0.            20.         -5208.         -7511.         -7733.     -27040906.     -27040906.
  122     122        1          -3864.         -1531.          -375.            -0.           -59.         -5032.        -10861.        -11177.     -39100568.     -39100568.
  123     123        1          -3346.          -607.          -127.            -0.           -24.         -4885.         -8988.         -9246.     -32358228.     -32358228.
  124     124        1          -3605.         -1260.          -303.            -0.           -50.         -4727.         -9945.        -10226.     -35802540.     -35802540.
  125     125        1          -1166.           863.           268.             0.            35.         -5240.         -5240.         -5159.     -18862600.     -18862600.
  126     126        1          -1247.           924.           285.             0.            38.         -5341.         -5341.         -5326.     -19228954.     -19228954.
  127     127        1          -2294.          1040.           316.             0.            44.         -5252.         -6146.         -6312.     -22125490.     -22125490.
  128     128        1          -5037.         -1529.          -375.            -0.           -65.         -5074.        -12080.        -12400.     -43486412.     -43486412.
  129     129        1          -1828.         -1099.          -259.            -0.           -47.         -4951.         -8186.         -8400.     -29468088.     -29468088.
  130     130        1          -2001.         -7305.         -1928.            -0.          -319.         -4719.        -16272.        -16692.     -58577564.     -58577564.
  131     131        1          -4244.         -9615.         -2549.            -0.          -426.         -4417.        -21250.        -21791.     -76498496.     -76498496.
  132     132        1          -5434.         -9181.         -2432.            -0.          -413.         -4112.        -21572.        -22114.     -77659032.     -77659032.
  133     133        1          -5210.        -10546.         -2799.            -0.          -480.         -3794.        -22829.        -23395.     -82186080.     -82186080.
  134     134        1          -2915.         -5481.         -1437.            -0.          -253.         -3601.        -13687.        -14022.     -49273888.     -49273888.
  135     135        1          -1742.         -1833.          -456.            -0.           -86.         -3494.         -7611.         -7795.     -27401054.     -27401054.
  136     136        1          -2053.         -2876.          -737.            -0.          -136.         -3372.         -9174.         -9392.     -33026372.     -33026372.
  137     137        1          -2156.         -2632.          -671.            -0.          -126.         -3255.         -8841.         -9049.     -31828078.     -31828078.
  138     138        1          -4278.         -2937.          -753.            -0.          -143.         -3110.        -11222.        -11483.     -40400028.     -40400028.
  139     139        1          -4537.         -3624.          -938.            -0.          -179.         -2953.        -12231.        -12511.     -44030600.     -44030600.
  140     140        1          -5158.         -3299.          -851.            -0.          -165.         -2798.        -12269.        -12547.     -44170016.     -44170016.
  141     141        1          -3260.          -515.          -102.            -0.           -26.         -2712.         -6615.         -6763.     -23814298.     -23814298.
  142     142        1          -4364.         -1572.          -386.            -0.           -80.         -2601.         -9004.         -9203.     -32415616.     -32415616.
  143     143        1          -1794.          1331.           394.             0.            69.         -2730.         -2730.         -2709.      -9829335.      -9829335.
  144     144        1          -2087.           782.           246.             0.            41.         -2687.         -3705.         -3785.     -13338374.     -13338374.
  145     145        1          -3622.         -2141.          -539.            -0.          -114.         -2582.         -8999.         -9191.     -32396334.     -32396334.
  146     146        1           -618.           440.           154.             0.            24.         -2696.         -2696.         -2678.      -9706050.      -9706050.
  147     147        1           -745.          3030.           851.             0.           165.         -2703.           598.           610.       2152027.       2152027.
  148     148        1          -5468.         -1650.          -407.            -0.           -91.         -2590.        -10207.        -10417.     -36744944.     -36744944.
  149     149        1          -6158.         -2189.          -552.            -0.          -122.         -2460.        -11482.        -11716.     -41333572.     -41333572.
  150     150        1          -6106.          4784.          1322.             0.             0.          1614.          1614.           996.       5810496.       5810496.
  151     151        1          -3191.          2485.           704.             0.             2.           511.           511.          1486.       1841270.       1841270.
  152     152        1          -5503.          3544.           989.             0.             4.           728.          -238.          -519.       -856190.       -856190.
  153     153        1          -4571.          2263.           645.             0.             4.          1037.          -622.         -1066.      -2238821.      -2238821.
  154     154        1          -5520.          2455.           696.             0.             6.          1372.          -990.         -1494.      -3563513.      -3563513.
  155     155        1          -5365.          2360.           671.             0.             7.          1569.          -758.         -1058.      -2728662.      -2728662.
  156     156        1          -5900.          1198.           358.             0.             4.          2033.         -2306.         -3051.      -8300498.      -8300498.
  157     157        1          -5261.           985.           301.             0.             4.          2320.         -1652.         -2103.      -5945502.      -5945502.
  158     158        1          -4157.           874.           271.             0.             4.          2412.          -595.          -736.      -2143220.      -2143220.
  159     159        1          -2829.          2191.           625.             0.            12.          2218.          2218.          2476.       7983682.       7983682.
  160     160        1          -3795.          2948.           829.             0.            18.          2532.          2532.          2484.       9114954.       9114954.
  161     161        1          -5744.          1959.           563.             0.            13.          2592.          -616.          -720.      -2218128.      -2218128.
  162     162        1          -5002.          1113.           335.             0.             8.          2673.          -874.         -1008.      -3145184.      -3145184.
  163     163        1          -2553.          4033.          1121.             0.            33.          2275.          4908.          5603.      17668822.      17668822.
  164     164        1          -6038.          4697.          1299.             0.            41.          2204.          2204.          2243.       7935760.       7935760.
  165     165        1          -3864.          3758.          1047.             0.            35.          1997.          2973.          3335.      10701328.      10701328.
