 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
    1       1        1           -114.         14924.          4048.             0.          2109.         -4744.         16223.         18491.      58402088.      58402088.
    2       2        1           -154.         14241.          3865.             0.          2020.          -131.         19840.         19999.      71425472.      71425472.
    3       3        1            -80.         15449.          4190.             0.          2199.          -211.         21547.         21719.      77570904.      77570904.
    4       4        1            -63.         14629.          3969.             0.          2090.          -286.         20339.         20501.      73219784.      73219784.
    5       5        1           -540.         14876.          4035.             0.          2133.          -361.         20144.         20303.      72517384.      72517384.
    6       6        1           -102.         16005.          4339.             0.          2304.          -442.         22104.         22279.      79575688.      79575688.
    7       7        1            -77.         14678.          3982.             0.          2120.          -516.         20188.         20347.      72678192.      72678192.
    8       8        1           -107.         13944.          3785.             0.          2022.          -586.         19058.         19208.      68609824.      68609824.
    9       9        1           -295.         15862.          4301.             0.          2308.          -664.         21512.         21680.      77442552.      77442552.
   10      10        1           -104.         14929.          4050.             0.          2180.          -737.         20318.         20477.      73146104.      73146104.
   11      11        1           -133.         15121.          4102.             0.          2216.          -811.         20495.         20654.      73780400.      73780400.
   12      12        1           -398.         16236.          4401.             0.          2388.          -889.         21737.         21905.      78253280.      78253280.
   13      13        1           -148.         16204.          4393.             0.          2392.          -968.         21873.         22041.      78741720.      78741720.
   14      14        1           -113.         17135.          4643.             0.          2538.         -1050.         23153.         23331.      83350208.      83350208.
   15      15        1           -188.         22674.          6132.             0.          3371.         -1159.         30830.         31066.     110987160.     110987160.
   16      16        1           -145.         16107.          4366.             0.          2403.         -1236.         21495.         21659.      77381856.      77381856.
   17      17        1            -83.         15060.          4085.             0.          2255.         -1307.         20009.         20162.      72033296.      72033296.
   18      18        1            -98.         13506.          3667.             0.          2029.         -1370.         17733.         17868.      63840564.      63840564.
   19      19        1           -179.         13194.          3584.             0.          1989.         -1430.         17157.         17287.      61766880.      61766880.
   20      20        1           -140.         11193.          3045.             0.          1693.         -1481.         14310.         14418.      51517352.      51517352.
   21      21        1           -172.          9390.          2561.             0.          1426.         -1522.         11682.         11770.      42056056.      42056056.
   22      22        1           -103.          9351.          2550.             0.          1425.         -1563.         11660.         11748.      41976956.      41976956.
   23      23        1           -490.          8214.          2244.             0.          1256.         -1596.          9628.          9700.      34660356.      34660356.
   24      24        1           -576.         13043.          3543.             0.          2001.         -1652.         16359.         16480.      58891020.      58891020.
   25      25        1           -108.         11954.          3250.             0.          1840.         -1704.         15232.         15345.      54835852.      54835852.
   26      26        1           -161.         14368.          3899.             0.          2219.         -1767.         18559.         18696.      66810848.      66810848.
   27      27        1           -216.         17902.          4849.             0.          2774.         -1847.         23463.         23636.      84466512.      84466512.
   28      28        1           -144.         15522.          4209.             0.          2414.         -1915.         20086.         20233.      72308320.      72308320.
   29      29        1           -304.         14676.          3982.             0.          2290.         -1979.         18665.         18802.      67194032.      67194032.
   30      30        1           -419.         22329.          6039.             0.          3496.         -2077.         29369.         29583.     105727728.     105727728.
   31      31        1           -811.         24296.          6568.             0.          3817.         -2183.         31687.         31918.     114072552.     114072552.
   32      32        1           -821.         20930.          5663.             0.          3299.         -2274.         26797.         26992.      96469576.      96469576.
