 Day of  Day of
 sim.     year         Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
    1       1           -144.         17959.          2942.           413.         21170.
    2       2           -170.         13270.           -35.           268.         13332.
    3       3           -198.         10600.         -1697.           184.          8889.
    4       4           -229.          9048.         -2630.           136.          6325.
    5       5           -261.          8126.         -3151.           108.          4822.
    6       6           -296.          7566.         -3433.            94.          3930.
    7       7           -332.          7218.         -3576.            86.          3396.
    8       8           -371.          6996.         -3634.            84.          3074.
    9       9           -412.          6849.         -3641.            85.          2881.
   10      10           -455.          6748.         -3616.            88.          2765.
   11      11           -500.          6675.         -3570.            92.          2697.
   12      12           -547.          6620.         -3511.            97.          2659.
   13      13           -596.          6575.         -3443.           103.          2640.
   14      14           -647.          6536.         -3368.           110.          2631.
   15      15           -700.          6501.         -3288.           117.          2630.
   16      16           -755.          6467.         -3205.           124.          2632.
   17      17           -812.          6435.         -3119.           132.          2637.
   18      18           -870.          6403.         -3031.           140.          2642.
   19      19           -931.          6371.         -2941.           149.          2647.
   20      20           -994.          6338.         -2849.           157.          2652.
   21      21          -1059.          6305.         -2756.           166.          2656.
   22      22          -1125.          6270.         -2661.           175.          2659.
   23      23          -1193.          6235.         -2565.           184.          2661.
   24      24          -1264.          6198.         -2467.           194.          2661.
   25      25          -1336.          6161.         -2369.           204.          2660.
   26      26          -1409.          6122.         -2269.           214.          2657.
   27      27          -1485.          6082.         -2168.           224.          2653.
   28      28          -1562.          6041.         -2066.           234.          2648.
   29      29          -1641.          5999.         -1962.           245.          2641.
   30      30          -1722.          5957.         -1858.           256.          2632.
   31      31          -1804.          5912.         -1753.           267.          2622.
   32      32          -1889.          5867.         -1647.           278.          2610.
   33      33          -1974.          5821.         -1540.           289.          2596.
   34      34          -2061.          5774.         -1432.           301.          2582.
   35      35          -2150.          5726.         -1323.           313.          2565.
   36      36          -2241.          5677.         -1213.           325.          2547.
   37      37          -2333.          5626.         -1103.           337.          2528.
   38      38          -2426.          5575.          -991.           349.          2507.
   39      39          -2521.          5523.          -879.           362.          2484.
   40      40          -2617.          5470.          -767.           374.          2460.
   41      41          -2715.          5416.          -653.           387.          2435.
   42      42          -2814.          5361.          -539.           400.          2408.
   43      43          -2915.          5305.          -424.           413.          2379.
   44      44          -3016.          5249.          -309.           426.          2349.
   45      45          -3120.          5191.          -193.           440.          2318.
   46      46          -3224.          5133.           -77.           453.          2285.
   47      47          -3330.          5074.            40.           467.          2251.
   48      48          -3436.          5014.           157.           481.          2215.
   49      49          -3544.          4953.           275.           495.          2178.
   50      50          -3653.          4892.           393.           509.          2140.
   51      51          -3764.          4830.           511.           523.          2100.
   52      52          -3875.          4767.           630.           537.          2059.
   53      53          -3987.          4703.           749.           552.          2017.
   54      54          -4100.          4639.           868.           566.          1973.
   55      55          -4215.          4574.           988.           581.          1928.
   56      56          -4330.          4509.          1107.           595.          1882.
   57      57          -4446.          4443.          1227.           610.          1834.
   58      58          -4563.          4376.          1347.           625.          1785.
   59      59          -4681.          4309.          1467.           640.          1735.
   60      60          -4800.          4241.          1587.           655.          1684.
   61      61          -4919.          4173.          1707.           670.          1631.
   62      62          -5039.          4105.          1827.           685.          1578.
   63      63          -5160.          4035.          1947.           700.          1523.
   64      64          -5281.          3966.          2067.           715.          1467.
   65      65          -5404.          3896.          2187.           730.          1410.
   66      66          -5526.          3826.          2307.           746.          1352.
   67      67          -5649.          3755.          2426.           761.          1293.
   68      68          -5773.          3684.          2545.           776.          1232.
   69      69          -5897.          3613.          2664.           791.          1171.
   70      70          -6022.          3541.          2783.           807.          1109.
   71      71          -6147.          3469.          2902.           822.          1046.
   72      72          -6273.          3397.          3020.           837.           982.
   73      73          -6398.          3325.          3137.           853.           917.
   74      74          -6524.          3253.          3255.           868.           851.
   75      75          -6651.          3180.          3372.           883.           784.
   76      76          -6777.          3108.          3488.           898.           717.
   77      77          -6904.          3035.          3604.           913.           648.
   78      78          -7031.          2962.          3719.           929.           579.
   79      79          -7158.          2889.          3834.           944.           509.
   80      80          -7285.          2816.          3948.           959.           439.
   81      81          -7412.          2743.          4062.           974.           367.
   82      82          -7539.          2671.          4175.           989.           295.
   83      83          -7666.          2598.          4287.          1003.           223.
   84      84          -7793.          2525.          4399.          1018.           150.
   85      85          -7919.          2453.          4510.          1033.            76.
   86      86          -8046.          2380.          4620.          1048.             2.
   87      87          -8172.          2308.          4729.          1062.           -73.
   88      88          -8299.          2236.          4837.          1076.          -149.
   89      89          -8425.          2164.          4945.          1091.          -224.
   90      90          -8550.          2093.          5052.          1105.          -301.
   91      91          -8675.          2022.          5158.          1119.          -377.
   92      92          -8800.          1951.          5262.          1133.          -454.
   93      93          -8925.          1880.          5366.          1147.          -531.
   94      94          -9049.          1810.          5469.          1161.          -609.
   95      95          -9172.          1740.          5571.          1174.          -687.
   96      96          -9295.          1671.          5672.          1188.          -765.
   97      97          -9418.          1602.          5772.          1201.          -843.
   98      98          -9539.          1534.          5870.          1214.          -921.
   99      99          -9661.          1466.          5968.          1227.         -1000.
  100     100          -9781.          1399.          6064.          1240.         -1078.
  101     101          -9901.          1332.          6160.          1252.         -1157.
  102     102         -10020.          1266.          6254.          1265.         -1235.
  103     103         -10138.          1200.          6347.          1277.         -1314.
  104     104         -10255.          1135.          6438.          1289.         -1393.
  105     105         -10372.          1071.          6529.          1301.         -1471.
  106     106         -10488.          1008.          6618.          1313.         -1549.
  107     107         -10602.           945.          6705.          1325.         -1628.
  108     108         -10716.           883.          6792.          1336.         -1706.
  109     109         -10829.           821.          6877.          1347.         -1784.
  110     110         -10941.           761.          6961.          1358.         -1861.
  111     111         -11052.           701.          7043.          1369.         -1938.
  112     112         -11161.           642.          7124.          1379.         -2015.
  113     113         -11270.           585.          7204.          1390.         -2092.
  114     114         -11377.           527.          7282.          1400.         -2168.
  115     115         -11483.           471.          7358.          1410.         -2244.
  116     116         -11588.           416.          7434.          1419.         -2319.
  117     117         -11692.           362.          7507.          1429.         -2394.
  118     118         -11795.           309.          7579.          1438.         -2468.
  119     119         -11896.           257.          7650.          1447.         -2542.
  120     120         -11996.          1219.          8378.           295.         -2104.
  121     121         -12094.          1763.          8831.           327.         -1173.
  122     122         -12191.          2056.          9120.           351.          -664.
  123     123         -12287.          2211.          9316.           371.          -388.
  124     124         -12381.          2288.          9459.           388.          -245.
  125     125         -12473.          2320.          9571.           404.          -179.
  126     126         -12565.          2326.          9663.           418.          -157.
  127     127         -12654.          2316.          9743.           432.          -163.
  128     128         -12742.          2298.          9814.           446.          -185.
  129     129         -12829.          2273.          9879.           459.          -217.
  130     130         -12914.          2246.          9940.           472.          -256.
  131     131         -12997.          2217.          9997.           484.          -299.
  132     132         -13079.          2187.         10051.           497.          -344.
  133     133         -13158.          2156.         10102.           509.          -391.
