 Day of  Day of Year Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year        mass   depth    T      T      T      T
   63      63        1   352.00    0.88   -1.10   -2.45   -0.42    2.54
   64      64        1   356.00    0.89   -0.99   -2.43   -0.48    2.60
   65      65        1   360.00    0.90   -0.89   -2.41   -0.54    2.65
   66      66        1   364.00    0.91   -0.78   -2.39   -0.60    2.71
   67      67        1   368.00    0.92   -0.66   -2.36   -0.65    2.76
   68      68        1   372.00    0.93   -0.55   -2.33   -0.70    2.82
   69      69        1   376.00    0.94   -0.43   -2.29   -0.75    2.89
   70      70        1   380.00    0.95   -0.31   -2.26   -0.79    2.95
   71      71        1   384.00    0.96   -0.19   -2.22   -0.84    3.02
   72      72        1   388.00    0.97   -0.07   -2.17   -0.88    3.08
   73      73        1   392.00    0.98    0.06   -2.13   -0.92    3.15
   74      74        1   396.00    0.99    0.19   -2.08   -0.95    3.23
   75      75        1   400.00    1.00    0.32   -2.03   -0.99    3.30
   76      76        1   404.00    1.01    0.45   -1.98   -1.02    3.37
   77      77        1   408.00    1.02    0.59   -1.92   -1.04    3.45
   78      78        1   412.00    1.03    0.72   -1.86   -1.07    3.53
   79      79        1   416.00    1.04    0.86   -1.80   -1.09    3.61
   80      80        1   420.00    1.05    1.00   -1.73   -1.11    3.70
   81      81        1   424.00    1.06    1.15   -1.66   -1.13    3.78
   82      82        1   428.00    1.07    1.29   -1.59   -1.15    3.87
   83      83        1   432.00    1.08    1.44   -1.52   -1.16    3.95
   84      84        1   436.00    1.09    1.59   -1.44   -1.17    4.04
   85      85        1   440.00    1.10    1.74   -1.36   -1.18    4.14
   86      86        1   444.00    1.11    1.89   -1.28   -1.18    4.23
   87      87        1   448.00    1.12    2.04   -1.20   -1.19    4.32
   88      88        1   452.00    1.13    2.20   -1.11   -1.19    4.42
   89      89        1   456.00    1.14    2.35   -1.02   -1.18    4.52
   90      90        1   460.00    1.15    2.51   -0.93   -1.18    4.62
   91      91        1   464.00    1.16    2.67   -0.84   -1.17    4.72
   92      92        1   468.00    1.17    2.83   -0.74   -1.16    4.82
   93      93        1   472.00    1.18    3.00   -0.64   -1.15    4.93
   94      94        1   476.00    1.19    3.16   -0.54   -1.13    5.03
   95      95        1   480.00    1.20    3.33   -0.44   -1.11    5.14
   96      96        1   484.00    1.21    3.49   -0.33   -1.09    5.25
   97      97        1   488.00    1.22    3.66   -0.22   -1.07    5.36
   98      98        1   492.00    1.23    3.83   -0.11   -1.04    5.47
   99      99        1   496.00    1.24    4.00    0.00   -1.02    5.58
  100     100        1   500.00    1.25    4.17    0.12   -0.99    5.70
  101     101        1   504.00    1.26    4.34    0.24   -0.95    5.81
  102     102        1   508.00    1.27    4.51    0.36   -0.92    5.93
  103     103        1   512.00    1.28    4.69    0.48   -0.88    6.05
  104     104        1   516.00    1.29    4.86    0.60   -0.84    6.17
  105     105        1   520.00    1.30    5.04    0.73   -0.79    6.29
  106     106        1   524.00    1.31    5.21    0.86   -0.75    6.41
  107     107        1   528.00    1.32    5.39    0.99   -0.70    6.53
  108     108        1   532.00    1.33    5.57    1.12   -0.65    6.65
  109     109        1   536.00    1.34    5.75    1.25   -0.60    6.78
  110     110        1   540.00    1.35    5.92    1.39   -0.54    6.90
  111     111        1   544.00    1.36    6.10    1.53   -0.48    7.03
  112     112        1   548.00    1.37    6.28    1.67   -0.42    7.16
  113     113        1   552.00    1.38    6.46    1.81   -0.36    7.29
  114     114        1   556.00    1.39    6.64    1.95   -0.30    7.42
  115     115        1   560.00    1.40    6.82    2.09   -0.23    7.55
  116     116        1   564.00    1.41    7.00    2.24   -0.16    7.68
  117     117        1   568.00    1.42    7.18    2.39   -0.09    7.81
  118     118        1   572.00    1.43    7.36    2.54   -0.01    7.94
  119     119        1   576.00    1.44    7.55    2.69    0.06    8.07
  120     120        1   104.00    0.26    7.73    2.84    0.14    8.66
  121     121        1   108.00    0.27    7.91    2.99    0.22    9.31
  122     122        1   112.00    0.28    8.09    3.15    0.30    9.83
  123     123        1   116.00    0.29    8.27    3.30    0.39   10.24
  124     124        1   120.00    0.30    8.45    3.46    0.48   10.58
  125     125        1   124.00    0.31    8.63    3.62    0.56   10.87
  126     126        1   128.00    0.32    8.81    3.78    0.66   11.12
  127     127        1   132.00    0.33    8.99    3.94    0.75   11.34
  128     128        1   136.00    0.34    9.16    4.10    0.84   11.55
  129     129        1   140.00    0.35    9.34    4.27    0.94   11.74
  130     130        1   144.00    0.36    9.52    4.43    1.04   11.92
  131     131        1   148.00    0.37    9.70    4.59    1.14   12.09
  132     132        1   152.00    0.38    9.87    4.76    1.24   12.26
  133     133        1   156.00    0.39   10.05    4.93    1.35   12.42
  134     134        1   160.00    0.40   10.22    5.09    1.46   12.57
  135     135        1   164.00    0.41   10.40    5.26    1.56   12.73
  136     136        1   168.00    0.42   10.57    5.43    1.67   12.88
  137     137        1   172.00    0.43   10.74    5.60    1.79   13.02
  138     138        1   176.00    0.44   10.92    5.77    1.90   13.17
  139     139        1   180.00    0.45   11.09    5.94    2.02   13.32
  140     140        1   184.00    0.46   11.26    6.11    2.13   13.46
  141     141        1   188.00    0.47   11.42    6.28    2.25   13.60
  142     142        1   192.00    0.48   11.59    6.45    2.37   13.74
  143     143        1   196.00    0.49   11.76    6.63    2.49   13.88
  144     144        1   200.00    0.50   11.92    6.80    2.62   14.02
  145     145        1   204.00    0.51   12.08    6.97    2.74   14.16
  146     146        1   208.00    0.52   12.25    7.14    2.87   14.30
  147     147        1   212.00    0.53   12.41    7.32    2.99   14.44
  148     148        1   216.00    0.54   12.57    7.49    3.12   14.57
  149     149        1   220.00    0.55   12.72    7.66    3.25   14.71
  150     150        1   224.00    0.56   12.88    7.83    3.38   14.84
  151     151        1   228.00    0.57   13.03    8.01    3.52   14.98
  152     152        1   232.00    0.58   13.19    8.18    3.65   15.11
  153     153        1   236.00    0.59   13.34    8.35    3.78   15.24
  154     154        1   240.00    0.60   13.49    8.52    3.92   15.37
  155     155        1   244.00    0.61   13.64    8.70    4.06   15.50
  156     156        1   248.00    0.62   13.78    8.87    4.19   15.63
  157     157        1   252.00    0.63   13.92    9.04    4.33   15.76
  158     158        1   256.00    0.64   14.07    9.21    4.47   15.88
  159     159        1   260.00    0.65   14.21    9.38    4.61   16.01
  160     160        1   264.00    0.66   14.34    9.55    4.76   16.13
  161     161        1   268.00    0.67   14.48    9.72    4.90   16.26
  162     162        1   272.00    0.68   14.61    9.89    5.04   16.38
  163     163        1   276.00    0.69   14.75   10.05    5.19   16.50
  164     164        1   280.00    0.70   14.88   10.22    5.33   16.62
  165     165        1   284.00    0.71   15.00   10.39    5.48   16.74
  166     166        1   288.00    0.72   15.13   10.55    5.62   16.85
  167     167        1   292.00    0.73   15.25   10.72    5.77   16.97
  168     168        1   296.00    0.74   15.37   10.88    5.91   17.09
  169     169        1   300.00    0.75   15.49   11.04    6.06   17.20
  170     170        1   304.00    0.76   15.61   11.20    6.21   17.31
  171     171        1   308.00    0.77   15.72   11.36    6.36   17.42
  172     172        1   312.00    0.78   15.83   11.52    6.51   17.53
  173     173        1   316.00    0.79   15.94   11.68    6.66   17.64
  174     174        1   320.00    0.80   16.05   11.84    6.81   17.74
  175     175        1   324.00    0.81   16.15   11.99    6.95   17.85
  176     176        1   328.00    0.82   16.25   12.15    7.10   17.95
  177     177        1   332.00    0.83   16.35   12.30    7.25   18.05
  178     178        1   336.00    0.84   16.45   12.45    7.40   18.15
  179     179        1   340.00    0.85   16.54   12.60    7.55   18.25
  180     180        1   344.00    0.86   16.63   12.75    7.70   18.35
  181     181        1   348.00    0.87   16.72   12.90    7.85   18.45
  182     182        1   352.00    0.88   16.80   13.04    8.00   18.54
  183     183        1   356.00    0.89   16.89   13.19    8.15   18.63
  184     184        1   360.00    0.90   16.97   13.33    8.30   18.72
  185     185        1   364.00    0.91   17.04   13.47    8.45   18.81
  186     186        1   368.00    0.92   17.12   13.61    8.60   18.90
  187     187        1   372.00    0.93   17.19   13.74    8.75   18.98
  188     188        1   376.00    0.94   17.26   13.88    8.90   19.07
  189     189        1   380.00    0.95   17.32   14.01    9.04   19.15
  190     190        1   384.00    0.96   17.38   14.14    9.19   19.23
  191     191        1   388.00    0.97   17.44   14.27    9.34   19.30
  192     192        1   392.00    0.98   17.50   14.40    9.48   19.38
  193     193        1   396.00    0.99   17.55   14.52    9.63   19.45
  194     194        1   400.00    1.00   17.60   14.65    9.77   19.53
  195     195        1   404.00    1.01   17.65   14.77    9.92   19.60
  196     196        1   408.00    1.02   17.70   14.89   10.06   19.66
  197     197        1   412.00    1.03   17.74   15.00   10.21   19.73
  198     198        1   416.00    1.04   17.78   15.12   10.35   19.80
  199     199        1   420.00    1.05   17.81   15.23   10.49   19.86
  200     200        1   424.00    1.06   17.84   15.34   10.63   19.92
  201     201        1   428.00    1.07   17.87   15.45   10.77   19.98
  202     202        1   432.00    1.08   17.90   15.55   10.91   20.03
  203     203        1   436.00    1.09   17.92   15.65   11.04   20.09
  204     204        1   440.00    1.10   17.94   15.75   11.18   20.14
  205     205        1   444.00    1.11   17.96   15.85   11.32   20.19
  206     206        1   448.00    1.12   17.98   15.95   11.45   20.24
  207     207        1   452.00    1.13   17.99   16.04   11.58   20.28
  208     208        1   456.00    1.14   17.99   16.13   11.71   20.33
  209     209        1   460.00    1.15   18.00   16.22   11.85   20.37
  210     210        1   464.00    1.16   18.00   16.30   11.97   20.41
  211     211        1   468.00    1.17   18.00   16.39   12.10   20.45
  212     212        1   472.00    1.18   17.99   16.47   12.23   20.48
  213     213        1   476.00    1.19   17.99   16.55   12.35   20.51
  214     214        1   480.00    1.20   17.98   16.62   12.48   20.55
  215     215        1   484.00    1.21   17.96   16.69   12.60   20.57
  216     216        1   488.00    1.22   17.94   16.76   12.72   20.60
  217     217        1   492.00    1.23   17.92   16.83   12.84   20.63
  218     218        1   496.00    1.24   17.90   16.89   12.96   20.65
  219     219        1   500.00    1.25   17.87   16.95   13.07   20.67
  220     220        1   504.00    1.26   17.84   17.01   13.19   20.69
  221     221        1   508.00    1.27   17.81   17.07   13.30   20.70
  222     222        1   512.00    1.28   17.78   17.12   13.41   20.71
  223     223        1   516.00    1.29   17.74   17.17   13.52   20.73
  224     224        1   520.00    1.30   17.70   17.22   13.63   20.74
  225     225        1   524.00    1.31   17.65   17.26   13.74   20.74
  226     226        1   528.00    1.32   17.60   17.30   13.84   20.75
  227     227        1   532.00    1.33   17.55   17.34   13.94   20.75
  228     228        1   536.00    1.34   17.50   17.38   14.04   20.75
  229     229        1   540.00    1.35   17.44   17.41   14.14   20.75
  230     230        1   544.00    1.36   17.38   17.44   14.24   20.74
  231     231        1   548.00    1.37   17.32   17.46   14.33   20.74
  232     232        1   552.00    1.38   17.26   17.49   14.42   20.73
  233     233        1   556.00    1.39   17.19   17.51   14.51   20.72
  234     234        1   560.00    1.40   17.12   17.53   14.60   20.70
  235     235        1   564.00    1.41   17.04   17.54   14.69   20.69
  236     236        1   568.00    1.42   16.97   17.55   14.77   20.67
  237     237        1   572.00    1.43   16.89   17.56   14.85   20.65
  238     238        1   576.00    1.44   16.80   17.57   14.93   20.63
  239     239        1   580.00    1.45   16.72   17.57   15.01   20.60
  240     240        1   584.00    1.46   16.63   17.57   15.08   20.58
  241     241        1   588.00    1.47   16.54   17.57   15.16   20.55
  242     242        1   592.00    1.48   16.45   17.56   15.23   20.52
  243     243        1   596.00    1.49   16.35   17.55   15.30   20.49
  244     244        1   600.00    1.50   16.25   17.54   15.36   20.45
  245     245        1   604.00    1.51   16.15   17.53   15.42   20.41
  246     246        1   608.00    1.52   16.05   17.51   15.49   20.37
  247     247        1   612.00    1.53   15.94   17.49   15.55   20.33
  248     248        1   616.00    1.54   15.83   17.46   15.60   20.29
  249     249        1   620.00    1.55   15.72   17.44   15.66   20.24
  250     250        1   624.00    1.56   15.61   17.41   15.71   20.20
  251     251        1   628.00    1.57   15.49   17.38   15.76   20.15
  252     252        1   632.00    1.58   15.37   17.34   15.80   20.09
  253     253        1   636.00    1.59   15.25   17.30   15.85   20.04
  254     254        1   640.00    1.60   15.13   17.26   15.89   19.98
  255     255        1   644.00    1.61   15.00   17.22   15.93   19.93
  256     256        1   648.00    1.62   14.88   17.17   15.97   19.86
  257     257        1   652.00    1.63   14.75   17.12   16.00   19.80
  258     258        1   656.00    1.64   14.61   17.07   16.03   19.74
  259     259        1   660.00    1.65   14.48   17.01   16.06   19.67
  260     260        1   664.00    1.66   14.34   16.95   16.09   19.60
  261     261        1   668.00    1.67   14.21   16.89   16.11   19.53
  262     262        1   672.00    1.68   14.07   16.83   16.14   19.46
  263     263        1   676.00    1.69   13.92   16.76   16.16   19.39
  264     264        1   680.00    1.70   13.78   16.69   16.17   19.31
  265     265        1   684.00    1.71   13.64   16.62   16.19   19.23
  266     266        1   688.00    1.72   13.49   16.55   16.20   19.16
  267     267        1   692.00    1.73   13.34   16.47   16.21   19.07
  268     268        1   696.00    1.74   13.19   16.39   16.21   18.99
  269     269        1   700.00    1.75   13.03   16.30   16.22   18.91
  270     270        1   704.00    1.76   12.88   16.22   16.22   18.82
  271     271        1   708.00    1.77   12.72   16.13   16.22   18.73
  272     272        1   712.00    1.78   12.57   16.04   16.21   18.64
  273     273        1   716.00    1.79   12.41   15.95   16.21   18.55
  274     274        1   720.00    1.80   12.25   15.85   16.20   18.45
  275     275        1   724.00    1.81   12.08   15.75   16.19   18.36
  276     276        1   728.00    1.82   11.92   15.65   16.17   18.26
  277     277        1   732.00    1.83   11.76   15.55   16.16   18.16
  278     278        1   736.00    1.84   11.59   15.45   16.14   18.06
  279     279        1   740.00    1.85   11.42   15.34   16.11   17.96
  280     280        1   744.00    1.86   11.26   15.23   16.09   17.86
  281     281        1   748.00    1.87   11.09   15.12   16.06   17.75
  282     282        1   752.00    1.88   10.92   15.00   16.03   17.65
  283     283        1   756.00    1.89   10.74   14.89   16.00   17.54
  284     284        1   760.00    1.90   10.57   14.77   15.97   17.43
  285     285        1   764.00    1.91   10.40   14.65   15.93   17.32
  286     286        1   768.00    1.92   10.22   14.52   15.89   17.21
  287     287        1   772.00    1.93   10.05   14.40   15.85   17.09
  288     288        1   776.00    1.94    9.87   14.27   15.80   16.98
  289     289        1   780.00    1.95    9.70   14.14   15.76   16.86
  290     290        1   784.00    1.96    9.52   14.01   15.71   16.75
  291     291        1   788.00    1.97    9.34   13.88   15.66   16.63
  292     292        1   792.00    1.98    9.16   13.74   15.60   16.51
  293     293        1   796.00    1.99    8.99   13.61   15.55   16.39
  294     294        1   800.00    2.00    8.81   13.47   15.49   16.26
  295     295        1   804.00    2.01    8.63   13.33   15.42   16.14
  296     296        1   808.00    2.02    8.45   13.19   15.36   16.02
  297     297        1   812.00    2.03    8.27   13.04   15.30   15.89
  298     298        1   816.00    2.04    8.09   12.90   15.23   15.77
  299     299        1   820.00    2.05    7.91   12.75   15.16   15.64
  300     300        1   824.00    2.06    7.73   12.60   15.08   15.51
  301     301        1   828.00    2.07    7.55   12.45   15.01   15.38
  302     302        1   832.00    2.08    7.36   12.30   14.93   15.25
  303     303        1   836.00    2.09    7.18   12.15   14.85   15.12
  304     304        1   840.00    2.10    7.00   11.99   14.77   14.99
  305     305        1   844.00    2.11    6.82   11.84   14.69   14.85
  306     306        1   848.00    2.12    6.64   11.68   14.60   14.72
  307     307        1   852.00    2.13    6.46   11.52   14.51   14.59
  308     308        1   856.00    2.14    6.28   11.36   14.42   14.45
  309     309        1   860.00    2.15    6.10   11.20   14.33   14.31
  310     310        1   864.00    2.16    5.92   11.04   14.24   14.18
  311     311        1   868.00    2.17    5.75   10.88   14.14   14.04
  312     312        1   872.00    2.18    5.57   10.72   14.04   13.90
  313     313        1   876.00    2.19    5.39   10.55   13.94   13.77
  314     314        1   880.00    2.20    5.21   10.39   13.84   13.63
  315     315        1   884.00    2.21    5.04   10.22   13.74   13.49
  316     316        1   888.00    2.22    4.86   10.05   13.63   13.35
  317     317        1   892.00    2.23    4.69    9.89   13.52   13.21
  318     318        1   896.00    2.24    4.51    9.72   13.41   13.07
  319     319        1   900.00    2.25    4.34    9.55   13.30   12.93
  320     320        1   904.00    2.26    4.17    9.38   13.19   12.78
  321     321        1   908.00    2.27    4.00    9.21   13.07   12.64
  322     322        1   912.00    2.28    3.83    9.04   12.96   12.50
  323     323        1   916.00    2.29    3.66    8.87   12.84   12.36
  324     324        1   920.00    2.30    3.49    8.70   12.72   12.22
  325     325        1   924.00    2.31    3.33    8.52   12.60   12.08
  326     326        1   928.00    2.32    3.16    8.35   12.48   11.93
  327     327        1   932.00    2.33    3.00    8.18   12.35   11.79
  328     328        1   936.00    2.34    2.83    8.01   12.23   11.65
  329     329        1   940.00    2.35    2.67    7.83   12.10   11.51
  330     330        1   944.00    2.36    2.51    7.66   11.97   11.36
  331     331        1   948.00    2.37    2.35    7.49   11.85   11.22
  332     332        1   952.00    2.38    2.20    7.32   11.71   11.08
  333     333        1   956.00    2.39    2.04    7.14   11.58   10.94
  334     334        1   960.00    2.40    1.89    6.97   11.45   10.79
  335     335        1   964.00    2.41    1.74    6.80   11.32   10.65
  336     336        1   968.00    2.42    1.59    6.63   11.18   10.51
  337     337        1   972.00    2.43    1.44    6.45   11.04   10.37
  338     338        1   976.00    2.44    1.29    6.28   10.91   10.23
  339     339        1   980.00    2.45    1.15    6.11   10.77   10.09
  340     340        1   984.00    2.46    1.00    5.94   10.63    9.95
  341     341        1   988.00    2.47    0.86    5.77   10.49    9.81
  342     342        1   992.00    2.48    0.72    5.60   10.35    9.67
  343     343        1   996.00    2.49    0.59    5.43   10.21    9.53
  344     344        1  1000.00    2.50    0.45    5.26   10.06    9.39
  345     345        1  1004.00    2.51    0.32    5.09    9.92    9.26
  346     346        1  1008.00    2.52    0.19    4.93    9.77    9.12
  347     347        1  1012.00    2.53    0.06    4.76    9.63    8.98
  348     348        1  1016.00    2.54   -0.07    4.59    9.48    8.85
  349     349        1  1020.00    2.55   -0.19    4.43    9.34    8.72
  350     350        1  1024.00    2.56   -0.31    4.27    9.19    8.58
  351     351        1  1028.00    2.57   -0.43    4.10    9.04    8.45
  352     352        1  1032.00    2.58   -0.55    3.94    8.90    8.32
  353     353        1  1036.00    2.59   -0.66    3.78    8.75    8.19
  354     354        1  1040.00    2.60   -0.78    3.62    8.60    8.06
  355     355        1  1044.00    2.61   -0.89    3.46    8.45    7.93
  356     356        1  1048.00    2.62   -0.99    3.30    8.30    7.80
  357     357        1  1052.00    2.63   -1.10    3.15    8.15    7.68
  358     358        1  1056.00    2.64   -1.20    2.99    8.00    7.55
  359     359        1  1060.00    2.65   -1.30    2.84    7.85    7.42
  360     360        1  1064.00    2.66   -1.40    2.69    7.70    7.30
  361     361        1  1068.00    2.67   -1.49    2.54    7.55    7.18
  362     362        1  1072.00    2.68   -1.59    2.39    7.40    7.05
  363     363        1  1076.00    2.69   -1.67    2.24    7.25    6.93
  364     364        1  1080.00    2.70   -1.76    2.09    7.10    6.81
  365     365        1  1084.00    2.71   -1.85    1.95    6.95    6.69
  366       1        2  1088.00    2.72   -1.93    1.81    6.81    6.57
  367       2        2  1092.00    2.73   -2.00    1.67    6.66    6.45
  368       3        2  1096.00    2.74   -2.08    1.53    6.51    6.33
  369       4        2  1100.00    2.75   -2.15    1.39    6.36    6.22
  370       5        2  1104.00    2.76   -2.22    1.25    6.21    6.10
  371       6        2  1108.00    2.77   -2.29    1.12    6.06    5.99
  372       7        2  1112.00    2.78   -2.35    0.99    5.91    5.88
  373       8        2  1116.00    2.79   -2.41    0.86    5.77    5.77
  374       9        2  1120.00    2.80   -2.47    0.73    5.62    5.66
  375      10        2  1124.00    2.81   -2.53    0.60    5.48    5.55
  376      11        2  1128.00    2.82   -2.58    0.48    5.33    5.44
  377      12        2  1132.00    2.83   -2.63    0.36    5.19    5.34
  378      13        2  1136.00    2.84   -2.67    0.24    5.04    5.24
  379      14        2  1140.00    2.85   -2.72    0.12    4.90    5.13
  380      15        2  1144.00    2.86   -2.76    0.00    4.76    5.03
  381      16        2  1148.00    2.87   -2.79   -0.11    4.61    4.94
  382      17        2  1152.00    2.88   -2.83   -0.22    4.47    4.84
  383      18        2  1156.00    2.89   -2.86   -0.33    4.33    4.74
  384      19        2  1160.00    2.90   -2.89   -0.44    4.19    4.65
  385      20        2  1164.00    2.91   -2.91   -0.54    4.06    4.56
  386      21        2  1168.00    2.92   -2.93   -0.64    3.92    4.47
  387      22        2  1172.00    2.93   -2.95   -0.74    3.78    4.38
  388      23        2  1176.00    2.94   -2.97   -0.84    3.65    4.29
  389      24        2  1180.00    2.95   -2.98   -0.93    3.52    4.21
  390      25        2  1184.00    2.96   -2.99   -1.02    3.38    4.13
  391      26        2  1188.00    2.97   -3.00   -1.11    3.25    4.05
  392      27        2  1192.00    2.98   -3.00   -1.20    3.12    3.97
  393      28        2  1196.00    2.99   -3.00   -1.28    2.99    3.89
  394      29        2  1200.00    3.00   -3.00   -1.36    2.87    3.81
  395      30        2  1204.00    3.01   -2.99   -1.44    2.74    3.74
  396      31        2  1208.00    3.02   -2.98   -1.52    2.62    3.67
  397      32        2  1212.00    3.03   -2.97   -1.59    2.49    3.60
  398      33        2  1216.00    3.04   -2.95   -1.66    2.37    3.53
  399      34        2  1220.00    3.05   -2.93   -1.73    2.25    3.47
  400      35        2  1224.00    3.06   -2.91   -1.80    2.13    3.40
  401      36        2  1228.00    3.07   -2.89   -1.86    2.02    3.34
  402      37        2  1232.00    3.08   -2.86   -1.92    1.90    3.28
  403      38        2  1236.00    3.09   -2.83   -1.98    1.79    3.22
  404      39        2  1240.00    3.10   -2.79   -2.03    1.67    3.17
  405      40        2  1244.00    3.11   -2.76   -2.08    1.56    3.11
  406      41        2  1248.00    3.12   -2.72   -2.13    1.46    3.06
  407      42        2  1252.00    3.13   -2.67   -2.17    1.35    3.01
  408      43        2  1256.00    3.14   -2.63   -2.22    1.24    2.96
  409      44        2  1260.00    3.15   -2.58   -2.26    1.14    2.92
  410      45        2  1264.00    3.16   -2.53   -2.29    1.04    2.87
  411      46        2  1268.00    3.17   -2.47   -2.33    0.94    2.83
  412      47        2  1272.00    3.18   -2.41   -2.36    0.84    2.79
  413      48        2  1276.00    3.19   -2.35   -2.39    0.75    2.76
  414      49        2  1280.00    3.20   -2.29   -2.41    0.66    2.72
  415      50        2  1284.00    3.21   -2.22   -2.43    0.56    2.69
  416      51        2  1288.00    3.22   -2.15   -2.45    0.48    2.66
  417      52        2  1292.00    3.23   -2.08   -2.47    0.39    2.63
  418      53        2  1296.00    3.24   -2.00   -2.48    0.30    2.60
  419      54        2  1300.00    3.25   -1.93   -2.49    0.22    2.58
  420      55        2  1304.00    3.26   -1.85   -2.50    0.14    2.55
  421      56        2  1308.00    3.27   -1.76   -2.51    0.06    2.53
  422      57        2  1312.00    3.28   -1.67   -2.51   -0.01    2.52
  423      58        2  1316.00    3.29   -1.59   -2.51   -0.09    2.50
  424      59        2  1320.00    3.30   -1.49   -2.50   -0.16    2.49
  425      60        2  1324.00    3.31   -1.40   -2.49   -0.23    2.47
  426      61        2  1328.00    3.32   -1.30   -2.48   -0.30    2.46
  427      62        2  1332.00    3.33   -1.20   -2.47   -0.36    2.46
  428      63        2  1336.00    3.34   -1.10   -2.45   -0.42    2.45
  429      64        2  1340.00    3.35   -0.99   -2.43   -0.48    2.45
  430      65        2  1344.00    3.36   -0.89   -2.41   -0.54    2.45
  431      66        2  1348.00    3.37   -0.78   -2.39   -0.60    2.45
  432      67        2  1352.00    3.38   -0.66   -2.36   -0.65    2.45
  433      68        2  1356.00    3.39   -0.55   -2.33   -0.70    2.46
