 Day of  Day of Year Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year        mass   depth    T      T      T      T
    1       1        1   104.00    0.26   -1.93    1.81    6.81   13.29
    2       2        1   108.00    0.27   -2.00    1.67    6.66   10.68
    3       3        1   112.00    0.28   -2.08    1.53    6.51    8.79
    4       4        1   116.00    0.29   -2.15    1.39    6.36    7.39
    5       5        1   120.00    0.30   -2.22    1.25    6.21    6.35
    6       6        1   124.00    0.31   -2.29    1.12    6.06    5.56
    7       7        1   128.00    0.32   -2.35    0.99    5.91    4.95
    8       8        1   132.00    0.33   -2.41    0.86    5.77    4.48
    9       9        1   136.00    0.34   -2.47    0.73    5.62    4.10
   10      10        1   140.00    0.35   -2.53    0.60    5.48    3.80
   11      11        1   144.00    0.36   -2.58    0.48    5.33    3.55
   12      12        1   148.00    0.37   -2.63    0.36    5.19    3.35
   13      13        1   152.00    0.38   -2.67    0.24    5.04    3.18
   14      14        1   156.00    0.39   -2.72    0.12    4.90    3.03
   15      15        1   160.00    0.40   -2.76    0.00    4.76    2.91
   16      16        1   164.00    0.41   -2.79   -0.11    4.61    2.80
   17      17        1   168.00    0.42   -2.83   -0.22    4.47    2.70
   18      18        1   172.00    0.43   -2.86   -0.33    4.33    2.62
   19      19        1   176.00    0.44   -2.89   -0.44    4.19    2.55
   20      20        1   180.00    0.45   -2.91   -0.54    4.06    2.48
   21      21        1   184.00    0.46   -2.93   -0.64    3.92    2.42
   22      22        1   188.00    0.47   -2.95   -0.74    3.78    2.36
   23      23        1   192.00    0.48   -2.97   -0.84    3.65    2.31
   24      24        1   196.00    0.49   -2.98   -0.93    3.52    2.26
   25      25        1   200.00    0.50   -2.99   -1.02    3.38    2.22
   26      26        1   204.00    0.51   -3.00   -1.11    3.25    2.18
   27      27        1   208.00    0.52   -3.00   -1.20    3.12    2.15
   28      28        1   212.00    0.53   -3.00   -1.28    2.99    2.12
   29      29        1   216.00    0.54   -3.00   -1.36    2.87    2.09
   30      30        1   220.00    0.55   -2.99   -1.44    2.74    2.06
   31      31        1   224.00    0.56   -2.98   -1.52    2.62    2.04
   32      32        1   228.00    0.57   -2.97   -1.59    2.49    2.02
   33      33        1   232.00    0.58   -2.95   -1.66    2.37    2.00
   34      34        1   236.00    0.59   -2.93   -1.73    2.25    1.98
   35      35        1   240.00    0.60   -2.91   -1.80    2.13    1.97
   36      36        1   244.00    0.61   -2.89   -1.86    2.02    1.96
   37      37        1   248.00    0.62   -2.86   -1.92    1.90    1.95
   38      38        1   252.00    0.63   -2.83   -1.98    1.79    1.95
   39      39        1   256.00    0.64   -2.79   -2.03    1.67    1.95
   40      40        1   260.00    0.65   -2.76   -2.08    1.56    1.94
   41      41        1   264.00    0.66   -2.72   -2.13    1.46    1.95
   42      42        1   268.00    0.67   -2.67   -2.17    1.35    1.95
   43      43        1   272.00    0.68   -2.63   -2.22    1.24    1.96
   44      44        1   276.00    0.69   -2.58   -2.26    1.14    1.96
   45      45        1   280.00    0.70   -2.53   -2.29    1.04    1.98
   46      46        1   284.00    0.71   -2.47   -2.33    0.94    1.99
   47      47        1   288.00    0.72   -2.41   -2.36    0.84    2.00
   48      48        1   292.00    0.73   -2.35   -2.39    0.75    2.02
   49      49        1   296.00    0.74   -2.29   -2.41    0.66    2.04
   50      50        1   300.00    0.75   -2.22   -2.43    0.56    2.06
   51      51        1   304.00    0.76   -2.15   -2.45    0.48    2.09
   52      52        1   308.00    0.77   -2.08   -2.47    0.39    2.11
   53      53        1   312.00    0.78   -2.00   -2.48    0.30    2.14
   54      54        1   316.00    0.79   -1.93   -2.49    0.22    2.17
   55      55        1   320.00    0.80   -1.85   -2.50    0.14    2.20
   56      56        1   324.00    0.81   -1.76   -2.51    0.06    2.24
   57      57        1   328.00    0.82   -1.67   -2.51   -0.01    2.28
   58      58        1   332.00    0.83   -1.59   -2.51   -0.09    2.32
   59      59        1   336.00    0.84   -1.49   -2.50   -0.16    2.36
   60      60        1   340.00    0.85   -1.40   -2.49   -0.23    2.40
   61      61        1   344.00    0.86   -1.30   -2.48   -0.30    2.45
   62      62        1   348.00    0.87   -1.20   -2.47   -0.36    2.49
