site,date.time,temp,depth
Tjel,2020/09/22 08:13,22.041,1
Tjel,2020/09/22 09:13,22.305,1
Tjel,2020/09/22 10:13,22.488,1
Tjel,2020/09/22 11:13,22.696,1
Tjel,2020/09/22 12:13,22.744,1
Tjel,2020/09/22 13:13,22.778,1
Tjel,2020/09/22 14:13,22.925,1
Tjel,2020/09/22 15:13,23.382,1
Tjel,2020/09/22 16:13,24.271,1
Tjel,2020/09/22 17:13,23.409,1
Tjel,2020/09/22 18:13,22.751,1
Tjel,2020/09/22 19:13,22.449,1
Tjel,2020/09/22 20:13,22.238,1
Tjel,2020/09/22 21:13,22.133,1
Tjel,2020/09/22 22:13,22.044,1
Tjel,2020/09/22 23:13,21.969,1
Tjel,2020/09/23 00:13,21.894,1
Tjel,2020/09/23 01:13,21.86,1
Tjel,2020/09/23 02:13,21.808,1
Tjel,2020/09/23 03:13,21.778,1
Tjel,2020/09/23 04:13,21.763,1
Tjel,2020/09/23 05:13,21.778,1
Tjel,2020/09/23 06:13,21.848,1
Tjel,2020/09/23 07:13,22.062,1
Tjel,2020/09/23 08:13,22.376,1
Tjel,2020/09/23 09:13,22.549,1
Tjel,2020/09/23 10:13,22.63,1
Tjel,2020/09/23 11:13,22.629,1
Tjel,2020/09/23 12:13,22.229,1
Tjel,2020/09/23 13:13,22.358,1
Tjel,2020/09/23 14:13,22.63,1
Tjel,2020/09/23 15:13,22.731,1
Tjel,2020/09/23 16:13,22.521,1
Tjel,2020/09/23 17:13,22.421,1
Tjel,2020/09/23 18:13,22.262,1
Tjel,2020/09/23 19:13,22.148,1
Tjel,2020/09/23 20:13,22.068,1
Tjel,2020/09/23 21:13,22,1
Tjel,2020/09/23 22:13,21.952,1
Tjel,2020/09/23 23:13,21.906,1
Tjel,2020/09/24 00:13,21.872,1
Tjel,2020/09/24 01:13,21.854,1
Tjel,2020/09/24 02:13,21.822,1
Tjel,2020/09/24 03:13,21.779,1
Tjel,2020/09/24 04:13,21.743,1
Tjel,2020/09/24 05:13,21.731,1
Tjel,2020/09/24 06:13,21.805,1
Tjel,2020/09/24 07:13,21.797,1
Tjel,2020/09/24 08:13,21.878,1
Tjel,2020/09/24 09:13,22.123,1
Tjel,2020/09/24 10:13,22.338,1
Tjel,2020/09/24 11:13,22.531,1
Tjel,2020/09/24 12:13,22.419,1
Tjel,2020/09/24 13:13,22.18,1
Tjel,2020/09/24 14:13,22.873,1
Tjel,2020/09/24 15:13,23.3,1
Tjel,2020/09/24 16:13,23.43,1
Tjel,2020/09/24 17:13,23.048,1
