"doy" "temp" "glorad"
266 12.6 11.5
267 14.7 8.6
268 14 11.5
269 11.6 3.1
270 12.4 3.2
271 15.6 9.3
272 14.5 2.5
273 13.2 4.3
274 13.5 5.7
275 13.5 4.9
276 14.2 3
277 14.6 2.9
278 13.4 4.6
279 12 8.6
280 11.1 4.6
281 11.1 4.7
282 10 3.1
283 9.1 5.2
284 8.1 8.4
285 7.6 8
286 7.8 5.1
287 8.6 6.3
288 7.2 7
289 6.7 7.2
290 6 8.1
291 7.7 7.1
292 6.7 7.9
293 7.1 7.4
294 8.4 2.2
295 12.3 1.9
296 12.4 3.7
297 10.3 4.5
298 10.4 4.9
299 11.6 1.7
300 9.3 2.3
301 8.4 5.2
302 9 5.5
303 8.2 5.4
304 9.6 1.8
305 9.7 3.9
306 11.1 2.8
307 13.7 1.5
308 8.7 4.5
309 7.8 4.9
310 10.1 1.3
311 10.9 4.3
312 8.6 1.8
313 6.4 4.6
314 7.7 1.4
315 7.5 1.1
316 5.8 0.5
317 7.2 0.8
318 7.7 3.3
319 7.2 2.4
320 11.3 2.7
321 9.1 2.7
322 10.4 0.8
323 11.4 1.3
324 6.3 3.1
325 3.8 3.1
326 8.1 0.8
327 7.1 2.5
328 6.4 2.3
329 9 0.4
330 7.5 0.9
331 7.4 2.3
332 2.4 2.8
333 0.1 1.7
334 1.2 0.4
335 1 0.7
336 3.5 0.5
337 3.5 0.4
338 1.8 0.6
339 2.7 0.8
340 4.2 0.4
341 3.9 0.5
342 6.6 0.4
343 4.7 0.9
344 4.2 0.6
345 3 0.2
346 2.2 0.2
347 3.5 0.2
348 3.7 0.6
349 5.5 0.3
350 7.6 0.4
351 6.4 0.8
352 6.7 0.5
353 7.2 0.8
354 5.6 2
355 8 0.7
356 6 1.5
357 6.2 0.9
358 3.9 1.1
359 0.8 1.6
360 -0.6 2.2
361 3 0.7
362 3.7 0.5
363 2.5 0.4
364 2.6 0.2
365 2.6 0.6
366 1.7 0.5
1 0.1 1.1
2 0.4 1.1
3 1.2 0.9
4 -0.1 0.5
5 0.9 0.7
6 -0.1 0.4
7 0 0.4
8 -0.2 0.8
9 0.2 0.8
10 0.8 1.6
11 4.1 1.1
12 0.7 2.1
13 0.2 1
14 -1.8 0.6
15 -3.4 1.2
16 -5.7 4.2
17 -1.2 2.6
18 0 1.1
19 1.6 0.9
20 5.3 0.6
21 5.2 2
22 4.2 2.1
23 1.9 1.7
24 1.2 1.5
25 0.3 1.7
26 -1.1 2.3
27 0.3 1.3
28 -2.6 5.4
29 -3.6 2.4
30 -2.1 3.4
31 -0.8 5.7
32 -2.5 5.4
33 -4.8 3.6
34 -2.2 1.7
35 -4.2 2.3
36 -5 3.4
37 -4.9 6.1
38 -4.4 2.9
39 -3.3 3.2
40 -4.4 2.5
41 -5.3 6.9
42 -7.4 5.1
43 -7.6 8.8
44 -6 8.5
45 -5.2 7.8
46 -1.3 2
47 -1.2 2.9
48 0.6 2.3
49 2.8 2.2
50 4.2 6.3
51 6.3 4.4
52 7.4 6.3
53 6 6.9
54 6.4 2.3
55 9.8 2.6
56 8.4 4.8
57 5.6 4.5
58 5.1 8.7
59 5.5 8.9
60 4.3 5
61 3.8 11.2
62 1.4 6.8
63 0.9 11.9
64 0.1 12.2
65 2.7 5.9
66 3 11.4
67 -0.5 13
68 -0.1 13.6
69 0.5 6.2
70 4.5 2.4
71 4.3 5.8
72 2.9 3.1
73 4 8.6
74 3.7 6.3
75 2.7 13.2
76 2.7 8
77 1.5 11.9
78 0.6 12.7
79 3.5 4.7
80 4.6 13.4
81 4.1 6.2
82 5.6 8.2
83 6.9 9
84 6.3 12.9
85 6.9 6.9
86 5.4 8.1
87 6 3.5
88 8.9 2.8
89 10.6 16.3
90 9.9 10.2
91 6.5 17.5
92 5.6 15.7
93 4.6 17.7
94 5.3 6.4
95 2.4 11.5
96 3.1 16.2
97 3.7 12.3
98 3.3 8.9
99 4.7 14.8
100 2.8 16.3
101 1.1 3.7
102 2.9 15.8
103 4.2 16.8
104 4.1 17.9
105 4.4 15.8
106 5.4 18.6
107 8.3 16.7
108 9.9 20.9
109 10.3 21.7
110 10.3 22.7
111 6.6 19.5
112 6.5 23.9
113 6 16.3
114 5.1 23
115 4.2 23.6
116 4.2 17.7
117 5.2 23.1
118 6.6 15.7
119 7.4 18.4
120 6.2 4.2
121 6.9 12.9
122 8.3 18.2
123 6.7 16.4
124 6.5 5.8
125 6 8.5
126 4.7 10.9
127 5.2 15.8
128 7.6 20.6
129 13.3 18.6
130 14.9 15
131 11.5 8.6
132 10.4 4.5
133 11.2 11.5
134 11.2 9.3
135 8.4 7.6
136 9.5 6.7
137 9.8 11.2
138 9.8 16.1
139 8.7 12.2
140 8.8 20
141 9.8 15.2
142 9.9 10.8
143 8.6 8.6
144 10.1 8.5
145 10.3 7.2
146 8.7 6
147 10.2 15.3
148 9.9 23.9
149 13.3 27.8
150 14.5 28.8
151 12.6 28.9
152 13.1 20.7
153 13.7 21.2
154 15.7 13.7
155 16.9 24.9
156 17.7 27.4
157 16.9 20
158 15.2 20.9
159 15.1 28.3
160 16.2 28.4
161 17.3 25.5
162 17 14.4
163 13.4 22.5
164 14.3 29
165 15.2 15
166 12.9 26.1
167 15 29.8
168 20.8 24.7
169 18 14.5
170 18.5 20.5
171 15 12
172 12.9 10.9
173 15.1 18.4
174 15.3 17.9
175 14.3 28.5
176 14.9 14.5
177 14.9 8.3
178 15 21.7
179 15.1 30.2
180 14.3 21
181 16.4 18.1
182 17.3 24.8
183 17.1 9.3
184 16.3 6
185 18.6 19.1
186 17.8 16.5
187 16.5 12.6
188 17.5 25.2
189 17.7 20.8
190 17.3 17.6
191 16.5 15.6
192 17.3 20.2
193 19.4 24.5
194 21.1 23
195 23.1 25.4
196 20.4 25.9
197 20.6 27.7
198 18.7 27.7
199 15.8 17.9
200 16.1 25.9
201 15.8 15.6
202 16 11.4
203 16.5 19
204 17.4 21.5
205 18.8 25.7
206 19.4 10.3
207 20.6 16.5
208 19.1 18.1
209 17.1 15.4
210 14.7 14.1
211 16.8 16.5
212 16 14.9
213 14.5 16.2
214 15.1 21.3
215 14.3 21.7
216 14 14.3
217 14.9 14.8
218 17.7 20.5
219 15 7.5
220 15.1 11.7
221 15.8 14.8
222 14.8 11.3
223 15.8 18.1
224 17.7 13.1
225 17.1 13
226 15.4 15.6
227 15.1 13.2
228 12.7 6.8
229 15.8 19.4
230 14.3 7.1
231 14.4 17
232 13.8 14.3
233 13.4 14.8
234 14.2 18.3
235 15 21.1
236 14.9 19.8
237 16.4 11.9
238 14 6.6
239 14.9 4.3
240 15 8.7
241 16.3 12.5
242 15.7 19.7
243 15.4 19
244 15.5 17.9
245 15.4 14.5
246 14.7 18.6
247 13.9 18.8
248 12.9 18.9
249 12.4 9.9
250 15.2 9.8
251 18.3 15.7
252 18.1 16.4
253 17.3 7.3
254 17.8 6.9
255 15.8 7.8
256 15 6.2
257 14.9 12
258 13.7 3.2
259 13.6 4
260 11.5 3.9
261 13 4.5
262 10.8 4.9
263 10.6 7.8
264 11.5 7.5
265 14.4 13.6
