 Day of  Day of  Slurry  Slurry  Air    Wall  Floor  Slurry
  185     185     1.0    1.0   21.0   19.7   15.6   25.2
  186     186     1.0    1.0   20.9   19.7   15.7   25.3
  187     187     1.0    1.0   20.9   19.8   15.8   25.4
  188     188     1.0    1.0   20.9   19.9   15.9   25.5
  189     189     1.0    1.0   20.9   19.9   16.1   25.6
  190     190     1.0    1.0   20.8   20.0   16.2   25.7
  191     191     1.0    1.0   20.8   20.0   16.3   25.8
  192     192     1.0    1.0   20.8   20.1   16.4   25.9
  193     193     1.0    1.0   20.7   20.1   16.5   25.9
  194     194     1.0    1.0   20.7   20.2   16.6   26.0
  195     195     1.0    1.0   20.7   20.2   16.7   26.1
  196     196     1.0    1.0   20.6   20.3   16.8   26.2
  197     197     1.0    1.0   20.6   20.3   16.9   26.2
  198     198     1.0    1.0   20.5   20.3   17.0   26.3
  199     199     1.0    1.0   20.4   20.4   17.1   26.3
  200     200     1.0    1.0   20.4   20.4   17.2   26.4
  201     201     1.0    1.0   20.3   20.4   17.3   26.5
  202     202     1.0    1.0   20.3   20.5   17.4   26.5
  203     203     1.0    1.0   20.2   20.5   17.5   26.6
  204     204     1.0    1.0   20.1   20.5   17.6   26.6
  205     205     1.0    1.0   20.0   20.5   17.7   26.6
  206     206     1.0    1.0   20.0   20.5   17.8   26.7
  207     207     1.0    1.0   19.9   20.5   17.8   26.7
  208     208     1.0    1.0   19.8   20.5   17.9   26.7
  209     209     1.0    1.0   19.7   20.5   18.0   26.8
  210     210     1.0    1.0   19.6   20.5   18.1   26.8
  211     211     1.0    1.0   19.5   20.5   18.1   26.8
  212     212     1.0    1.0   19.4   20.5   18.2   26.8
  213     213     1.0    1.0   19.4   20.5   18.3   26.9
  214     214     1.0    1.0   19.3   20.5   18.3   26.9
  215     215     1.0    1.0   19.2   20.5   18.4   26.9
  216     216     1.0    1.0   19.0   20.5   18.5   26.9
  217     217     1.0    1.0   18.9   20.5   18.5   26.9
  218     218     1.0    1.0   18.8   20.4   18.6   26.9
  219     219     1.0    1.0   18.7   20.4   18.6   26.9
  220     220     1.0    1.0   18.6   20.4   18.7   26.9
  221     221     1.0    1.0   18.5   20.3   18.7   26.9
  222     222     1.0    1.0   18.4   20.3   18.8   26.8
  223     223     1.0    1.0   18.3   20.3   18.8   26.8
  224     224     1.0    1.0   18.1   20.2   18.9   26.8
  225     225     1.0    1.0   18.0   20.2   18.9   26.8
  226     226     1.0    1.0   17.9   20.1   19.0   26.8
  227     227     1.0    1.0   17.7   20.1   19.0   26.7
  228     228     1.0    1.0   17.6   20.0   19.0   26.7
  229     229     1.0    1.0   17.5   20.0   19.0   26.7
  230     230     1.0    1.0   17.3   19.9   19.1   26.6
  231     231     1.0    1.0   17.2   19.9   19.1   26.6
  232     232     1.0    1.0   17.1   19.8   19.1   26.5
  233     233     1.0    1.0   16.9   19.7   19.1   26.5
  234     234     1.0    1.0   16.8   19.7   19.2   26.4
  235     235     1.0    1.0   16.6   19.6   19.2   26.4
  236     236     1.0    1.0   16.5   19.5   19.2   26.3
  237     237     1.0    1.0   16.3   19.4   19.2   26.2
  238     238     1.0    1.0   16.2   19.4   19.2   26.2
  239     239     1.0    1.0   16.0   19.3   19.2   26.1
  240     240     1.0    1.0   15.9   19.2   19.2   26.0
  241     241     1.0    1.0   15.7   19.1   19.2   26.0
  242     242     1.0    1.0   15.6   19.0   19.2   25.9
  243     243     1.0    1.0   15.4   18.9   19.2   25.8
  244     244     1.0    1.0   15.2   18.8   19.2   25.7
  245     245     1.0    1.0   15.1   18.7   19.2   25.6
  246     246     1.0    1.0   14.9   18.6   19.2   25.5
  247     247     1.0    1.0   14.8   18.5   19.1   25.4
  248     248     1.0    1.0   14.6   18.4   19.1   25.4
  249     249     1.0    1.0   14.4   18.3   19.1   25.3
  250     250     1.0    1.0   14.3   18.2   19.1   25.2
  251     251     1.0    1.0   14.1   18.1   19.0   25.0
  252     252     1.0    1.0   13.9   18.0   19.0   24.9
  253     253     1.0    1.0   13.7   17.9   19.0   24.8
  254     254     1.0    1.0   13.6   17.7   19.0   24.7
  255     255     1.0    1.0   13.4   17.6   18.9   24.6
  256     256     1.0    1.0   13.2   17.5   18.9   24.5
  257     257     1.0    1.0   13.0   17.4   18.8   24.4
  258     258     1.0    1.0   12.9   17.2   18.8   24.2
  259     259     1.0    1.0   12.7   17.1   18.7   24.1
  260     260     1.0    1.0   12.5   17.0   18.7   24.0
  261     261     1.0    1.0   12.3   16.8   18.6   23.9
  262     262     1.0    1.0   12.2   16.7   18.6   23.7
  263     263     1.0    1.0   12.0   16.6   18.5   23.6
  264     264     1.0    1.0   11.8   16.4   18.5   23.5
  265     265     1.0    1.0   11.6   16.3   18.4   23.3
  266     266     1.0    1.0   11.4   16.2   18.3   23.2
  267     267     1.0    1.0   11.3   16.0   18.3   23.0
  268     268     1.0    1.0   11.1   15.9   18.2   22.9
  269     269     1.0    1.0   10.9   15.7   18.1   22.7
  270     270     1.0    1.0   10.7   15.6   18.1   22.6
  271     271     1.0    1.0   10.5   15.4   18.0   22.4
  272     272     1.0    1.0   10.4   15.3   17.9   22.3
  273     273     1.0    1.0   10.2   15.1   17.8   22.1
  274     274     1.0    1.0   10.0   15.0   17.8   22.0
  275     275     1.0    1.0    9.8   14.8   17.7   21.8
  276     276     1.0    1.0    9.6   14.6   17.6   21.6
  277     277     1.0    1.0    9.5   14.5   17.5   21.5
  278     278     1.0    1.0    9.3   14.3   17.4   21.3
  279     279     1.0    1.0    9.1   14.2   17.3   21.1
  280     280     1.0    1.0    8.9   14.0   17.2   21.0
  281     281     1.0    1.0    8.7   13.8   17.1   20.8
  282     282     1.0    1.0    8.6   13.7   17.0   20.6
  283     283     1.0    1.0    8.4   13.5   16.9   20.5
  284     284     1.0    1.0    8.2   13.4   16.8   20.3
  285     285     1.0    1.0    8.0   13.2   16.7   20.1
  286     286     1.0    1.0    7.9   13.0   16.6   19.9
  287     287     1.0    1.0    7.7   12.9   16.5   19.8
  288     288     1.0    1.0    7.5   12.7   16.4   19.6
  289     289     1.0    1.0    7.3   12.5   16.3   19.4
  290     290     1.0    1.0    7.2   12.3   16.2   19.2
  291     291     1.0    1.0    7.0   12.2   16.1   19.0
  292     292     1.0    1.0    6.8   12.0   15.9   18.8
  293     293     1.0    1.0    6.7   11.8   15.8   18.7
  294     294     1.0    1.0    6.5   11.7   15.7   18.5
  295     295     1.0    1.0    6.3   11.5   15.6   18.3
  296     296     1.0    1.0    6.2   11.3   15.5   18.1
  297     297     1.0    1.0    6.0   11.1   15.3   17.9
  298     298     1.0    1.0    5.8   11.0   15.2   17.7
  299     299     1.0    1.0    5.7   10.8   15.1   17.5
  300     300     1.0    1.0    5.5   10.6   15.0   17.3
  301     301     1.0    1.0    5.4   10.5   14.8   17.2
  302     302     1.0    1.0    5.2   10.3   14.7   17.0
  303     303     1.0    1.0    5.0   10.1   14.6   16.8
  304     304     1.0    1.0    4.9    9.9   14.4   16.6
  305     305     1.0    1.0    4.7    9.8   14.3   16.4
  306     306     1.0    1.0    4.6    9.6   14.2   16.2
  307     307     1.0    1.0    4.4    9.4   14.0   16.0
  308     308     1.0    1.0    4.3    9.2   13.9   15.8
  309     309     1.0    1.0    4.1    9.1   13.8   15.6
  310     310     1.0    1.0    4.0    8.9   13.6   15.4
  311     311     1.0    1.0    3.9    8.7   13.5   15.2
  312     312     1.0    1.0    3.7    8.6   13.3   15.0
  313     313     1.0    1.0    3.6    8.4   13.2   14.9
  314     314     1.0    1.0    3.5    8.2   13.0   14.7
  315     315     1.0    1.0    3.3    8.1   12.9   14.5
  316     316     1.0    1.0    3.2    7.9   12.8   14.3
  317     317     1.0    1.0    3.1    7.7   12.6   14.1
  318     318     1.0    1.0    2.9    7.6   12.5   13.9
  319     319     1.0    1.0    2.8    7.4   12.3   13.7
  320     320     1.0    1.0    2.7    7.2   12.2   13.5
  321     321     1.0    1.0    2.6    7.1   12.0   13.3
  322     322     1.0    1.0    2.5    6.9   11.9   13.1
  323     323     1.0    1.0    2.3    6.7   11.7   13.0
  324     324     1.0    1.0    2.2    6.6   11.6   12.8
  325     325     1.0    1.0    2.1    6.4   11.4   12.6
  326     326     1.0    1.0    2.0    6.3   11.3   12.4
  327     327     1.0    1.0    1.9    6.1   11.1   12.2
  328     328     1.0    1.0    1.8    6.0   11.0   12.0
  329     329     1.0    1.0    1.7    5.8   10.8   11.9
  330     330     1.0    1.0    1.6    5.7   10.7   11.7
  331     331     1.0    1.0    1.5    5.5   10.5   11.5
  332     332     1.0    1.0    1.4    5.4   10.4   11.3
  333     333     1.0    1.0    1.3    5.2   10.2   11.1
  334     334     1.0    1.0    1.2    5.1   10.1   11.0
  335     335     1.0    1.0    1.2    4.9    9.9   10.8
  336     336     1.0    1.0    1.1    4.8    9.8   10.6
  337     337     1.0    1.0    1.0    4.6    9.6   10.5
  338     338     1.0    1.0    0.9    4.5    9.5   10.3
  339     339     1.0    1.0    0.8    4.4    9.3   10.1
  340     340     1.0    1.0    0.8    4.2    9.2   10.0
  341     341     1.0    1.0    0.7    4.1    9.0    9.8
  342     342     1.0    1.0    0.6    4.0    8.9    9.6
  343     343     1.0    1.0    0.6    3.8    8.8    9.5
  344     344     1.0    1.0    0.5    3.7    8.6    9.3
  345     345     1.0    1.0    0.5    3.6    8.5    9.2
  346     346     1.0    1.0    0.4    3.4    8.3    9.0
  347     347     1.0    1.0    0.4    3.3    8.2    8.9
  348     348     1.0    1.0    0.3    3.2    8.0    8.7
  349     349     1.0    1.0    0.3    3.1    7.9    8.6
  350     350     1.0    1.0    0.2    3.0    7.7    8.4
  351     351     1.0    1.0    0.2    2.9    7.6    8.3
  352     352     1.0    1.0    0.2    2.7    7.5    8.1
  353     353     1.0    1.0    0.1    2.6    7.3    8.0
  354     354     1.0    1.0    0.1    2.5    7.2    7.8
  355     355     1.0    1.0    0.1    2.4    7.0    7.7
  356     356     1.0    1.0    0.1    2.3    6.9    7.6
  357     357     1.0    1.0    0.0    2.2    6.8    7.4
  358     358     1.0    1.0    0.0    2.1    6.6    7.3
  359     359     1.0    1.0    0.0    2.0    6.5    7.2
  360     360     1.0    1.0    0.0    1.9    6.4    7.1
  361     361     1.0    1.0    0.0    1.9    6.2    7.0
  362     362     1.0    1.0    0.0    1.8    6.1    6.8
  363     363     1.0    1.0    0.0    1.7    6.0    6.7
  364     364     1.0    1.0    0.0    1.6    5.8    6.6
  365     365     1.0    1.0    0.0    1.5    5.7    6.5
  366       1     1.0    1.0    0.0    1.4    5.6    6.4
  367       2     1.0    1.0    0.0    1.4    5.5    6.3
  368       3     1.0    1.0    0.0    1.3    5.4    6.2
  369       4     1.0    1.0    0.1    1.2    5.2    6.1
  370       5     1.0    1.0    0.1    1.2    5.1    6.0
  371       6     1.0    1.0    0.1    1.1    5.0    5.9
  372       7     1.0    1.0    0.1    1.0    4.9    5.8
  373       8     1.0    1.0    0.2    1.0    4.8    5.7
  374       9     1.0    1.0    0.2    0.9    4.7    5.6
  375      10     1.0    1.0    0.2    0.9    4.5    5.6
  376      11     1.0    1.0    0.3    0.8    4.4    5.5
  377      12     1.0    1.0    0.3    0.8    4.3    5.4
  378      13     1.0    1.0    0.4    0.8    4.2    5.3
  379      14     1.0    1.0    0.4    0.7    4.1    5.3
  380      15     1.0    1.0    0.5    0.7    4.0    5.2
  381      16     1.0    1.0    0.5    0.6    3.9    5.1
  382      17     1.0    1.0    0.6    0.6    3.8    5.1
  383      18     1.0    1.0    0.6    0.6    3.7    5.0
  384      19     1.0    1.0    0.7    0.6    3.6    5.0
  385      20     1.0    1.0    0.8    0.5    3.5    4.9
  386      21     1.0    1.0    0.8    0.5    3.5    4.9
  387      22     1.0    1.0    0.9    0.5    3.4    4.8
  388      23     1.0    1.0    1.0    0.5    3.3    4.8
  389      24     1.0    1.0    1.1    0.5    3.2    4.8
  390      25     1.0    1.0    1.2    0.5    3.1    4.7
  391      26     1.0    1.0    1.2    0.5    3.0    4.7
  392      27     1.0    1.0    1.3    0.5    3.0    4.7
  393      28     1.0    1.0    1.4    0.5    2.9    4.6
  394      29     1.0    1.0    1.5    0.5    2.8    4.6
  395      30     1.0    1.0    1.6    0.5    2.8    4.6
  396      31     1.0    1.0    1.7    0.5    2.7    4.6
  397      32     1.0    1.0    1.8    0.5    2.6    4.6
  398      33     1.0    1.0    1.9    0.5    2.6    4.6
  399      34     1.0    1.0    2.0    0.5    2.5    4.6
  400      35     1.0    1.0    2.1    0.6    2.4    4.6
  401      36     1.0    1.0    2.2    0.6    2.4    4.6
  402      37     1.0    1.0    2.3    0.6    2.3    4.6
  403      38     1.0    1.0    2.5    0.6    2.3    4.6
  404      39     1.0    1.0    2.6    0.7    2.2    4.6
  405      40     1.0    1.0    2.7    0.7    2.2    4.6
  406      41     1.0    1.0    2.8    0.8    2.1    4.6
  407      42     1.0    1.0    2.9    0.8    2.1    4.7
  408      43     1.0    1.0    3.1    0.8    2.1    4.7
  409      44     1.0    1.0    3.2    0.9    2.0    4.7
  410      45     1.0    1.0    3.3    0.9    2.0    4.7
  411      46     1.0    1.0    3.5    1.0    2.0    4.8
  412      47     1.0    1.0    3.6    1.0    1.9    4.8
  413      48     1.0    1.0    3.7    1.1    1.9    4.9
  414      49     1.0    1.0    3.9    1.2    1.9    4.9
  415      50     1.0    1.0    4.0    1.2    1.9    5.0
  416      51     1.0    1.0    4.1    1.3    1.9    5.0
  417      52     1.0    1.0    4.3    1.4    1.8    5.1
  418      53     1.0    1.0    4.4    1.4    1.8    5.1
  419      54     1.0    1.0    4.6    1.5    1.8    5.2
  420      55     1.0    1.0    4.7    1.6    1.8    5.2
  421      56     1.0    1.0    4.9    1.7    1.8    5.3
  422      57     1.0    1.0    5.0    1.8    1.8    5.4
  423      58     1.0    1.0    5.2    1.9    1.8    5.5
  424      59     1.0    1.0    5.4    1.9    1.8    5.5
  425      60     1.0    1.0    5.5    2.0    1.8    5.6
  426      61     1.0    1.0    5.7    2.1    1.8    5.7
  427      62     1.0    1.0    5.8    2.2    1.8    5.8
  428      63     1.0    1.0    6.0    2.3    1.8    5.9
  429      64     1.0    1.0    6.2    2.4    1.9    6.0
  430      65     1.0    1.0    6.3    2.5    1.9    6.1
  431      66     1.0    1.0    6.5    2.6    1.9    6.1
  432      67     1.0    1.0    6.7    2.7    1.9    6.2
  433      68     1.0    1.0    6.8    2.9    1.9    6.4
  434      69     1.0    1.0    7.0    3.0    2.0    6.5
  435      70     1.0    1.0    7.2    3.1    2.0    6.6
  436      71     1.0    1.0    7.3    3.2    2.0    6.7
  437      72     1.0    1.0    7.5    3.3    2.1    6.8
  438      73     1.0    1.0    7.7    3.4    2.1    6.9
  439      74     1.0    1.0    7.9    3.6    2.1    7.0
  440      75     1.0    1.0    8.0    3.7    2.2    7.1
  441      76     1.0    1.0    8.2    3.8    2.2    7.3
  442      77     1.0    1.0    8.4    4.0    2.3    7.4
  443      78     1.0    1.0    8.6    4.1    2.3    7.5
  444      79     1.0    1.0    8.7    4.2    2.4    7.7
  445      80     1.0    1.0    8.9    4.4    2.4    7.8
  446      81     1.0    1.0    9.1    4.5    2.5    7.9
  447      82     1.0    1.0    9.3    4.6    2.6    8.1
  448      83     1.0    1.0    9.5    4.8    2.6    8.2
  449      84     1.0    1.0    9.6    4.9    2.7    8.3
  450      85     1.0    1.0    9.8    5.1    2.8    8.5
  451      86     1.0    1.0   10.0    5.2    2.8    8.6
  452      87     1.0    1.0   10.2    5.4    2.9    8.8
  453      88     1.0    1.0   10.4    5.5    3.0    8.9
  454      89     1.0    1.0   10.5    5.7    3.0    9.1
  455      90     1.0    1.0   10.7    5.8    3.1    9.3
  456      91     1.0    1.0   10.9    6.0    3.2    9.4
  457      92     1.0    1.0   11.1    6.1    3.3    9.6
  458      93     1.0    1.0   11.3    6.3    3.4    9.7
  459      94     1.0    1.0   11.4    6.4    3.5    9.9
  460      95     1.0    1.0   11.6    6.6    3.5   10.1
  461      96     1.0    1.0   11.8    6.7    3.6   10.2
  462      97     1.0    1.0   12.0    6.9    3.7   10.4
  463      98     1.0    1.0   12.2    7.1    3.8   10.6
  464      99     1.0    1.0   12.3    7.2    3.9   10.7
  465     100     1.0    1.0   12.5    7.4    4.0   10.9
  466     101     1.0    1.0   12.7    7.6    4.1   11.1
  467     102     1.0    1.0   12.9    7.7    4.2   11.3
  468     103     1.0    1.0   13.0    7.9    4.3   11.4
  469     104     1.0    1.0   13.2    8.1    4.4   11.6
  470     105     1.0    1.0   13.4    8.2    4.5   11.8
  471     106     1.0    1.0   13.6    8.4    4.7   12.0
  472     107     1.0    1.0   13.7    8.6    4.8   12.1
  473     108     1.0    1.0   13.9    8.7    4.9   12.3
  474     109     1.0    1.0   14.1    8.9    5.0   12.5
  475     110     1.0    1.0   14.3    9.1    5.1   12.7
  476     111     1.0    1.0   14.4    9.2    5.2   12.9
  477     112     1.0    1.0   14.6    9.4    5.4   13.1
  478     113     1.0    1.0   14.8    9.6    5.5   13.3
  479     114     1.0    1.0   14.9    9.8    5.6   13.4
