 Day of  Day of  Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year    mass   depth    T      T      T      T
    1       1     1.0    1.0    0.0    1.4    5.6   14.6
    2       2     1.0    1.0    0.0    1.4    5.5   14.0
    3       3     1.0    1.0    0.0    1.3    5.4   13.4
    4       4     1.0    1.0    0.1    1.2    5.2   12.8
    5       5     1.0    1.0    0.1    1.2    5.1   12.3
    6       6     1.0    1.0    0.1    1.1    5.0   11.7
    7       7     1.0    1.0    0.1    1.0    4.9   11.3
    8       8     1.0    1.0    0.2    1.0    4.8   10.8
    9       9     1.0    1.0    0.2    0.9    4.7   10.4
   10      10     1.0    1.0    0.2    0.9    4.5   10.0
   11      11     1.0    1.0    0.3    0.8    4.4    9.6
   12      12     1.0    1.0    0.3    0.8    4.3    9.3
   13      13     1.0    1.0    0.4    0.8    4.2    8.9
   14      14     1.0    1.0    0.4    0.7    4.1    8.6
   15      15     1.0    1.0    0.5    0.7    4.0    8.3
   16      16     1.0    1.0    0.5    0.6    3.9    8.1
   17      17     1.0    1.0    0.6    0.6    3.8    7.8
   18      18     1.0    1.0    0.6    0.6    3.7    7.6
   19      19     1.0    1.0    0.7    0.6    3.6    7.4
   20      20     1.0    1.0    0.8    0.5    3.5    7.1
   21      21     1.0    1.0    0.8    0.5    3.5    7.0
   22      22     1.0    1.0    0.9    0.5    3.4    6.8
   23      23     1.0    1.0    1.0    0.5    3.3    6.6
   24      24     1.0    1.0    1.1    0.5    3.2    6.4
   25      25     1.0    1.0    1.2    0.5    3.1    6.3
   26      26     1.0    1.0    1.2    0.5    3.0    6.2
   27      27     1.0    1.0    1.3    0.5    3.0    6.0
   28      28     1.0    1.0    1.4    0.5    2.9    5.9
   29      29     1.0    1.0    1.5    0.5    2.8    5.8
   30      30     1.0    1.0    1.6    0.5    2.8    5.7
   31      31     1.0    1.0    1.7    0.5    2.7    5.6
   32      32     1.0    1.0    1.8    0.5    2.6    5.6
   33      33     1.0    1.0    1.9    0.5    2.6    5.5
   34      34     1.0    1.0    2.0    0.5    2.5    5.4
   35      35     1.0    1.0    2.1    0.6    2.4    5.4
   36      36     1.0    1.0    2.2    0.6    2.4    5.3
   37      37     1.0    1.0    2.3    0.6    2.3    5.3
   38      38     1.0    1.0    2.5    0.6    2.3    5.2
   39      39     1.0    1.0    2.6    0.7    2.2    5.2
   40      40     1.0    1.0    2.7    0.7    2.2    5.2
   41      41     1.0    1.0    2.8    0.8    2.1    5.2
   42      42     1.0    1.0    2.9    0.8    2.1    5.1
   43      43     1.0    1.0    3.1    0.8    2.1    5.1
   44      44     1.0    1.0    3.2    0.9    2.0    5.1
   45      45     1.0    1.0    3.3    0.9    2.0    5.1
   46      46     1.0    1.0    3.5    1.0    2.0    5.1
   47      47     1.0    1.0    3.6    1.0    1.9    5.2
   48      48     1.0    1.0    3.7    1.1    1.9    5.2
   49      49     1.0    1.0    3.9    1.2    1.9    5.2
   50      50     1.0    1.0    4.0    1.2    1.9    5.2
   51      51     1.0    1.0    4.1    1.3    1.9    5.3
   52      52     1.0    1.0    4.3    1.4    1.8    5.3
   53      53     1.0    1.0    4.4    1.4    1.8    5.3
   54      54     1.0    1.0    4.6    1.5    1.8    5.4
   55      55     1.0    1.0    4.7    1.6    1.8    5.4
   56      56     1.0    1.0    4.9    1.7    1.8    5.5
   57      57     1.0    1.0    5.0    1.8    1.8    5.6
   58      58     1.0    1.0    5.2    1.9    1.8    5.6
   59      59     1.0    1.0    5.4    1.9    1.8    5.7
   60      60     1.0    1.0    5.5    2.0    1.8    5.7
   61      61     1.0    1.0    5.7    2.1    1.8    5.8
   62      62     1.0    1.0    5.8    2.2    1.8    5.9
   63      63     1.0    1.0    6.0    2.3    1.8    6.0
   64      64     1.0    1.0    6.2    2.4    1.9    6.1
   65      65     1.0    1.0    6.3    2.5    1.9    6.2
   66      66     1.0    1.0    6.5    2.6    1.9    6.2
   67      67     1.0    1.0    6.7    2.7    1.9    6.3
   68      68     1.0    1.0    6.8    2.9    1.9    6.4
   69      69     1.0    1.0    7.0    3.0    2.0    6.5
   70      70     1.0    1.0    7.2    3.1    2.0    6.6
   71      71     1.0    1.0    7.3    3.2    2.0    6.7
   72      72     1.0    1.0    7.5    3.3    2.1    6.9
   73      73     1.0    1.0    7.7    3.4    2.1    7.0
   74      74     1.0    1.0    7.9    3.6    2.1    7.1
   75      75     1.0    1.0    8.0    3.7    2.2    7.2
   76      76     1.0    1.0    8.2    3.8    2.2    7.3
   77      77     1.0    1.0    8.4    4.0    2.3    7.4
   78      78     1.0    1.0    8.6    4.1    2.3    7.6
   79      79     1.0    1.0    8.7    4.2    2.4    7.7
   80      80     1.0    1.0    8.9    4.4    2.4    7.8
   81      81     1.0    1.0    9.1    4.5    2.5    8.0
   82      82     1.0    1.0    9.3    4.6    2.6    8.1
   83      83     1.0    1.0    9.5    4.8    2.6    8.2
   84      84     1.0    1.0    9.6    4.9    2.7    8.4
   85      85     1.0    1.0    9.8    5.1    2.8    8.5
   86      86     1.0    1.0   10.0    5.2    2.8    8.7
   87      87     1.0    1.0   10.2    5.4    2.9    8.8
   88      88     1.0    1.0   10.4    5.5    3.0    9.0
   89      89     1.0    1.0   10.5    5.7    3.0    9.1
   90      90     1.0    1.0   10.7    5.8    3.1    9.3
   91      91     1.0    1.0   10.9    6.0    3.2    9.4
   92      92     1.0    1.0   11.1    6.1    3.3    9.6
   93      93     1.0    1.0   11.3    6.3    3.4    9.7
   94      94     1.0    1.0   11.4    6.4    3.5    9.9
   95      95     1.0    1.0   11.6    6.6    3.5   10.1
   96      96     1.0    1.0   11.8    6.7    3.6   10.2
   97      97     1.0    1.0   12.0    6.9    3.7   10.4
   98      98     1.0    1.0   12.2    7.1    3.8   10.6
   99      99     1.0    1.0   12.3    7.2    3.9   10.7
  100     100     1.0    1.0   12.5    7.4    4.0   10.9
  101     101     1.0    1.0   12.7    7.6    4.1   11.1
  102     102     1.0    1.0   12.9    7.7    4.2   11.3
  103     103     1.0    1.0   13.0    7.9    4.3   11.4
  104     104     1.0    1.0   13.2    8.1    4.4   11.6
  105     105     1.0    1.0   13.4    8.2    4.5   11.8
  106     106     1.0    1.0   13.6    8.4    4.7   12.0
  107     107     1.0    1.0   13.7    8.6    4.8   12.2
  108     108     1.0    1.0   13.9    8.7    4.9   12.3
  109     109     1.0    1.0   14.1    8.9    5.0   12.5
  110     110     1.0    1.0   14.3    9.1    5.1   12.7
  111     111     1.0    1.0   14.4    9.2    5.2   12.9
  112     112     1.0    1.0   14.6    9.4    5.4   13.1
  113     113     1.0    1.0   14.8    9.6    5.5   13.3
  114     114     1.0    1.0   14.9    9.8    5.6   13.4
  115     115     1.0    1.0   15.1    9.9    5.7   13.6
  116     116     1.0    1.0   15.2   10.1    5.8   13.8
  117     117     1.0    1.0   15.4   10.3    6.0   14.0
  118     118     1.0    1.0   15.6   10.5    6.1   14.2
  119     119     1.0    1.0   15.7   10.6    6.2   14.4
  120     120     1.0    1.0   15.9   10.8    6.4   14.6
  121     121     1.0    1.0   16.0   11.0    6.5   14.8
  122     122     1.0    1.0   16.2   11.1    6.6   15.0
  123     123     1.0    1.0   16.3   11.3    6.8   15.2
  124     124     1.0    1.0   16.5   11.5    6.9   15.4
  125     125     1.0    1.0   16.6   11.7    7.0   15.5
  126     126     1.0    1.0   16.8   11.8    7.2   15.7
  127     127     1.0    1.0   16.9   12.0    7.3   15.9
  128     128     1.0    1.0   17.1   12.2    7.5   16.1
  129     129     1.0    1.0   17.2   12.3    7.6   16.3
  130     130     1.0    1.0   17.3   12.5    7.7   16.5
  131     131     1.0    1.0   17.5   12.7    7.9   16.7
  132     132     1.0    1.0   17.6   12.9    8.0   16.9
  133     133     1.0    1.0   17.7   13.0    8.2   17.1
  134     134     1.0    1.0   17.9   13.2    8.3   17.3
  135     135     1.0    1.0   18.0   13.4    8.5   17.5
  136     136     1.0    1.0   18.1   13.5    8.6   17.6
  137     137     1.0    1.0   18.3   13.7    8.8   17.8
  138     138     1.0    1.0   18.4   13.8    8.9   18.0
  139     139     1.0    1.0   18.5   14.0    9.0   18.2
  140     140     1.0    1.0   18.6   14.2    9.2   18.4
  141     141     1.0    1.0   18.7   14.3    9.3   18.6
  142     142     1.0    1.0   18.8   14.5    9.5   18.8
  143     143     1.0    1.0   18.9   14.6    9.6   19.0
  144     144     1.0    1.0   19.0   14.8    9.8   19.1
  145     145     1.0    1.0   19.2   15.0    9.9   19.3
  146     146     1.0    1.0   19.3   15.1   10.1   19.5
  147     147     1.0    1.0   19.4   15.3   10.2   19.7
  148     148     1.0    1.0   19.4   15.4   10.4   19.9
  149     149     1.0    1.0   19.5   15.6   10.5   20.0
  150     150     1.0    1.0   19.6   15.7   10.7   20.2
  151     151     1.0    1.0   19.7   15.9   10.8   20.4
  152     152     1.0    1.0   19.8   16.0   11.0   20.6
  153     153     1.0    1.0   19.9   16.2   11.1   20.7
  154     154     1.0    1.0   20.0   16.3   11.3   20.9
  155     155     1.0    1.0   20.0   16.4   11.4   21.1
  156     156     1.0    1.0   20.1   16.6   11.6   21.2
  157     157     1.0    1.0   20.2   16.7   11.7   21.4
  158     158     1.0    1.0   20.3   16.8   11.9   21.6
  159     159     1.0    1.0   20.3   17.0   12.0   21.7
  160     160     1.0    1.0   20.4   17.1   12.2   21.9
  161     161     1.0    1.0   20.4   17.2   12.3   22.1
  162     162     1.0    1.0   20.5   17.4   12.5   22.2
  163     163     1.0    1.0   20.6   17.5   12.6   22.4
  164     164     1.0    1.0   20.6   17.6   12.8   22.5
  165     165     1.0    1.0   20.7   17.7   12.9   22.7
  166     166     1.0    1.0   20.7   17.9   13.0   22.8
  167     167     1.0    1.0   20.7   18.0   13.2   23.0
  168     168     1.0    1.0   20.8   18.1   13.3   23.1
  169     169     1.0    1.0   20.8   18.2   13.5   23.3
  170     170     1.0    1.0   20.8   18.3   13.6   23.4
  171     171     1.0    1.0   20.9   18.4   13.8   23.5
  172     172     1.0    1.0   20.9   18.5   13.9   23.7
  173     173     1.0    1.0   20.9   18.6   14.0   23.8
  174     174     1.0    1.0   20.9   18.7   14.2   23.9
  175     175     1.0    1.0   21.0   18.8   14.3   24.1
  176     176     1.0    1.0   21.0   18.9   14.4   24.2
  177     177     1.0    1.0   21.0   19.0   14.6   24.3
  178     178     1.0    1.0   21.0   19.1   14.7   24.4
  179     179     1.0    1.0   21.0   19.2   14.8   24.6
  180     180     1.0    1.0   21.0   19.3   15.0   24.7
  181     181     1.0    1.0   21.0   19.4   15.1   24.8
  182     182     1.0    1.0   21.0   19.4   15.2   24.9
  183     183     1.0    1.0   21.0   19.5   15.3   25.0
  184     184     1.0    1.0   21.0   19.6   15.5   25.1
